Sample_ID,Cluster
Unnamed: 1,-1
NS.1402.003.NEBNext_dual_i7_177---NEBNext_dual_i5_177.2066_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_178---NEBNext_dual_i5_178.3005_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_179---NEBNext_dual_i5_179.3007_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_180---NEBNext_dual_i5_180.3016_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_181---NEBNext_dual_i5_181.3019_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_182---NEBNext_dual_i5_182.3021_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_183---NEBNext_dual_i5_183.3027_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_184---NEBNext_dual_i5_184.3031_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_185---NEBNext_dual_i5_185.3034_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_186---NEBNext_dual_i5_186.3037-1_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_187---NEBNext_dual_i5_187.3053_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_188---NEBNext_dual_i5_188.3055_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_189---NEBNext_dual_i5_189.3061_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_190---NEBNext_dual_i5_190.3070-2_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_191---NEBNext_dual_i5_191.4026_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_192---NEBNext_dual_i5_192.4070-2_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_197---NEBNext_dual_i5_245.5100_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_198---NEBNext_dual_i5_246.5101_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_199---NEBNext_dual_i5_247.5128_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_200---NEBNext_dual_i5_248.5134_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_201---NEBNext_dual_i5_249.5135_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_202---NEBNext_dual_i5_250.5137_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_203---NEBNext_dual_i5_251.5159_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_204---NEBNext_dual_i5_252.5162_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_205---NEBNext_dual_i5_253.5210_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_206---NEBNext_dual_i5_254.5211_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_207---NEBNext_dual_i5_255.5223_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_208---NEBNext_dual_i5_256.6003_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_209---NEBNext_dual_i5_257.6142_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_210---NEBNext_dual_i5_258.6143_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_211---NEBNext_dual_i5_259.6144_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_212---NEBNext_dual_i5_260.6156_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_213---NEBNext_dual_i5_261.6159_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_214---NEBNext_dual_i5_262.6164_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_215---NEBNext_dual_i5_263.6170_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_216---NEBNext_dual_i5_264.6175_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_217---NEBNext_dual_i5_265.6181_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_218---NEBNext_dual_i5_266.6185_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_219---NEBNext_dual_i5_267.6189_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_285---NEBNext_dual_i5_237.4093_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_286---NEBNext_dual_i5_238.4095_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_287---NEBNext_dual_i5_239.4219_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_288---NEBNext_dual_i5_240.4260_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_289---NEBNext_dual_i5_241.4264_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_290---NEBNext_dual_i5_242.5010_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_291---NEBNext_dual_i5_243.5055-1_R1.bam,-1
NS.1402.003.NEBNext_dual_i7_292---NEBNext_dual_i5_244.5069_R1.bam,-1
NS.1402.004.NEBNext_dual_i7_220---NEBNext_dual_i5_268.6196_R1.bam,-1
