gene,log2FC,p_value,FDR
PPA2,0.7997596518034289,2.411284483542569e-18,
RANBP1,0.7852428909730435,3.947132489712373e-18,
CLPX,0.7754342825739107,4.555947034638566e-18,
TDRD3,0.8053486611391653,4.9629346898113755e-18,
CYB5B,0.8293571612010927,5.820423837680124e-18,
MED24,0.8265915429510423,5.877898344058651e-18,
MRPL1,0.7910618195080005,5.911138336420916e-18,
KDM2A,0.7666431343947827,6.326663961672508e-18,
SCAMP1,0.7647973729770411,7.426443866468138e-18,
PCNX1,0.7627455842092389,9.237510001240908e-18,
PNPT1,0.7295941098420199,9.563599213699809e-18,
TSR2,0.7630547595204956,9.978973746653488e-18,
CEBPZOS,0.7953088926209738,1.062880892806657e-17,
R3HDM2,0.7557218586546652,1.0842506415423868e-17,
ARIH2,0.809924558238639,1.111051898537131e-17,
DNAAF5,0.854026119664154,1.332803743852003e-17,
LARP4B,0.7778501036662155,1.3496315601660852e-17,
USP22,0.7737046868997752,1.3635112323153381e-17,
DARS1,0.7454663444569567,1.377519224679175e-17,
LARP4,0.7710304856164536,1.7256897918250832e-17,
RAP2C,0.7486226576540473,1.8249203935597378e-17,
CUL4A,0.8346578633988926,1.8459213889242657e-17,
POLR1D,0.7502446389312962,1.9473692983614626e-17,
GFM2,0.7743045054022114,1.9903387956448883e-17,
TSN,0.74602800251156,2.0160002961661527e-17,
GNAS,0.757129403961296,2.0223460399632243e-17,
RPL8,0.8116326946824808,2.076189606998119e-17,
METAP2,0.7730565891406586,2.1564971734351827e-17,
SUN1,0.7428692692966701,2.2192249323691262e-17,
TIAL1,0.802484396897561,2.4652778529101514e-17,
PTCD3,0.8111229197700001,2.5125605398465424e-17,
BOD1,0.7576525225709215,2.5373754990842045e-17,
RAB18,0.7526848204730022,2.6226992992090738e-17,
ERLIN2,0.7572310800017993,2.916470043760664e-17,
IRGQ,0.775336231572185,2.926682777282939e-17,
PMPCB,0.7548329803949996,3.064933152237991e-17,
METTL15,0.7110052478959594,3.0858225140655215e-17,
RAD17,0.8186322571961908,3.219415283072853e-17,
GFM1,0.758238202147432,3.228805724532759e-17,
AL592295.6,0.8875487278514387,3.2362102668651905e-17,
MAPK9,0.7325233904319725,3.243103725860119e-17,
CASD1,0.7404370133482923,3.2942813606797584e-17,
POLL,0.8304828631487651,3.3435277661509336e-17,
C17orf75,0.7889422965988915,3.37041085269287e-17,
BRD7,0.751054568945571,3.385833472389952e-17,
KMT2D,0.7912828302541645,3.403111693407343e-17,
RPL31,0.7643405193971616,3.418331313945212e-17,
PXMP4,0.7991151602834033,3.499012013051927e-17,
LYPLAL1,0.7997547284730798,3.556219099476503e-17,
OXSR1,0.7455704948394243,3.629318218865564e-17,
UBE3A,0.7679955540942057,3.651355625950687e-17,
VPS36,0.8032998277974926,3.698402229797983e-17,
AIMP1,0.7300852385712442,3.7187502306225686e-17,
C8orf33,0.7451522225655786,3.725357825599595e-17,
METTL9,0.722502641410636,3.975360653620713e-17,
CDC37,0.7812077357211233,4.014090726151103e-17,
NFIX,0.8021025364239194,4.23124153748887e-17,
MCCC2,0.800359790165707,4.267478078459296e-17,
RAB3GAP1,0.7176468652076381,4.573381713030222e-17,
NUCKS1,0.7601392531371274,4.588942407784434e-17,
CCDC43,0.7719699157991741,4.755304800900546e-17,
ACAD8,0.780286287173125,4.785836445962138e-17,
RABGAP1,0.7402938719350615,4.804335993190444e-17,
GLYR1,0.7976436140769928,4.964474303519785e-17,
CBR4,0.7817328983046171,4.978845172726607e-17,
XPO7,0.7446436066891784,4.9973838644819457e-17,
RPL23,0.7947268710977408,5.100306375727307e-17,
NCOR1,0.7216796834447334,5.102585357774853e-17,
ADK,0.7155549370762755,5.106195668482173e-17,
NTPCR,0.7888156125038667,5.450170494673068e-17,
MRPL30,0.7298739167550716,5.790796504613688e-17,
CLASP1,0.7613798665629222,5.882919476968539e-17,
MRPL39,0.7358865402297765,5.903708830128802e-17,
REV1,0.7855161062993807,5.948327629042108e-17,
MDN1,0.7494540469554705,6.022614370098493e-17,
SIRT2,0.8470320193779731,6.14216590306088e-17,
ICE2,0.8321522298307171,6.24998205650168e-17,
ZZZ3,0.7532472759432776,6.671844203068143e-17,
NDUFA3,0.8712874191744918,7.083394843681383e-17,
ASB1,0.832657825563973,7.094907237632274e-17,
PARG,0.7277704148123003,7.216662779805325e-17,
SET,0.7743208308838018,7.2918633644807e-17,
RNF214,0.7193531224540294,7.381936140209656e-17,
ZNF7,0.8171115204591539,7.471601105354537e-17,
THAP6,0.7966023149607109,7.524628503666521e-17,
ZNF407,0.6923422931163374,7.630816664527669e-17,
TMEM59,0.7566595052724828,7.94751406567812e-17,
MRPL43,0.7909614577524849,7.962998857306931e-17,
POLR2M,0.817442882581805,8.1556706075273e-17,
MMUT,0.7629929094132857,8.43933815730798e-17,
RPL14,0.7362924560143196,8.577932100772022e-17,
DDX1,0.7726211986731737,8.872180869079864e-17,
PARP1,0.7699642607927494,9.008550333658317e-17,
HELZ,0.7412376998272153,9.074991596598303e-17,
MRPL28,0.7776686464072609,9.166299861954431e-17,
SF3B6,0.7843000645549245,9.259911473673104e-17,
UBA5,0.7624723732213351,9.42189819121006e-17,
VPS13C,0.7566099076017677,1.0496521764851938e-16,
KIF13A,0.7651877604964864,1.0543985087825927e-16,
ISCU,0.8593693280251165,1.0868848247946239e-16,
SDHC,0.820009204478478,1.1074381991534766e-16,
SSBP1,0.7591923201114702,1.150768288557398e-16,
BTBD2,0.7903748085746377,1.183569628544273e-16,
MEGF8,0.790798560763977,1.1871660562194196e-16,
TTC33,0.7773372459876634,1.2006290794104934e-16,
NDUFA10,0.7733358074632548,1.203845497361083e-16,
SCAF1,0.7793218562923412,1.2139288786036772e-16,
ABCB7,0.7906563354596788,1.2619658277898474e-16,
RTF1,0.6973113154818618,1.265797212512592e-16,
MRPS5,0.765387280847354,1.2680647958302203e-16,
MNAT1,0.7798383072040544,1.3090783859108768e-16,
CLNS1A,0.7765152641488546,1.3224023872263593e-16,
SHARPIN,0.7713196461002397,1.349539737812519e-16,
RPS24,0.7858746464399549,1.412201230189816e-16,
HERC1,0.8169593448548762,1.4197351625789477e-16,
LRPPRC,0.7754556184283301,1.4222535203629792e-16,
HSDL2,0.809193040138393,1.429302107488754e-16,
LDB3,0.7984000966653926,1.4422546997046818e-16,
YME1L1,0.7179011937284159,1.4534697536203138e-16,
FAHD1,0.9034000783872316,1.4925499143602817e-16,
HUS1,0.7219100448127933,1.520391452344347e-16,
OCIAD1,0.7305549688762436,1.5293378561428965e-16,
GPHN,0.6876244605700084,1.5765653600736713e-16,
NAXD,0.7434783482097139,1.5800960356688677e-16,
FAHD2B,0.8430836064668492,1.580886604678899e-16,
RPL35A,0.7752555333588669,1.5814839032497804e-16,
IARS2,0.7831814578989401,1.586334811826716e-16,
PELP1,0.7797765373453691,1.5897607444146115e-16,
OPA1,0.7377340462380522,1.608975636945083e-16,
WBP4,0.835851069676046,1.6175799051366614e-16,
FASTKD2,0.7292544351253804,1.6550733894957228e-16,
ATP6V1G1,0.800215587780261,1.6676983876632471e-16,
ANKRD11,0.776794012482935,1.671554976180534e-16,
MRPS31,0.7538685297522953,1.6835044711482193e-16,
FECH,0.7742317090776553,1.703633785230937e-16,
PDAP1,0.7515960867977858,1.736298318131983e-16,
AASDHPPT,0.8264151702311244,1.743322444630717e-16,
MAU2,0.7623614810001402,1.746250138947891e-16,
RPTOR,0.7704157514488003,1.7466927976560625e-16,
ETFDH,0.871033876923711,1.7558501300145886e-16,
SCAI,0.6869645035424103,1.7840784273580213e-16,
SGCG,0.8448097063661864,1.8430906638651014e-16,
ABCF3,0.7646400217381875,1.8623742014850375e-16,
LONP2,0.7508522596091518,1.8659413183108329e-16,
PPP2R5C,0.7418193604539445,1.8730105376150708e-16,
DENR,0.7940926789062558,1.9089320616275193e-16,
RPA2,0.896659747340553,1.913423651289728e-16,
ABHD17B,0.8168998047250972,1.9292990422527327e-16,
NDUFS4,0.8642420264599943,1.9608612184481232e-16,
ACP1,0.7275259339633713,1.9612153332551657e-16,
HBS1L,0.7261212985325596,1.978746846719376e-16,
EIF3M,0.7249012062339453,2.0029490770584785e-16,
PAFAH1B1,0.7769230179553172,2.022391715150648e-16,
LMAN1,0.8170047048871151,2.025060942982838e-16,
CYHR1,0.7792553195795939,2.0584476363871605e-16,
PRR12,0.7820525092947613,2.074393529693586e-16,
GEMIN5,0.7318951637881588,2.0774969689842326e-16,
KIAA1109,0.7495977962985816,2.0885054901720502e-16,
ZC3H8,0.7414046247803353,2.1155502153855012e-16,
PDHB,0.8448011250087577,2.128845602567119e-16,
NAP1L4,0.7536579704185001,2.1771350054235874e-16,
OXR1,0.745486928039171,2.2150009267876282e-16,
NPRL3,0.7462249413501403,2.240388569070014e-16,
DDX6,0.7380211749209796,2.3006997510290623e-16,
DCAF11,0.7851886465865138,2.3499396375464474e-16,
AC093297.2,0.835241574123775,2.352507893011551e-16,
ZFR,0.7496266056639653,2.3622582003937043e-16,
AUH,0.6818910361447811,2.3804212325915973e-16,
PEX14,0.7254967760065538,2.3874232485221345e-16,
RPL37,0.7537828749162078,2.4447556072249097e-16,
HDAC2,0.6934535858968394,2.450036678009431e-16,
SARAF,0.794875703213986,2.4597216047929693e-16,
RNF7,0.7864167193952675,2.527986028428352e-16,
ANKRD16,0.8461040197119205,2.5306027806398833e-16,
UBE2G2,0.7399752982519112,2.5567815097632777e-16,
FBXW11,0.7088466992489316,2.5793544053303528e-16,
DOP1A,0.7834755561813483,2.601885994712305e-16,
MRPL57,0.7887195337814277,2.6444711188048304e-16,
ZNF706,0.7493419431866489,2.6654571565870634e-16,
DDHD2,0.764358181955216,2.682328113733299e-16,
ZNF383,0.7555630793410005,2.7555775359615925e-16,
RABL6,0.7628484213905722,2.8166357878793945e-16,
LANCL1,0.8001666656445043,2.839782760849628e-16,
CBX1,0.7410727071854726,2.896077881692497e-16,
ZNF41,0.8329023802248533,2.905054735062067e-16,
KMT2C,0.7308451186204579,2.9170912561249125e-16,
FBRSL1,0.7346862248154529,2.925371548193821e-16,
TTC37,0.7431796036643923,2.9401532697121603e-16,
UBN2,0.7699624976920312,2.945113305236752e-16,
CSNK2A3,0.7581258762272609,2.958277311587669e-16,
ASH1L,0.7328039857987291,2.9649746697755724e-16,
TTBK2,0.7314404405424574,2.987131361815063e-16,
GTF2H3,0.6811591530110522,2.9990991054222856e-16,
MRPS35,0.8054931614209674,3.0218228017223653e-16,
EIF2D,0.7711558555957578,3.0311951966152574e-16,
RPAP2,0.7628162001182295,3.060063603413117e-16,
YY1AP1,0.7198576149800822,3.0942074574439456e-16,
PPP5C,0.7550586992575424,3.0975672944891605e-16,
MTERF3,0.7400905002320846,3.1315557665522434e-16,
MRPS18C,0.7220556184453163,3.1632571569123655e-16,
