gene,log2FC,p_value,FDR
A1BG,-0.29304697484528164,0.3010382740847243,
A1CF,1.1600534330988916,0.006887741483003628,
A2M,-0.674208091754612,4.443763348842887e-08,
A2ML1,1.022900402065139,0.028664270119546354,
A3GALT2,-0.5625946875278552,0.16657510804450562,
A4GALT,-0.3856365828364155,0.013179918535243234,
A4GNT,1.3055025466014736,0.02837162372098105,
AAAS,-0.4793121034273017,1.2100685541402927e-06,
AACS,-0.21708317540715363,0.11679948088351791,
AADAC,0.9749090188498142,0.03620638909007785,
AADACL2,1.5494638192722094,0.004897345000713239,
AADACL3,1.3775627936857255,0.007101132595289669,
AADACL4,1.1036226306966919,0.06337221568908831,
AADAT,-0.4649627246037495,0.0004556772251121725,
AAGAB,-0.4779797127610623,6.396847300653272e-08,
AAK1,-0.659601972865716,1.7450956991643344e-07,
AAMDC,-0.4212631902542274,0.00011886338808016578,
AAMP,-0.5533758873524806,2.3000954366659235e-10,
AANAT,0.603578178741175,0.26512189078863674,
AAR2,-0.38462213226232794,5.547221730223614e-05,
AARD,0.7997013493398477,0.1377004638326816,
AARS1,-0.532266395088684,7.056860479340311e-10,
AARS2,-0.5473514669224534,1.3602198308494964e-06,
AARSD1,-0.4195957812340817,0.005147728455733223,
AASDH,-0.47438328439428074,1.1041685876341603e-06,
AASDHPPT,-0.6732829573074302,1.0733576445452343e-11,
AASS,-0.2590127485732495,0.23009043336301627,
AATF,-0.2827191326474904,0.0014570055545708657,
AATK,-0.17479707660651536,0.5866676378577971,
ABAT,-0.07192492680159213,0.6659389247765277,
ABCA1,-0.399272294764319,0.01968251562139346,
ABCA2,-0.5574316014455886,3.8134757375735786e-09,
ABCA3,-0.5065746020347534,1.642819585019439e-06,
ABCA4,0.8978305077088115,0.025667904921891707,
ABCA5,-0.3845825670001611,0.009071608725886623,
ABCA6,-0.47147015576463636,0.001418899298241009,
ABCA7,-0.4198566770221495,0.019710708773597135,
ABCA8,-0.5757654010579826,0.00030267266254979495,
ABCA9,-0.45860534279279963,0.0007591169196046239,
ABCA10,-0.4587792147680965,0.0011228411569583327,
ABCA12,1.131303707380978,0.016111443210415667,
ABCA13,1.2014073961845457,0.006563200984562309,
ABCB1,0.4918098299597388,0.09239375575312159,
ABCB4,-0.16323451928403204,0.1662196472882598,
ABCB5,1.0651158690034714,0.007897295661572283,
ABCB6,-0.32067846722226767,0.03299760037641995,
ABCB7,-0.6003285592593185,4.820700582054753e-10,
ABCB8,-0.5895476874556725,6.946531402527279e-07,
