gene,log2FC,p_value,FDR
A1CF,1.1600534330988916,0.006887741483003628,
A2M,-0.674208091754612,4.443763348842887e-08,
AAAS,-0.4793121034273017,1.2100685541402927e-06,
AADACL2,1.5494638192722094,0.004897345000713239,
AADACL3,1.3775627936857255,0.007101132595289669,
AADAT,-0.4649627246037495,0.0004556772251121725,
AAGAB,-0.4779797127610623,6.396847300653272e-08,
AAK1,-0.659601972865716,1.7450956991643344e-07,
AAMDC,-0.4212631902542274,0.00011886338808016578,
AAMP,-0.5533758873524806,2.3000954366659235e-10,
AAR2,-0.38462213226232794,5.547221730223614e-05,
AARS1,-0.532266395088684,7.056860479340311e-10,
AARS2,-0.5473514669224534,1.3602198308494964e-06,
AARSD1,-0.4195957812340817,0.005147728455733223,
AASDH,-0.47438328439428074,1.1041685876341603e-06,
AASDHPPT,-0.6732829573074302,1.0733576445452343e-11,
ABCA2,-0.5574316014455886,3.8134757375735786e-09,
ABCA3,-0.5065746020347534,1.642819585019439e-06,
ABCA5,-0.3845825670001611,0.009071608725886623,
ABCA6,-0.47147015576463636,0.001418899298241009,
ABCA8,-0.5757654010579826,0.00030267266254979495,
ABCA9,-0.45860534279279963,0.0007591169196046239,
ABCA10,-0.4587792147680965,0.0011228411569583327,
ABCA13,1.2014073961845457,0.006563200984562309,
ABCB5,1.0651158690034714,0.007897295661572283,
ABCB7,-0.6003285592593185,4.820700582054753e-10,
ABCB8,-0.5895476874556725,6.946531402527279e-07,
ABCB10,-0.5027246837291868,6.608667615954241e-10,
ABCC1,-0.5876334267144001,6.4533073346202384e-06,
ABCC5,-0.5805974035211338,1.4728507438173861e-05,
ABCC9,-0.5509065399470826,5.861563893490806e-09,
ABCC10,-0.4614555072638703,4.789864944266408e-06,
ABCD1,-0.50278955630102,0.00010503416128648314,
ABCD3,-0.5111252609329369,1.3301265665259836e-09,
ABCD4,-0.5267137357006939,1.1826987000569588e-06,
ABCE1,-0.5541870487716837,1.7795272944222354e-08,
ABCF1,-0.5618275862579469,2.492760976173127e-10,
ABCF2,-0.46779802116800306,6.024444982127213e-07,
ABCF3,-0.6174350466513595,1.5329776379316238e-10,
ABHD1,-0.6056752093651234,0.0002237548758119669,
ABHD2,-0.504473811341908,0.005239015774001503,
ABHD4,-0.43736659241878784,0.00011678161076836148,
ABHD5,-0.3409314119468941,0.008030094357662212,
ABHD6,-0.4524759610810913,4.1684937311118914e-05,
ABHD8,-0.6112436320634999,2.2134948993146345e-06,
ABHD10,-0.5923489005862091,1.8085934744852603e-08,
ABHD11,-0.5514099410031401,0.0002291889883828737,
ABHD12B,1.6363093805582745,0.0027067373363908556,
ABHD13,-0.4922357396817641,8.890739373067467e-09,
ABHD14A,-0.6597779339356236,4.1471890361041594e-08,
ABHD14B,-0.48911609827396185,2.40947014727144e-05,
ABHD17A,-0.5531927351227035,1.3825718360322013e-08,
ABHD17B,-0.5851808758103935,8.721971409531165e-09,
ABHD18,-0.6276706527096702,1.3651497132491546e-07,
ABI1,-0.4486091894785676,2.8545019232395713e-08,
ABI2,-0.4767609363216197,2.2039314914084086e-06,
ABI3,-0.7132513554153755,2.1633748203685517e-06,
ABITRAM,-0.41116074346026366,2.5437047702975043e-06,
ABL1,-0.5195046591003211,1.7511437025030202e-09,
ABL2,-0.3668629052023896,0.0007402011728089727,
ABLIM3,-0.5219859918810896,0.0004932337914385185,
ABR,-0.6265300945407728,3.0392437701647295e-06,
ABRAXAS1,-0.4454441118556839,0.0003099408525991796,
ABRAXAS2,-0.5634779810902316,1.180904686003954e-10,
ABT1,-0.40042040320357314,1.909514793907446e-06,
ABTB1,-0.5047363033097302,3.3781258592148766e-05,
ABTB2,-0.4191312422922207,0.0028110373520274434,
AC005041.1,1.5215371202307448,0.004880100105202885,
AC007040.2,1.1545770368912966,0.004039089918823854,
AC009779.3,-0.3927191198436881,0.00853877048473313,
AC009879.3,-0.5195327306097545,0.0026099500561160547,
AC010255.2,1.2865227586078347,0.006364071975119834,
AC010422.8,-0.6500575289224655,5.066548353415532e-05,
AC011005.1,-0.5460006084437815,4.633997633304988e-05,
AC013394.1,-0.4633875789040116,0.0011652161921325752,
AC013470.2,1.3916370664954474,0.006711458290910863,
AC017083.3,1.2150128902962714,0.005102512481421686,
AC021087.5,-0.5430237115835381,0.0024776767218714487,
AC022400.5,-0.6040713236121023,0.006699692993036815,
AC027796.3,-0.6892456490406731,0.0026272118885273727,
AC068896.1,-0.6089005553338007,0.00013282668350656675,
AC069544.2,-0.4127987112911263,5.433643482936948e-06,
AC092718.8,1.1926450772757933,0.006492264736375705,
AC097636.1,1.9848931070931424,0.0006081029194879883,
AC098650.1,-0.4070849360727616,0.0008854661533019285,
AC104304.2,2.5849624938082423,0.00247572648324572,
AC136428.1,1.999999997926126,0.0047696353385172285,
AC231656.1,1.9205655307615286,0.003996176533273895,
ACAA1,-0.6379009561408121,6.193459090135722e-10,
ACAA2,-0.7561401001487298,2.632503452682219e-07,
ACACA,-0.3861804109754894,0.00013684289960154877,
ACACB,-0.5433166403611017,1.5133181812219417e-06,
ACAD8,-0.5875068189895781,1.827321811147945e-10,
ACAD9,-0.5643173957544031,2.5083103155029972e-08,
ACAD10,-0.5649491639375065,4.7898740330276305e-08,
ACAD11,-0.47157754087450016,0.0002267231994029252,
ACADL,-0.32646163538314027,0.0022710888521316765,
ACADM,-0.8035070070560544,5.545339560124269e-10,
ACADS,-0.8529024589072222,2.1405258670093565e-12,
ACADSB,-0.6790713145389394,2.011853349979903e-08,
ACADVL,-0.7922117058397237,2.2869471437928625e-09,
ACAP2,-0.4384892221853791,8.893836081449186e-07,
ACAP3,-0.5287217202582776,2.697698678125493e-06,
ACAT1,-0.8548381307869648,1.6471854549038852e-08,
ACBD3,-0.5086353496746133,1.648747443800595e-10,
ACBD4,-0.38723484512931106,0.002509692510946866,
ACBD5,-0.5690067647096007,2.741943975434647e-09,
ACBD6,-0.4460046834561003,3.844505588904122e-07,
ACCS,-0.423682824571056,0.008598521512722754,
ACD,-0.3638512650485054,0.00035925298106571663,
ACE,-0.5515994184841929,0.001142342567648506,
ACIN1,-0.5045932700521345,2.981552581710767e-08,
ACKR1,-0.589387134746751,0.0019618570754390717,
ACKR3,-0.5254895891063768,0.0005806834231832682,
ACLY,-0.439753722761408,1.3433448349654583e-05,
ACO1,-0.3924920430279908,2.4255334087934937e-05,
ACO2,-0.7165356744807324,2.7450668895597415e-10,
ACOD1,1.4405725910117482,0.006678967676525001,
ACOT1,-1.1159725633416413,3.424934416814192e-06,
ACOT2,-0.6981221352425847,6.384000411816096e-07,
ACOT8,-0.564756357517637,4.1758287152595995e-06,
ACOT9,-0.5098292195033476,0.000964459985682797,
ACOT13,-0.5281158218288742,9.61736473523262e-09,
ACOX1,-0.5503661225463019,1.4959024911800174e-10,
ACOX2,-0.9779637982617194,0.0006489869488988594,
ACOX3,-0.5450872764721925,1.5368732943052537e-08,
ACP1,-0.5279782446638317,1.432078723638247e-09,
ACP2,-0.5488747058274555,2.7296361581589523e-05,
ACP6,-0.37886492808551636,0.0032172411151332172,
ACSF2,-0.5690699647670906,2.5650474852259975e-06,
ACSF3,-0.4754346215769133,7.144154669064698e-06,
ACSL1,-0.7835754714035695,6.260050780314336e-08,
ACSL3,-0.40074473358347945,0.000902091953273405,
ACSL4,-0.39632981141040324,3.3264175215769294e-05,
ACSL5,-0.34337651414752723,0.009941680340647758,
ACSS1,-0.9674518913735474,0.001518454854132522,
ACSS2,-0.5787740096078644,7.813381582213944e-07,
ACSS3,-0.4052508115017862,0.0005284370066635889,
ACTA1,-0.6135127959362215,3.431037721724209e-05,
ACTA2,-0.7322426950818721,0.009697788192550284,
ACTB,-0.44937263063116134,0.00046681096651934265,
ACTG1,-0.4325339395460429,0.0022252654640893465,
ACTL6A,-0.37480765448749903,0.0002625305303200781,
ACTN2,-0.590669781301987,2.647134214888933e-05,
ACTN4,-0.5636882219176468,2.0983975896478436e-06,
ACTR1A,-0.4622167652767588,5.580796629286364e-06,
ACTR1B,-0.5687194577113912,9.450923076764603e-10,
ACTR2,-0.5138811944541918,1.6182492199481915e-09,
ACTR3,-0.4042424896766938,3.7162980241165707e-06,
ACTR3B,-0.338787519963224,0.0011264545790853103,
ACTR5,-0.3204438405949051,0.0003914823601416192,
ACTR6,-0.46826698033943964,5.271388787796145e-07,
ACTR8,-0.3601034993745665,0.0009383083548471598,
ACTR10,-0.5434305250200658,9.720447536664115e-09,
ACTRT1,1.8797057653156826,0.0018734054084001497,
ACVR2A,-0.47379466459866126,2.3235507762291955e-07,
ACVR2B,-0.3216347530723544,0.004157183964123222,
ACVRL1,-0.47514892924218,1.8145965430343762e-05,
ACYP1,-0.4118906455513635,0.0005824231523623388,
