gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
ADGRD2,2.2400527198938005,5.869122938709806e-09,1.7708472828785084e-05,6.431784962230111,0.3809925402234614,5.820444786343559
BUB1,1.574835438831273,1.942046390103386e-09,1.7708472828785084e-05,23.62355267383187,0.2621047417111165,6.002581570628739
CACNA1I,1.7698841088302382,1.1732095821736332e-08,1.7708472828785084e-05,15.027334770234155,0.3096954368772828,5.70357416236131
CLVS1,1.5890468955095165,6.3558072491137245e-09,1.7708472828785084e-05,18.937398273546997,0.2733049325764129,5.807116082613775
CRX,2.164504045155404,1.033977166595829e-08,1.7708472828785084e-05,10.302334914815138,0.3761812633197141,5.725059137728405
DAB1,1.221820234997888,3.3821253219339293e-09,1.7708472828785084e-05,31.705388238791198,0.2066019954672558,5.911886029809605
KIF6,1.742837799598359,1.0577823793537209e-08,1.7708472828785084e-05,31.365032151477013,0.3043683170523396,5.721193667531495
KIFC1,1.655695086724049,7.675003069915983e-10,1.7708472828785084e-05,13.345534451734894,0.2686255805027869,6.151507222047265
LPAR4,1.2796399690343505,2.5748857701132687e-09,1.7708472828785084e-05,12.11389406415677,0.2145597284052646,5.956632364629915
MATN1,2.05439099882139,8.77109026864111e-09,1.7708472828785084e-05,6.335937978629937,0.3542156062296792,5.752927894818144
MCM10,1.522561948591714,1.1722455112088686e-08,1.7708472828785084e-05,20.454865814329874,0.2666828448176436,5.703714219996736
NAT1,1.020038626214787,8.815980205034831e-09,1.7708472828785084e-05,15.601231277870054,0.1772401607278584,5.752065164974715
OR2M3,2.196166496358638,6.809818469050394e-09,1.7708472828785084e-05,15.297319399956653,0.3775999900630869,5.7955486458711984
RP1L1,1.737739773708697,2.291732806972851e-09,1.7708472828785084e-05,14.750216821171728,0.2902387619014964,5.975650907977864
SFTPD,1.6396297883919948,9.556219575079791e-09,1.7708472828785084e-05,8.401774563890585,0.284804782144464,5.738422995367349
UBASH3A,1.550617930064831,9.958289443772343e-09,1.7708472828785084e-05,13.640971708058531,0.2700877982405293,5.731437752537198
AC007529.1,1.6142484568215385,1.2883213765415306e-08,1.7708472828785084e-05,8.467749665925083,0.2829075784922443,5.687606661043678
AC010332.3,1.212410172375328,1.1403429708575257e-08,1.7708472828785084e-05,12.005927072844443,0.2121742750926199,5.70841321563109
AC024560.5,2.100199699474265,1.1902539502173185e-08,1.7708472828785084e-05,10.328873730089144,0.3665389035770677,5.701116297414958
AC092053.5,2.003429479856899,2.2203027601937954e-09,1.7708472828785084e-05,7.717935409455662,0.3329441442297423,5.980810338875904
AC092720.1,1.954397171386968,8.550495007374804e-09,1.7708472828785084e-05,9.433024712272516,0.3379892268820447,5.757230839604559
AL118523.1,1.6116296921007656,7.527798326387738e-09,1.7708472828785084e-05,10.59630140586714,0.2781955867736163,5.778704551714559
AP001972.3,1.897612497896693,1.0190271417404875e-08,1.7708472828785084e-05,9.449830352718964,0.329908623792517,5.72753117741099
CR382287.1,2.3661116888215297,1.1925150846732231e-08,1.7708472828785084e-05,4.158231066240341,0.4068238473406415,5.700792805601171
LINC01012,2.215566378281254,9.952979333465736e-09,1.7708472828785084e-05,8.890866703084859,0.3839284169291601,5.731528206585187
SIRPG-AS1,2.380230679408082,1.2644466720858284e-08,1.7708472828785084e-05,4.115823329452178,0.4098412774100456,5.690801182863608
AURKB,1.7917697940519546,1.3802993095546531e-08,1.800638869715032e-05,6.18641729617424,0.3138911758512717,5.675814949059774
C1orf94,2.073010330776085,1.4107641264766044e-08,1.800638869715032e-05,7.545474163741013,0.3630874410614344,5.672077150520808
CDCA2,1.3973013048246374,1.627676090765033e-08,1.9212652310656325e-05,17.79531308885906,0.2471774738965868,5.647531932980057
NELL2,1.516080403241803,1.6700160986963355e-08,1.9212652310656325e-05,27.978171384937127,0.2684520417805808,5.643114079761332
SPATA17,1.3125131879791414,1.69744340815046e-08,1.9212652310656325e-05,20.077671583523365,0.2325475617489759,5.640309939693149
AC026341.3,1.522857677151754,1.720311360291573e-08,1.9212652310656325e-05,11.90298408561688,0.2696422370210192,5.638005379601445
OTOR,2.2009086750441487,2.7532601145515397e-08,2.399902682288852e-05,7.10681057022132,0.3929212899236456,5.556443990548951
PLEK2,1.8080588476788548,2.2954437641333893e-08,2.399902682288852e-05,6.230003069563392,0.3215531941058955,5.588117454189649
AC015909.4,2.3217039857481607,2.7350461128143186e-08,2.399902682288852e-05,2.656287050264057,0.4038044893280703,5.557602987099922
AL158077.2,2.1853992076306423,2.3767389764932537e-08,2.399902682288852e-05,4.677196368491398,0.3861389951422371,5.582069106129992
LINC00523,2.364406188695239,2.7175922878417853e-08,2.399902682288852e-05,4.812984674054556,0.4187106882319268,5.558720660612086
LINC02112,1.8711282778399712,2.5334815198767404e-08,2.399902682288852e-05,13.654830251948932,0.3350122985670016,5.570954045870601
PACRG-AS1,1.964335213803969,2.459786298649481e-08,2.399902682288852e-05,14.140003394455375,0.351268479779417,5.576094293743214
