gene,log2FC,p_value,FDR
LMAN1,-0.6357802890325027,5.018540037170436e-13,
NLRX1,-0.7454324935757322,6.450737712829983e-13,
LAP3,-0.5908762473606157,8.547698621285364e-13,
OPA1,-0.579157917197315,9.005284093844068e-13,
HIGD2A,-0.7026242601218464,1.4195598357414625e-12,
SCAMP1,-0.5815273250186361,1.7044641625337494e-12,
VDAC2,-0.6268505695437916,1.8278829400258652e-12,
OGDH,-0.6584625334853192,1.9412781806104278e-12,
ACADS,-0.8529024589072222,2.1405258670093565e-12,
PTCD3,-0.6461129071801809,2.2522254683286246e-12,
HSDL2,-0.6970100675301902,2.329586353710782e-12,
INTS13,-0.6367274403687607,2.5388270836004734e-12,
LRPPRC,-0.6322807741969565,2.6788974275958692e-12,
APEX1,-0.5990764137467366,2.7142893814786476e-12,
OLA1,-0.55655545624552,3.6761818785913024e-12,
CEBPZOS,-0.6344787941934383,3.788175179442461e-12,
CUL4A,-0.6206607561928883,3.870935245910177e-12,
NDUFA5,-0.6458426483884561,3.908257477101672e-12,
METAP2,-0.5847139851449789,4.019278950671099e-12,
DENR,-0.6409314101353566,4.140090110889243e-12,
RBM18,-0.6087180650118023,4.1942688438134906e-12,
USP22,-0.6271188235440508,4.48095639433673e-12,
VDAC1,-0.6969121923886802,4.5779831189890716e-12,
RAB18,-0.5691808909358237,4.70554219374543e-12,
DDX1,-0.5962882645875378,5.04011272200312e-12,
MRPS35,-0.7174277290784593,5.047590746286112e-12,
CYB5B,-0.6401557168950476,5.3319520652531355e-12,
ZHX1,-0.573639717740505,5.389155061128599e-12,
IMMT,-0.6652887266832378,5.404414395984365e-12,
SLC25A3,-0.6843834763203728,5.490788136620378e-12,
TEX10,-0.5452634261782721,5.599823257648386e-12,
MRPL28,-0.6882200341635912,5.783604128366649e-12,
GLO1,-0.5763955095832738,5.885184364116701e-12,
CSNK2A3,-0.6151435927312596,6.3739469266769675e-12,
RPAP3,-0.5571215358181014,6.41872692990614e-12,
USP47,-0.5635289677695885,6.682853564008121e-12,
SRP14,-0.6112932676383607,6.981923267884276e-12,
LIN7C,-0.5907248081786504,7.104952933355578e-12,
CLPX,-0.6165830736208712,7.38343019650213e-12,
TSR2,-0.5854083273725986,7.455971651441859e-12,
OXSR1,-0.56095073658448,7.900080066252746e-12,
SCRIB,-0.6360430295777494,8.285353103439007e-12,
OXR1,-0.5839146650316057,8.497330436634605e-12,
PHB,-0.6342354854071044,9.079793459569794e-12,
VWA8,-0.6429673945335306,9.77710571923982e-12,
RAB3GAP1,-0.5692241065159179,9.948254980510264e-12,
VPS25,-0.6080501292422804,1.019140280890266e-11,
