Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,actin-myosin filament sliding (GO:0033275),12/38,4.880401118206293e-18,1.198138474519645e-15,0,0,81.071477195371,3231.6148193776185,ACTA1;MYBPC2;MYL1;TNNT1;TNNC1;TPM2;MYL2;TPM1;MYL3;TNNI1;MYL6B;MYH7
GO_Biological_Process_2021,muscle filament sliding (GO:0030049),12/38,4.880401118206293e-18,1.198138474519645e-15,0,0,81.071477195371,3231.6148193776185,ACTA1;MYBPC2;MYL1;TNNT1;TNNC1;TPM2;MYL2;TPM1;MYL3;TNNI1;MYL6B;MYH7
GO_Biological_Process_2021,muscle contraction (GO:0006936),16/129,1.1904222825209974e-16,1.9483244690593656e-14,0,0,25.67118616546237,941.286753571615,MYLK2;MYBPC2;TPM2;TNNC1;TPM1;PGAM2;MYL6B;MYLPF;CKMT2;ACTA1;MYL1;TNNT1;MYL2;MYL3;TNNI1;MYH7
GO_Biological_Process_2021,regulation of muscle contraction (GO:0006937),7/28,3.3374906434586224e-10,4.0967697648454595e-08,0,0,56.08474576271186,1223.8045818189532,MYLK2;TNNT1;TNNC1;MYL2;TPM1;MYL3;TNNI1
GO_Biological_Process_2021,striated muscle contraction (GO:0006941),8/54,1.5182932569053407e-09,1.490963978281045e-07,0,0,29.474544778892604,598.5006446643522,MYLK2;TNNT1;TNNC1;PGAM2;TPM1;MYL3;TNNI1;MYH7
GO_Biological_Process_2021,heart contraction (GO:0060047),7/41,5.925297680035972e-09,4.848868601496104e-07,0,0,34.6178963110668,655.8026362217589,MYLK2;TNNC1;MYL2;TPM1;MYL3;TNNI1;MYH7
GO_Biological_Process_2021,cardiac muscle tissue morphogenesis (GO:0055008),6/32,4.18950653426227e-08,2.938639583318249e-06,0,0,38.49191984486102,653.9044984187957,MYLK2;TNNC1;MYL2;TPM1;MYL3;MYH7
GO_Biological_Process_2021,cardiac muscle contraction (GO:0060048),6/34,6.15462698211203e-08,3.7774023102712582e-06,0,0,35.73889555822329,593.3899157604197,MYLK2;TNNC1;TPM1;MYL3;TNNI1;MYH7
GO_Biological_Process_2021,ventricular cardiac muscle tissue development (GO:0003229),5/25,4.228990070391246e-07,2.307149027291224e-05,0,0,41.364583333333336,607.0721033440738,TNNC1;MYL2;TPM1;MYL3;MYH7
GO_Biological_Process_2021,ventricular cardiac muscle tissue morphogenesis (GO:0055010),5/34,2.1173945763188546e-06,0.00010396407369725576,0,0,28.514367816091955,372.54945983314354,TNNC1;MYL2;TPM1;MYL3;MYH7
GO_Biological_Process_2021,skeletal muscle contraction (GO:0003009),4/20,6.519159587255457e-06,0.0002865355499415396,0,0,41.03099173553719,489.9414336414702,TNNT1;TNNC1;TNNI1;MYH7
GO_Biological_Process_2021,myofibril assembly (GO:0030239),5/43,7.002905497552904e-06,0.0002865355499415396,0,0,21.75109649122807,258.16779742857386,TNNT1;MYL2;TPM1;CASQ1;MYLK3
GO_Biological_Process_2021,cardiac ventricle morphogenesis (GO:0003208),5/44,7.861366694518356e-06,0.00029691777284680863,0,0,21.192307692307693,249.08484991914432,TNNC1;MYL2;TPM1;MYL3;MYH7
GO_Biological_Process_2021,sarcomere organization (GO:0045214),4/28,2.6504640584883067e-05,0.0009295556090841132,0,0,27.34297520661157,288.1454876859368,TNNT1;TPM1;CASQ1;MYLK3
GO_Biological_Process_2021,skeletal muscle tissue development (GO:0007519),4/37,8.185825604027188e-05,0.0026794935810515,0,0,19.876784372652143,187.0509045291303,MYLPF;MYLK2;ACTA1;MYL6B
GO_Biological_Process_2021,mitochondrial ATP synthesis coupled proton transport (GO:0042776),3/17,0.00015200872914051107,0.0046647678754994,0,0,34.88466042154567,306.6910250785712,ATP5F1A;ATP5F1B;ATP5MC3
