Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,aerobic electron transport chain (GO:0019646),15/70,7.746961661644003e-16,6.236877732399689e-13,0,0,26.904545454545456,936.1183894019756,NDUFA8;NDUFB10;NDUFB3;UQCR10;COX5B;COX6C;COX7C;COX5A;UQCRH;NDUFS8;NDUFS4;NDUFAB1;UQCRFS1;UQCRC2;NDUFV1
GO_Biological_Process_2021,mitochondrial ATP synthesis coupled electron transport (GO:0042775),15/71,9.729918459281889e-16,6.236877732399689e-13,0,0,26.42276785714286,913.33351496414,NDUFA8;NDUFB10;NDUFB3;UQCR10;COX5B;COX6C;COX7C;COX5A;UQCRH;NDUFS8;NDUFS4;NDUFAB1;UQCRFS1;UQCRC2;NDUFV1
GO_Biological_Process_2021,fatty acid beta-oxidation (GO:0006635),11/52,7.036700661317306e-12,3.0070167492695954e-09,0,0,25.96652319464371,666.8172441019171,HADHB;HADHA;ACADVL;ACAA2;CPT2;ACOX2;ETFDH;ACADM;ACADS;CRAT;ACAT1
GO_Biological_Process_2021,actin-myosin filament sliding (GO:0033275),8/38,5.8019087758585265e-09,1.487609410130126e-06,0,0,25.44927536231884,482.64751453886817,TPM3;TNNT1;TNNC1;MYL2;MYL3;TNNI1;MYL6B;MYH7
GO_Biological_Process_2021,muscle filament sliding (GO:0030049),8/38,5.8019087758585265e-09,1.487609410130126e-06,0,0,25.44927536231884,482.64751453886817,TPM3;TNNT1;TNNC1;MYL2;MYL3;TNNI1;MYL6B;MYH7
GO_Biological_Process_2021,mitochondrial ATP synthesis coupled proton transport (GO:0042776),6/17,1.6134795576082198e-08,3.4474679880895622e-06,0,0,51.60678555893867,925.9437927962384,ATP5PF;ATP5F1A;ATP5F1B;ATP5PB;ATP5MC3;ATP5MC1
GO_Biological_Process_2021,ATP synthesis coupled proton transport (GO:0015986),6/19,3.474291340530945e-08,6.362916426515245e-06,0,0,43.662863452337135,749.9223514779468,ATP5PF;ATP5F1A;ATP5F1B;ATP5PB;ATP5MC3;ATP5MC1
GO_Biological_Process_2021,muscle contraction (GO:0006936),11/129,1.5052331662170478e-07,2.2042158915027256e-05,0,0,8.987080425390495,141.17937502581478,CKMT2;TPM3;TNNT1;MYL2;TNNC1;MYL3;CASQ2;TNNI1;MYL6B;MYOM3;MYH7
GO_Biological_Process_2021,"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)",7/39,1.7278613439482424e-07,2.2042158915027256e-05,0,0,20.773888221153847,323.4746014471229,NDUFA8;NDUFS8;NDUFB10;NDUFB3;NDUFAB1;NDUFS4;NDUFV1
GO_Biological_Process_2021,mitochondrial respiratory chain complex I assembly (GO:0032981),8/58,1.8912928866248041e-07,2.2042158915027256e-05,0,0,15.254106280193236,236.1463022246288,NDUFA8;NDUFS8;NDUFB10;NDUFS4;NDUFB3;NDUFAB1;TMEM126A;NDUFV1
GO_Biological_Process_2021,NADH dehydrogenase complex assembly (GO:0010257),8/58,1.8912928866248041e-07,2.2042158915027256e-05,0,0,15.254106280193236,236.1463022246288,NDUFA8;NDUFS8;NDUFB10;NDUFS4;NDUFB3;NDUFAB1;TMEM126A;NDUFV1
GO_Biological_Process_2021,fatty acid oxidation (GO:0019395),8/59,2.167909846083765e-07,2.3160503522328215e-05,0,0,14.954248366013072,229.4629540139296,HADHB;HADHA;ACADVL;ACAA2;CPT2;ACADM;ACADS;ACAT1
GO_Biological_Process_2021,heart contraction (GO:0060047),7/41,2.4799698503519805e-07,2.445631806270184e-05,0,0,19.54991515837104,297.3512623694557,TNNC1;MYL2;MYL3;TNNI1;CASQ2;MYH7;SCN2B
GO_Biological_Process_2021,cellular respiration (GO:0045333),7/42,2.948977785758017e-07,2.700421086672698e-05,0,0,18.990384615384617,285.551520976617,NDUFS8;NDUFS4;ETFDH;UQCRFS1;UQCR10;UQCRC2;UQCRH
GO_Biological_Process_2021,cristae formation (GO:0042407),6/28,4.449925123258693e-07,3.8032026720117626e-05,0,0,25.789038712483688,377.17006511976615,ATP5PF;ATP5F1A;ATP5F1B;ATP5PB;ATP5MC3;ATP5MC1
GO_Biological_Process_2021,mitochondrial respiratory chain complex assembly (GO:0033108),9/90,5.390259020218173e-07,4.318945039949812e-05,0,0,10.627831715210355,153.39683256486356,NDUFA8;NDUFS8;NDUFB10;NDUFS4;NDUFB3;NDUFAB1;TMEM126A;UQCRFS1;NDUFV1
GO_Biological_Process_2021,fatty acid catabolic process (GO:0009062),8/70,8.340620060850969e-07,6.289808775300554e-05,0,0,12.29421848215677,172.08166083824233,HADHB;HADHA;ACADVL;ACAA2;CPT2;ACADM;ACADS;ACAT1
GO_Biological_Process_2021,cardiac muscle contraction (GO:0060048),6/34,1.505368096372963e-06,0.0001072156610861188,0,0,20.256664388243337,271.57042636582554,TNNC1;MYL3;TNNI1;CASQ2;MYH7;SCN2B
GO_Biological_Process_2021,striated muscle contraction (GO:0006941),7/54,1.735540586172551e-06,0.00011710331744595844,0,0,14.133183306055647,187.46525151629243,TNNT1;TNNC1;MYL3;CASQ2;TNNI1;MYH7;SCN2B
GO_Biological_Process_2021,fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539),4/10,2.592325900224317e-06,0.0001661680902043787,0,0,62.492890995260666,803.8432480832297,ACADVL;ETFDH;ACADM;ACADS
GO_Biological_Process_2021,"energy coupled proton transport, down electrochemical gradient (GO:0015985)",4/12,6.008020755399567e-06,0.00034055421866222355,0,0,46.86492890995261,563.4296331528574,ATP5F1A;ATP5PB;ATP5MC3;ATP5MC1
GO_Biological_Process_2021,"mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)",4/12,6.008020755399567e-06,0.00034055421866222355,0,0,46.86492890995261,563.4296331528574,UQCRFS1;UQCR10;UQCRC2;UQCRH
GO_Biological_Process_2021,ventricular cardiac muscle tissue development (GO:0003229),5/25,6.109787074283261e-06,0.00034055421866222355,0,0,23.529761904761905,282.48934798007866,TNNC1;MYL2;MYL3;PROX1;MYH7
GO_Biological_Process_2021,regulation of muscle contraction (GO:0006937),5/28,1.100912377009452e-05,0.0005880706947192155,0,0,20.45755693581781,233.5595536146324,TNNT1;TNNC1;MYL2;MYL3;TNNI1
GO_Biological_Process_2021,inner mitochondrial membrane organization (GO:0007007),6/49,1.3685734670833396e-05,0.0007018044739203366,0,0,13.180371647935909,147.60904524209903,ATP5PF;ATP5F1A;ATP5F1B;ATP5PB;ATP5MC3;ATP5MC1
GO_Biological_Process_2021,cardiac muscle tissue morphogenesis (GO:0055008),5/32,2.1782528829475672e-05,0.0010342667392365,0,0,17.423280423280424,187.02850213440087,TNNC1;MYL2;MYL3;PROX1;MYH7
GO_Biological_Process_2021,long-chain fatty acid transport (GO:0015909),5/32,2.1782528829475672e-05,0.0010342667392365,0,0,17.423280423280424,187.02850213440087,FABP3;CPT2;ACSL1;CD36;SLC25A20
GO_Biological_Process_2021,"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",4/17,2.769235954460794e-05,0.0012679144620066,0,0,28.832664965366387,302.5801932424864,COX5B;COX6C;COX5A;COX7C
GO_Biological_Process_2021,ventricular cardiac muscle tissue morphogenesis (GO:0055010),5/34,2.9577162683954695e-05,0.0013075145710631,0,0,16.220032840722496,169.150742651157,TNNC1;MYL2;MYL3;PROX1;MYH7
GO_Biological_Process_2021,mitochondrial translational elongation (GO:0070125),7/89,4.914129547093866e-05,0.0020999713597914,0,0,8.086362570356473,80.22327335002755,MRPL41;MRPS35;MRPS34;MRPS18B;MRPL34;MRPL12;TUFM
GO_Biological_Process_2021,skeletal muscle contraction (GO:0003009),4/20,5.49646842878919e-05,0.0022730556534541,0,0,23.422985781990523,229.7518439689254,TNNT1;TNNC1;TNNI1;MYH7
GO_Biological_Process_2021,fatty acid metabolic process (GO:0006631),8/124,5.9249872878898415e-05,0.0023736980322108,0,0,6.553056804930868,63.78579651422273,CPT2;ACOX2;ACSL1;NDUFAB1;ACOT1;ACADM;CD36;CRAT
GO_Biological_Process_2021,aerobic respiration (GO:0009060),4/21,6.732742601069202e-05,0.0026155684892638,0,0,22.04404795093393,211.75386558397503,NDUFS8;UQCR10;UQCRC2;UQCRH
GO_Biological_Process_2021,cardiac ventricle morphogenesis (GO:0003208),5/44,0.0001057918489785174,0.003988975011484,0,0,12.054945054945057,110.35141407009768,TNNC1;MYL2;MYL3;PROX1;MYH7
GO_Biological_Process_2021,translational elongation (GO:0006414),7/104,0.0001322721443672469,0.004844939687966,0,0,6.830689928628073,61.00249457667652,MRPL41;MRPS35;MRPS34;MRPS18B;MRPL12;MRPL34;TUFM
GO_Biological_Process_2021,mitochondrial translation (GO:0032543),7/105,0.00014044447258741027,0.0050013837182516,0,0,6.760645604395604,59.97164787686403,MRPL41;MRPS35;MRPS34;MRPS18B;MRPL12;MRPL34;TUFM
GO_Biological_Process_2021,negative regulation of catalytic activity (GO:0043086),4/27,0.0001876967157985346,0.0065034375582086,0,0,16.28848135174119,139.76629684853765,ATP5IF1;PLN;PHPT1;SERPINA5
GO_Biological_Process_2021,carnitine metabolic process (GO:0009437),3/12,0.00025088493976197087,0.008464065599338,0,0,31.09433962264151,257.7881242322643,CPT2;ACADM;CRAT
GO_Biological_Process_2021,mitochondrial translational termination (GO:0070126),6/89,0.00039819612431430974,0.0130894213172037,0,0,6.814550066293884,53.34815426870365,MRPL41;MRPS35;MRPS34;MRPS18B;MRPL34;MRPL12
GO_Biological_Process_2021,very long-chain fatty acid metabolic process (GO:0000038),4/33,0.0004161113344137118,0.0133363682679594,0,0,12.914528517731656,100.53389244954433,ACOX2;ACSL1;ACOT1;TECRL
GO_Biological_Process_2021,acetyl-CoA metabolic process (GO:0006084),3/15,0.0005066602027776806,0.0158423995112435,0,0,23.31721698113208,176.9233475508571,HMGCS2;ACSS1;ACAT1
GO_Biological_Process_2021,translational termination (GO:0006415),6/96,0.0005969841513641919,0.0182222305249736,0,0,6.282296650717703,46.63738301227372,MRPL41;MRPS35;MRPS34;MRPS18B;MRPL34;MRPL12
GO_Biological_Process_2021,negative regulation of ATPase activity (GO:0032780),3/17,0.0007452896349564244,0.0222200305119566,0,0,19.984164420485172,143.92070917856896,ATP5IF1;PLN;PPIF
GO_Biological_Process_2021,regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028),3/18,0.0008872873494851892,0.0258523268645457,0,0,18.650943396226417,131.06655174181196,ACAA2;CHCHD10;MUL1
GO_Biological_Process_2021,regulation of mitochondrial membrane permeability (GO:0046902),3/19,0.001045340077305,0.0291331734588059,0,0,17.484375,120.00248691104971,PPIF;MUL1;SLC25A4
GO_Biological_Process_2021,fatty acid transmembrane transport (GO:1902001),3/19,0.001045340077305,0.0291331734588059,0,0,17.484375,120.00248691104971,CPT2;CD36;SLC25A20
GO_Biological_Process_2021,ADP transport (GO:0015866),2/5,0.001125972500029,0.0307126967029211,0,0,61.91549295774648,420.35097922971016,SLC25A42;SLC25A4
GO_Biological_Process_2021,substantia nigra development (GO:0021762),4/43,0.001154017673858,0.0308218887059584,0,0,9.598250091141086,64.92741837021627,ATP5PF;ATP5PB;CKB;SIRT2
GO_Biological_Process_2021,fatty acid transport (GO:0015908),3/20,0.0012201131520024,0.0319221440993296,0,0,16.455049944506104,110.39383121323452,FABP3;ACSL1;CD36
GO_Biological_Process_2021,intracellular lipid transport (GO:0032365),3/21,0.0014122451088498,0.036209964590909,0,0,15.54009433962264,101.98302785306944,FABP3;CPT2;SLC25A20
GO_Biological_Process_2021,negative regulation of lamellipodium organization (GO:1902744),2/6,0.0016770008542963,0.0421551979452535,0,0,46.43427230046948,296.74974614939794,KANK1;ABI3
GO_Biological_Process_2021,regulation of cardiac muscle cell membrane potential (GO:0086036),2/7,0.0023311917745631,0.0533676402676787,0,0,37.14553990610329,225.15307112797632,PLN;ATP2A2
GO_Biological_Process_2021,negative regulation of intracellular transport (GO:0032387),2/7,0.0023311917745631,0.0533676402676787,0,0,37.14553990610329,225.15307112797632,MRLN;PLN
GO_Biological_Process_2021,cardiolipin acyl-chain remodeling (GO:0035965),2/7,0.0023311917745631,0.0533676402676787,0,0,37.14553990610329,225.15307112797632,HADHB;HADHA
GO_Biological_Process_2021,negative regulation of ruffle assembly (GO:1900028),2/7,0.0023311917745631,0.0533676402676787,0,0,37.14553990610329,225.15307112797632,KANK1;ABI3
GO_Biological_Process_2021,creatine metabolic process (GO:0006600),2/7,0.0023311917745631,0.0533676402676787,0,0,37.14553990610329,225.15307112797632,CKMT2;CKB
GO_Biological_Process_2021,mitochondrion organization (GO:0007005),7/175,0.002902955097857,0.0652910251833817,0,0,3.9296875,22.95733678877073,ESRRA;CLUH;ATP5F1B;MUL1;CHCHD10;SIRT5;SLC25A4
GO_Biological_Process_2021,negative regulation of calcium ion import (GO:0090281),2/8,0.0030862843902054,0.0659436098040558,0,0,30.953051643192488,178.9330101358756,MRLN;PLN
GO_Biological_Process_2021,regulation of ATPase-coupled calcium transmembrane transporter activity (GO:1901894),2/8,0.0030862843902054,0.0659436098040558,0,0,30.953051643192488,178.9330101358756,PLN;STRIT1
GO_Biological_Process_2021,lipid import into cell (GO:0140354),2/8,0.0030862843902054,0.0659436098040558,0,0,30.953051643192488,178.9330101358756,ACSL1;CD36
GO_Biological_Process_2021,ketone body biosynthetic process (GO:0046951),2/9,0.0039400541021331,0.0828057271956501,0,0,26.52984574111335,146.88410460392782,HMGCS2;ACAT1
GO_Biological_Process_2021,regulation of striated muscle contraction (GO:0006942),3/30,0.004015437023104,0.0830288752196678,0,0,10.355345911949684,57.13675073292928,MYL2;MYL3;TNNI1
