Sample_ID,Cluster
1014,0
2066,0
3005,2
3007,2
3016,0
3019,2
3021,3
3027,3
3031,0
3034,1
3037,0
3053,0
3055,3
3061,3
3070,0
4026,3
4070,2
4093,0
4095,0
4219,2
4260,2
4264,2
5010,0
5055,3
5069,0
5100,2
5101,0
5128,2
5129,2
5134,2
5135,2
5137,0
5159,2
5162,2
5210,2
5211,2
5223,2
6003,2
6142,2
6143,2
6144,2
6147,2
6156,2
6159,2
6164,2
6170,0
6175,0
6181,0
6185,2
6189,2
6196,2
6199,2
6213,2
6215,0
7037,0
7050,2
7056,2
7077,2
7100,2
7117,0
7131,1
7147,0
7156,0
7180,2
7181,0
7183,2
7227,2
7238,3
7245,2
7254,0
7257,2
7288,0
7308,0
7338,2
7343,2
7353,2
7359,0
7362,2
7364,2
7411,2
7455,0
7486,2
7495,2
