Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,actin-myosin filament sliding (GO:0033275),4/38,2.542281683924471e-07,4.321878862671599e-05,0,0,93.82117647058824,1424.6777238901468,ACTA1;MYL2;TPM1;TNNI1
GO_Biological_Process_2021,muscle filament sliding (GO:0030049),4/38,2.542281683924471e-07,4.321878862671599e-05,0,0,93.82117647058824,1424.6777238901468,ACTA1;MYL2;TPM1;TNNI1
GO_Biological_Process_2021,myofibril assembly (GO:0030239),4/43,4.229212865273638e-07,4.79310791397679e-05,0,0,81.77230769230769,1200.0969097759744,MYL2;TPM1;CASQ1;MYLK3
GO_Biological_Process_2021,regulation of muscle contraction (GO:0006937),3/28,8.762358661369576e-06,0.0005958403889731312,0,0,92.05846153846154,1072.024967353928,MYL2;TPM1;TNNI1
GO_Biological_Process_2021,sarcomere organization (GO:0045214),3/28,8.762358661369576e-06,0.0005958403889731312,0,0,92.05846153846154,1072.024967353928,TPM1;CASQ1;MYLK3
GO_Biological_Process_2021,heart contraction (GO:0060047),3/41,2.815371843448461e-05,0.0015953773779541,0,0,60.5253036437247,634.1739099757752,MYL2;TPM1;TNNI1
GO_Biological_Process_2021,muscle contraction (GO:0006936),4/129,3.4619512584576376e-05,0.0016815191826794,0,0,25.40288,260.91534516622613,ACTA1;MYL2;TPM1;TNNI1
GO_Biological_Process_2021,actomyosin structure organization (GO:0031032),3/76,0.00017944539884950534,0.0076264294511039,0,0,31.45100105374078,271.28499955096464,TPM1;CASQ1;MYLK3
GO_Biological_Process_2021,cardiac myofibril assembly (GO:0055003),2/15,0.00021067369304735427,0.0079587839595667,0,0,113.72079772079772,962.6693082346336,MYL2;MYLK3
GO_Biological_Process_2021,"synaptic transmission, glutamatergic (GO:0035249)",2/18,0.00030615524060429166,0.0104092781805459,0,0,92.38425925925924,747.5196825305202,UNC13B;SLC1A4
GO_Biological_Process_2021,response to fatty acid (GO:0070542),2/19,0.0003418661725917297,0.0105667726073807,0,0,86.94553376906318,693.9202349386427,SCD;LPL
GO_Biological_Process_2021,cardiac muscle cell development (GO:0055013),2/24,0.0005493106201692561,0.0155638009047955,0,0,67.16835016835017,504.2224932837275,MYL2;MYLK3
GO_Biological_Process_2021,ventricular cardiac muscle tissue development (GO:0003229),2/25,0.0005965405735475059,0.0156018303850886,0,0,64.24476650563606,476.9764866217298,MYL2;TPM1
GO_Biological_Process_2021,fatty acid metabolic process (GO:0006631),3/124,0.0007554931958965652,0.0183476919003451,0,0,18.92879847425302,136.06284934553165,ACOT2;LPL;ACADM
GO_Biological_Process_2021,regulation of striated muscle contraction (GO:0006942),2/30,0.0008611074752315914,0.0195184361052494,0,0,52.75925925925926,372.337457949904,MYL2;TNNI1
GO_Biological_Process_2021,cardiac muscle tissue morphogenesis (GO:0055008),2/32,0.0009800983780770412,0.0208270905341371,0,0,49.23703703703704,341.1071815115415,MYL2;TPM1
GO_Biological_Process_2021,ventricular cardiac muscle tissue morphogenesis (GO:0055010),2/34,0.0011065494758484,0.0209014900993604,0,0,46.1550925925926,314.1550386183129,MYL2;TPM1
GO_Biological_Process_2021,cardiac muscle contraction (GO:0060048),2/34,0.0011065494758484,0.0209014900993604,0,0,46.1550925925926,314.1550386183129,TPM1;TNNI1
GO_Biological_Process_2021,cardiac ventricle morphogenesis (GO:0003208),2/44,0.001849270687118,0.0330922122957964,0,0,35.148148148148145,221.1860288821128,MYL2;TPM1
GO_Biological_Process_2021,response to glucose (GO:0009749),2/49,0.0022885917810906,0.038906060278541,0,0,31.401103230890463,190.9130112741173,UNC13B;LPL
GO_Biological_Process_2021,striated muscle contraction (GO:0006941),2/54,0.0027723814931392,0.0448861765555885,0,0,28.37464387464388,167.0712816687644,TPM1;TNNI1
GO_Biological_Process_2021,dicarboxylic acid metabolic process (GO:0043648),2/57,0.0030837416436239,0.0455857460361795,0,0,26.822895622895626,155.07956447715807,ALDH5A1;MDH1
GO_Biological_Process_2021,carboxylic acid transport (GO:0046942),2/57,0.0030837416436239,0.0455857460361795,0,0,26.822895622895626,155.07956447715807,SLC16A7;SLC1A4
GO_Biological_Process_2021,fatty acid biosynthetic process (GO:0006633),2/71,0.004741579240052,0.0614519536995024,0,0,21.365539452495973,114.33522789333304,SCD;LPL
GO_Biological_Process_2021,lipid biosynthetic process (GO:0008610),2/80,0.0059811421098148,0.0614519536995024,0,0,18.891737891737893,96.709521784955,SCD;LPL
GO_Biological_Process_2021,positive regulation of cell adhesion (GO:0045785),2/80,0.0059811421098148,0.0614519536995024,0,0,18.891737891737893,96.709521784955,RET;TPM1
GO_Biological_Process_2021,vascular transport (GO:0010232),2/84,0.0065746073454197,0.0614519536995024,0,0,17.96657633242999,90.27378902777065,SLC16A7;SLC1A4
GO_Biological_Process_2021,transport across blood-brain barrier (GO:0150104),2/86,0.0068810180544998,0.0614519536995024,0,0,17.537037037037038,87.31670862414636,SLC16A7;SLC1A4
GO_Biological_Process_2021,L-aspartate transmembrane transport (GO:0070778),1/5,0.0072296416117061,0.0614519536995024,0,0,178.27678571428572,878.8271482248972,SLC1A4
GO_Biological_Process_2021,cellular response to nutrient (GO:0031670),1/5,0.0072296416117061,0.0614519536995024,0,0,178.27678571428572,878.8271482248972,LPL
GO_Biological_Process_2021,amino-acid betaine biosynthetic process (GO:0006578),1/5,0.0072296416117061,0.0614519536995024,0,0,178.27678571428572,878.8271482248972,ACADM
GO_Biological_Process_2021,regulation of synaptic vesicle priming (GO:0010807),1/5,0.0072296416117061,0.0614519536995024,0,0,178.27678571428572,878.8271482248972,UNC13B
GO_Biological_Process_2021,gamma-aminobutyric acid metabolic process (GO:0009448),1/5,0.0072296416117061,0.0614519536995024,0,0,178.27678571428572,878.8271482248972,ALDH5A1
GO_Biological_Process_2021,medium-chain fatty acid catabolic process (GO:0051793),1/5,0.0072296416117061,0.0614519536995024,0,0,178.27678571428572,878.8271482248972,ACADM
GO_Biological_Process_2021,glial cell-derived neurotrophic factor receptor signaling pathway (GO:0035860),1/5,0.0072296416117061,0.0614519536995024,0,0,178.27678571428572,878.8271482248972,RET
GO_Biological_Process_2021,positive regulation of store-operated calcium channel activity (GO:1901341),1/5,0.0072296416117061,0.0614519536995024,0,0,178.27678571428572,878.8271482248972,CASQ1
GO_Biological_Process_2021,positive regulation of the force of heart contraction (GO:0098735),1/5,0.0072296416117061,0.0614519536995024,0,0,178.27678571428572,878.8271482248972,MYL2
