miRNA,TargetGene,miRNA_regulation,RNA_regulation
hsa-miR-425-5p,IGSF1,up,up
hsa-miR-425-5p,RRM2,up,up
hsa-miR-425-5p,BIRC5,up,up
hsa-miR-425-5p,BHLHB9,up,up
hsa-miR-425-5p,SHCBP1,up,up
hsa-miR-425-5p,CKS1B,up,up
hsa-miR-425-5p,GNB5,up,up
hsa-miR-107,MYB,up,up
hsa-miR-107,ADD2,up,up
hsa-miR-107,CCNE1,up,up
hsa-miR-107,CHRM1,up,up
hsa-miR-107,CYP2C8,up,up
hsa-miR-107,PHGDH,up,up
hsa-let-7a-5p,ASPM,up,up
hsa-let-7a-5p,CDC7,up,up
hsa-let-7a-5p,FOXA1,up,up
hsa-let-7a-5p,SYNPR,up,up
hsa-let-7a-5p,LIN28A,up,up
hsa-let-7a-5p,DYNC2H1,up,up
hsa-let-7a-5p,NR1I2,up,up
hsa-let-7a-5p,NPTX1,up,up
hsa-let-7a-5p,CCNB2,up,up
hsa-let-7a-5p,HMGA2,up,up
hsa-let-7a-5p,MPL,up,up
hsa-let-7a-5p,RRM2,up,up
hsa-let-7a-5p,FAM171A2,up,up
hsa-let-7a-5p,SEL1L3,up,up
hsa-let-7a-5p,PTP4A1,up,up
hsa-let-7a-5p,EZH2,up,up
hsa-let-7a-5p,E2F2,up,up
hsa-let-7a-5p,RAB13,up,up
hsa-let-7a-5p,UPP2,up,up
hsa-let-7a-5p,TTC26,up,up
hsa-let-7a-5p,TTC22,up,up
hsa-let-7a-5p,TMEM241,up,up
hsa-let-7a-5p,AOC2,up,up
hsa-let-7a-5p,SMPDL3B,up,up
hsa-let-7a-5p,JPH4,up,up
hsa-let-7a-5p,GP5,up,up
hsa-let-7a-5p,C2CD4A,up,up
hsa-let-7a-5p,PAQR5,up,up
hsa-let-7a-5p,CASP8,up,up
hsa-let-7a-5p,EXPH5,up,up
hsa-let-7a-5p,SKA3,up,up
hsa-let-7a-5p,LILRB4,up,up
hsa-let-7a-5p,NEFM,up,up
hsa-let-7a-5p,DNAJC6,up,up
hsa-let-7a-5p,KRTAP19-1,up,up
hsa-let-7a-5p,TRIM71,up,up
hsa-let-7a-5p,DSC3,up,up
hsa-let-7a-5p,UHRF1,up,up
hsa-let-7a-5p,POU3F2,up,up
hsa-let-7c-5p,FANCI,up,up
hsa-let-7c-5p,NPTX1,up,up
