gene,log2FC,p_value,FDR
LMCD1-AS1,1.3630467383374378,6.916951810877651e-11,2.9044280653875257e-07
LINC02236,1.5121666750602023,3.691134618643402e-10,5.166358087894549e-07
TM4SF19-AS1,1.83989185667666,3.1341221437056704e-10,5.166358087894549e-07
LINC01915,1.8986267811964204,1.9736518906425837e-09,1.3812273814680347e-06
GORAB-AS1,2.0960617213545416,1.8416315628466801e-09,1.3812273814680347e-06
LINC02103,2.043547715172209,1.749571322833973e-09,1.3812273814680347e-06
LINC01013,1.898115077748277,2.690107315427988e-09,1.6136800882117316e-06
LINC00839,1.9362740157687712,3.411706598929323e-09,1.7907195011130283e-06
RNASEH2B-AS1,1.57547068862784,7.821031095605963e-09,2.7367091308707866e-06
ARRDC3-AS1,1.5769672409977709,6.943203236717791e-09,2.7367091308707866e-06
LINC01852,1.6131622519492699,7.18942806358416e-09,2.7367091308707866e-06
SPAG5-AS1,1.4801533681872436,6.659582107073726e-09,2.7367091308707866e-06
BASP1-AS1,2.662601774979787,9.337558162940845e-09,3.016031286629893e-06
STXBP5-AS1,1.6057928159843768,1.1655960767359328e-08,3.2628919508094547e-06
SACS-AS1,1.951602244157454,1.1084543657020246e-08,3.2628919508094547e-06
CDKN2B-AS1,2.1679314341883766,1.4218801348683782e-08,3.7315466789452e-06
CSMD2-AS1,2.6859165208575897,1.818178915532649e-08,3.7498809428774194e-06
SFTA1P,2.2536479853870204,2.2889486347222496e-08,3.7498809428774194e-06
TYMSOS,2.3495876984396116,2.2865454634577853e-08,3.7498809428774194e-06
LINC01828,2.3080939557406306,2.2494223256319738e-08,3.7498809428774194e-06
BAALC-AS1,1.2563184856606224,2.0473632394361878e-08,3.7498809428774194e-06
STARD13-AS,2.0117818593366636,2.3219077045680615e-08,3.7498809428774194e-06
LINC01705,2.0672459762595827,1.598552978039486e-08,3.7498809428774194e-06
LINC01650,2.3188053766867553,1.668028846623659e-08,3.7498809428774194e-06
TDRG1,2.525666752211186,2.0706190162108598e-08,3.7498809428774194e-06
LINC00623,1.528543513170389,2.1735906705202088e-08,3.7498809428774194e-06
LINC02412,2.1571773247886843,3.796380635924746e-08,3.863655852384682e-06
PLCE1-AS1,2.258653315592049,2.6395678810033632e-08,3.863655852384682e-06
HRAT17,2.148689812518226,2.8573846881215497e-08,3.863655852384682e-06
HELLPAR,1.9736960619635364,3.998146361565358e-08,3.863655852384682e-06
LINC02516,1.9437406722890402,3.619860715382301e-08,3.863655852384682e-06
LINC00920,1.615515420759186,4.0535360812558634e-08,3.863655852384682e-06
LAMA4-AS1,2.5001834430416605,3.940730862647178e-08,3.863655852384682e-06
KAZN-AS1,2.902230103659113,4.195557038600872e-08,3.863655852384682e-06
LINC01553,2.51956586640152,4.1622011357528975e-08,3.863655852384682e-06
LINC00607,2.227283719893334,3.3999924282228436e-08,3.863655852384682e-06
LINC01622,2.426242110266569,3.689102816011346e-08,3.863655852384682e-06
LINC00578,1.8535344648179033,3.053055009671458e-08,3.863655852384682e-06
LINC00237,2.373088994373726,3.206630375948577e-08,3.863655852384682e-06
MAFTRR,1.2175670312274158,3.037563160484932e-08,3.863655852384682e-06
RMDN2-AS1,2.312981766843924,2.7926352171491572e-08,3.863655852384682e-06
LINC02384,1.7244792748670261,3.195508730831437e-08,3.863655852384682e-06
TRG-AS1,1.6555155506409918,3.079249973472905e-08,3.863655852384682e-06
KIZ-AS1,2.562091515220267,4.232630845670288e-08,3.863655852384682e-06
LINC00841,1.8393185625482347,3.5352811101070904e-08,3.863655852384682e-06
ACOXL-AS1,1.37592915710708,3.91073153997369e-08,3.863655852384682e-06
LINC02694,2.0494252854566937,4.567494974337751e-08,3.964568324517682e-06
LNC-LBCS,2.3371895410432595,4.4518066093523253e-08,3.964568324517682e-06
ZBTB20-AS1,2.460804705720837,4.6264312431856734e-08,3.964568324517682e-06
LINC02183,2.3874800865372294,5.399144344180752e-08,4.534201420242995e-06
LINC02715,2.317730142865837,5.765604500190843e-08,4.747014371823794e-06
LINC02301,2.352321314577036,6.007292681088823e-08,4.823126335719313e-06
LINC00442,2.437439405780692,6.087775560684058e-08,4.823126335719313e-06
THBS4-AS1,2.1412230470960667,6.473806922638098e-08,5.033984308918033e-06
LINC00457,2.4286479305998525,6.73056293970166e-08,5.13847886978314e-06
LINC00626,2.375815198769174,6.978253889842851e-08,5.232444300616095e-06
LINC01060,2.426151341511899,7.180188272483027e-08,5.233301235218462e-06
THORLNC,2.224499691978785,7.228660910756629e-08,5.233301235218462e-06
LINC02054,2.418905091126433,7.451114361463166e-08,5.302920204031158e-06
KLHL30-AS1,2.8473151994031354,8.513678651777204e-08,5.958156109802081e-06
LINC01681,2.0786973679662673,8.813949257373074e-08,6.067175890444186e-06
LINC02773,1.5966563934038187,9.575441250859663e-08,6.389611120845459e-06
LINC00937,2.3257134561119446,9.586699228703593e-08,6.389611120845459e-06
PCAT1,1.5980470728958307,1.0014095883055075e-07,6.482504758977252e-06
LINC01619,1.1524901388763706,1.0034837088200081e-07,6.482504758977252e-06
TMEM30A-DT,1.363368069109381,1.0907586714794267e-07,6.549577895237395e-06
PRNCR1,1.0339568851363137,1.0940022242693626e-07,6.549577895237395e-06
LERFS,1.4391208489993512,1.0502386207981393e-07,6.549577895237395e-06
LINC02479,2.6144717423448527,1.1074542285350203e-07,6.549577895237395e-06
GRM3-AS1,1.58055193456583,1.080748487111265e-07,6.549577895237395e-06
MIR2052HG,1.2392987044521262,1.0421349044972844e-07,6.549577895237395e-06
MIR7515HG,2.375199887081951,1.1423330551436212e-07,6.5707623267781715e-06
LINC00690,2.372554167666304,1.1287500852048072e-07,6.5707623267781715e-06
PCAT4,2.456181854423628,1.2093976400028038e-07,6.771014253829031e-06
HULC,1.4187187808418482,1.2008566954738826e-07,6.771014253829031e-06
PURPL,1.8682902859962804,1.2422376938742823e-07,6.863363258655409e-06
LINC01962,2.030732437792505,1.2702568180050182e-07,6.914310116239791e-06
LINC00994,2.399536104271165,1.2893986085295748e-07,6.914310116239791e-06
LINC01625,2.005458583431633,1.3008585358012465e-07,6.914310116239791e-06
LINC00299,2.1658093544240167,1.3372623297956524e-07,7.018955653514931e-06
LINC02133,2.2859788883016106,1.4130226614171903e-07,7.3250396978898535e-06
LINC01684,1.6674569659199237,1.4496054620762725e-07,7.33360642802201e-06
LINC01208,2.284409013217328,1.4455234074413356e-07,7.33360642802201e-06
TMEM51-AS1,1.5953648481010458,1.4842803911301984e-07,7.41963495518536e-06
LINC00426,2.0920688432637142,1.5071359365446534e-07,7.4331541061331066e-06
B3GALT5-AS1,2.759495115641549,1.5223892667955398e-07,7.4331541061331066e-06
LINC01442,2.6187761565982384,1.588539132696063e-07,7.562979671336622e-06
LINC00877,2.278870977569958,1.639035842085336e-07,7.562979671336622e-06
LINC02201,2.504221894702416,1.5798757926165378e-07,7.562979671336622e-06
MEIS1-AS2,2.195050481112791,1.604108417790005e-07,7.562979671336622e-06
TMEM132D-AS2,2.3519782457271603,1.637193454679981e-07,7.562979671336622e-06
LINC00332,2.5544896376710535,1.676286695186514e-07,7.650791122921926e-06
