gene,log2FC,p_value,FDR
CAST,-0.4761349437771627,7.055824590678964e-07,
CDR1,1.4050946958043127,0.008139750497800283,
GOLGA8M,0.2901280666874206,0.3223195104011707,
KAAG1,1.0848888970550268,0.051512164650637446,
LINC02203,1.4974996588405216,0.009959787634712796,
MALL,-0.47322726293199024,0.0034727847956993524,
NXF5,1.1502426354323863,0.01268553954647537,
PRKY,-0.3843109836416255,0.3938766720902971,
SIGLEC5,0.6858914090260523,0.3096750069289447,
SPATA13,-0.3076364212984578,0.0170740698044114,
ST20,-0.3764422539504878,0.046252827995778574,
TRIM16L,-0.5110911216306644,0.0015101304642777637,
ZNF781,-0.28782686727547835,0.06895671644205868,
A1BG-AS1,-0.5223315124260486,0.004979275037868557,
A2M-AS1,-0.5189144824749843,0.0004751061611932556,
A2ML1-AS1,1.2552570546200932,0.0265961369836513,
A2ML1-AS2,0.99999999872377,0.10292726230538692,
AA06,1.9541963088481944,0.010388119889803678,
AADACL2-AS1,0.8395353274215139,0.05804152797966214,
AATBC,0.1573563279265102,0.5877756256261659,
ABALON,0.6520766964360482,0.14871075842169468,
ABCA9-AS1,1.3190106113042366,0.006638595002835883,
ABCC5-AS1,0.6114347117639342,0.25292409970020596,
ABHD15-AS1,1.8300749959077371,0.023991209599681474,
ACAP2-IT1,-0.052787414356967155,0.6632488492986605,
ACBD3-AS1,0.5719063476022082,0.26556695304322897,
ACOXL-AS1,0.5050556338923226,0.05726264601962919,
ACSL3-AS1,-0.6100534810817729,0.3201250124177593,
ACSL6-AS1,0.4806258406877796,0.3806100704282557,
ACTA2-AS1,0.2823997306830102,0.2909760974961666,
ACVR2B-AS1,-0.3085231664742365,0.008759026574943974,
ADAMTS9-AS1,0.15181250026503476,0.5183585135368509,
ADAMTS9-AS2,-0.3985006030130337,0.01037834058713742,
ADAMTS19-AS1,0.3641563302522301,0.14289970685403983,
ADAMTSL4-AS1,-0.18088193653655815,0.6729207470216478,
ADAMTSL4-AS2,-0.06995353418731842,0.8831143500716173,
ADARB2-AS1,1.7004397171839194,0.0059723063362460945,
ADCY6-DT,1.4329594062314883,0.08238029959244658,
ADD3-AS1,0.678478928656396,0.04057621019369316,
ADGRA1-AS1,1.038819248580865,0.02348491821096618,
ADGRD1-AS1,0.974909018475103,0.10438283478285665,
ADGRF5-AS1,1.0888092666787843,0.032287456304343286,
ADGRL3-AS1,0.8031426706261446,0.049623961882578047,
