gene,log2FC,p_value,FDR
CAST,-0.4761349437771627,7.055824590678964e-07,
CDR1,1.4050946958043127,0.008139750497800283,
LINC02203,1.4974996588405216,0.009959787634712796,
MALL,-0.47322726293199024,0.0034727847956993524,
TRIM16L,-0.5110911216306644,0.0015101304642777637,
A1BG-AS1,-0.5223315124260486,0.004979275037868557,
A2M-AS1,-0.5189144824749843,0.0004751061611932556,
ABCA9-AS1,1.3190106113042366,0.006638595002835883,
ACVR2B-AS1,-0.3085231664742365,0.008759026574943974,
ADARB2-AS1,1.7004397171839194,0.0059723063362460945,
ADIPOQ-AS1,1.3084448652936869,0.00676855690956566,
ANKRD10-IT1,-0.489044593414613,2.1689063228629582e-05,
ANO3-AS1,1.6270879758951746,0.004816230387579039,
ARHGAP5-AS1,-0.352190933588148,0.009545355523041454,
ARHGAP15-AS1,1.2454760341400235,0.008236430461831458,
ARHGAP31-AS1,1.2223924209646608,0.006380873080495582,
ARRDC1-AS1,-0.5063526660216895,2.8315519713333033e-06,
ARSD-AS1,1.4854268263169907,0.006939119674768488,
ASB16-AS1,-0.41353748201496543,0.00026878598999802964,
ASH1L-AS1,-0.4553454879124226,0.0005432933898972651,
ASH1L-IT1,-0.35898168962845245,0.006949169485311914,
ATP13A4-AS1,1.332983283011541,0.007439715430258794,
BACE1-AS,-0.533853517171657,1.396196520835891e-08,
BANCR,1.3219280944133338,0.009955343142903837,
BASP1-AS1,1.2027338955001339,0.009101417996646658,
BCDIN3D-AS1,-0.42197910868867144,0.0008214086201879312,
BFSP2-AS1,1.862496475521067,0.0011186000330427406,
BMP7-AS1,2.115477213165835,0.008612616315234276,
BTBD9-AS1,1.8981203848771726,0.0016945481382994705,
C1QTNF9-AS1,2.104336658541474,0.003475047027505739,
C8orf34-AS1,1.3197569956961923,0.004974380698979321,
C8orf44,-0.56303135931536,2.140578223026797e-06,
C10orf71-AS1,-0.6108186342007379,0.00013885753719557203,
CACNA2D1-AS1,1.915607812340131,0.004088284943020598,
CACNA2D3-AS1,1.4396231372952546,0.0023354713423131587,
CADM2-AS1,1.3048545812379624,0.006481184135015321,
CADM2-AS2,1.3286227469969372,0.006746875823324694,
CARD11-AS1,1.3125902296685743,0.008609230508704145,
CARNMT1-AS1,1.4114262453123136,0.004229658570967138,
CASC6,1.3338301838252027,0.004302082048614877,
CASC8,1.2517832706959668,0.004707929141493136,
CASC16,1.4565141350206543,0.0031674752912403165,
