Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,nucleic acid transport (GO:0050657),1/10,0.8548885173988009,0.9999962973328208,0,0,0.5218644121465438,0.0818200983090366,NXF5
GO_Biological_Process_2021,poly(A)+ mRNA export from nucleus (GO:0016973),1/21,0.9826587568610274,0.9999962973328208,0,0,0.2346822456540324,0.0041053818773296,NXF5
GO_Biological_Process_2021,neutrophil mediated immunity (GO:0002446),1/488,0.9999938039682388,0.9999962973328208,0,0,0.0093645966400274,5.8023517969537356e-08,SIGLEC5
GO_Biological_Process_2021,neutrophil activation involved in immune response (GO:0002283),1/485,0.999993814073286,0.9999962973328208,0,0,0.0094244080746321,5.8298877988750224e-08,SIGLEC5
GO_Biological_Process_2021,neutrophil degranulation (GO:0043312),1/481,0.999993827716652,0.9999962973328208,0,0,0.0095053196542224,5.866970728222496e-08,SIGLEC5
GO_Biological_Process_2021,organelle assembly (GO:0070925),1/425,0.999994029731596,0.9999962973328208,0,0,0.0107983782940901,6.446940919234185e-08,GOLGA8M
GO_Biological_Process_2021,organelle organization (GO:0006996),1/420,0.9999940488784936,0.9999962973328208,0,0,0.0109306379572201,6.50497481839537e-08,GOLGA8M
GO_Biological_Process_2021,gene expression (GO:0010467),1/356,0.9999943136861256,0.9999962973328208,0,0,0.0129526087846543,7.365280844751307e-08,NXF5
GO_Biological_Process_2021,endomembrane system organization (GO:0010256),1/199,0.9999952019572356,0.9999962973328208,0,0,0.0234490818702844,1.1250996751430667e-07,GOLGA8M
GO_Biological_Process_2021,Golgi organization (GO:0007030),1/130,0.9999958064396476,0.9999962973328208,0,0,0.0361440459858481,1.515725560367353e-07,GOLGA8M
GO_Biological_Process_2021,mRNA export from nucleus (GO:0006406),1/107,0.9999960685675482,0.9999962973328208,0,0,0.0440484576049726,1.731738760912506e-07,NXF5
GO_Biological_Process_2021,RNA export from nucleus (GO:0006405),1/106,0.9999960808002148,0.9999962973328208,0,0,0.0444706808343172,1.742898243099526e-07,NXF5
GO_Biological_Process_2021,RNA transport (GO:0050658),1/76,0.9999960976717576,0.9999962973328208,0,0,0.0623729457585256,2.43400182711268e-07,NXF5
GO_Biological_Process_2021,mRNA transport (GO:0051028),1/104,0.9999961054769808,0.9999962973328208,0,0,0.0453397228209292,1.7657693804636785e-07,NXF5
GO_Biological_Process_2021,mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427),1/99,0.9999961674921544,0.9999962973328208,0,0,0.0476675138564972,1.8268647090557818e-07,NXF5
GO_Biological_Process_2021,spindle assembly (GO:0051225),1/84,0.9999962973328208,0.9999962973328208,0,0,0.0563336274708409,2.0858505968205146e-07,GOLGA8M
