Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,zymogen inhibition (GO:0097341),1/5,0.0664182292057278,0.2293448311637938,0,0,18.127757352941178,49.15855734136795,CAST
GO_Biological_Process_2021,regulation of type B pancreatic cell apoptotic process (GO:2000674),1/5,0.0664182292057278,0.2293448311637938,0,0,18.127757352941178,49.15855734136795,CAST
GO_Biological_Process_2021,presynaptic active zone organization (GO:1990709),1/6,0.0791647822835003,0.2293448311637938,0,0,14.501470588235296,36.77897407511151,CAST
GO_Biological_Process_2021,inhibition of cysteine-type endopeptidase activity (GO:0097340),1/7,0.0917379324655175,0.2293448311637938,0,0,12.083946078431373,28.866363938089503,CAST
GO_Biological_Process_2021,negative regulation of epithelial cell apoptotic process (GO:1904036),1/37,0.3988970566706571,0.6988009507216421,0,0,2.0109272875816995,1.8481465418248293,CAST
GO_Biological_Process_2021,myelination (GO:0042552),1/48,0.483403574345355,0.6988009507216421,0,0,1.539424280350438,1.119012768926296,MALL
GO_Biological_Process_2021,negative regulation of cysteine-type endopeptidase activity (GO:2000117),1/53,0.5177953483498964,0.6988009507216421,0,0,1.3910492081447965,0.9155540840938876,CAST
GO_Biological_Process_2021,cholesterol homeostasis (GO:0042632),1/71,0.6237669967208122,0.6988009507216421,0,0,1.032405462184874,0.4872730606794062,MALL
GO_Biological_Process_2021,sterol homeostasis (GO:0055092),1/72,0.6289208556494779,0.6988009507216421,0,0,1.0178127589063797,0.4720105202504849,MALL
GO_Biological_Process_2021,synapse organization (GO:0050808),1/126,0.8239895063456198,0.8239895063456198,0,0,0.5765294117647058,0.1116146436683535,CAST
