gene_id,gene_name,gene_biotype
ENSG00000232596,LINC01646,lncRNA
ENSG00000231510,LINC02782,lncRNA
ENSG00000284674,LINC02781,lncRNA
ENSG00000230523,LINC01756,lncRNA
ENSG00000175147,TMEM51-AS1,lncRNA
ENSG00000236648,LINC02810,lncRNA
ENSG00000261781,LINC01654,lncRNA
ENSG00000227466,PDE4B-AS1,lncRNA
ENSG00000228853,NEGR1-IT1,lncRNA
ENSG00000231987,LINC01787,lncRNA
ENSG00000203864,LINC02868,lncRNA
ENSG00000285532,LINC02788,lncRNA
ENSG00000227091,SLC6A17-AS1,lncRNA
ENSG00000235887,LINC02799,lncRNA
ENSG00000231175,LINC01720,lncRNA
ENSG00000224468,LAMC1-AS1,lncRNA
ENSG00000224702,LMX1A-AS2,lncRNA
ENSG00000226486,LINC01035,lncRNA
ENSG00000231814,LINC00210,lncRNA
ENSG00000232100,LINC01653,lncRNA
ENSG00000261453,LINC01735,lncRNA
ENSG00000225561,LINC01710,lncRNA
ENSG00000230184,SMYD3-IT1,lncRNA
ENSG00000227751,RCC2-AS1,lncRNA
ENSG00000224857,LINC01691,lncRNA
ENSG00000231605,LINC01363,lncRNA
ENSG00000233047,LINC01677,lncRNA
ENSG00000188004,SNHG28,lncRNA
ENSG00000281912,LINC01144,lncRNA
ENSG00000224276,ARHGEF2-AS1,lncRNA
ENSG00000237424,FOXD2-AS1,lncRNA
ENSG00000237200,ZBTB40-IT1,lncRNA
ENSG00000223776,LGALS8-AS1,lncRNA
ENSG00000260941,LINC00622,lncRNA
ENSG00000227773,ASH1L-IT1,lncRNA
ENSG00000229348,HYI-AS1,lncRNA
ENSG00000272455,MRPL20-DT,lncRNA
ENSG00000203804,ADAMTSL4-AS1,lncRNA
ENSG00000276255,LINC02809,lncRNA
ENSG00000162913,OBSCN-AS1,lncRNA
ENSG00000221571,RNU6ATAC35P,lncRNA
ENSG00000238078,LINC01352,lncRNA
ENSG00000236535,RC3H1-IT1,lncRNA
ENSG00000232558,KCND3-IT1,lncRNA
ENSG00000237556,KCND3-AS1,lncRNA
ENSG00000228548,ITPKB-AS1,lncRNA
ENSG00000230005,SNAP47-AS1,lncRNA
ENSG00000198711,SSBP3-AS1,lncRNA
ENSG00000232964,LINC01737,lncRNA
ENSG00000228939,AKT3-IT1,lncRNA
ENSG00000223823,LINC01342,lncRNA
ENSG00000231346,LINC01160,lncRNA
ENSG00000231105,ECE1-AS1,lncRNA
ENSG00000242125,SNHG3,lncRNA
