"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","platform_id","contact_name","contact_email","contact_phone","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell line:ch1","tissue:ch1"
"GSM8059571","AB_1, small RNA, Colorectal","GSM8059571","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736123","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504351","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059572","AB_2, small RNA, Colorectal","GSM8059572","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736122","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504352","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059573","AB_3, small RNA, Pancreas","GSM8059573","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736121","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504353","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059574","AB_4, small RNA, Pancreas","GSM8059574","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736120","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504354","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059575","AB_5, small RNA, Pancreas","GSM8059575","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736119","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504355","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059576","AB_6, small RNA, Pancreas","GSM8059576","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736118","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504356","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059577","AB_7, small RNA, Pancreas","GSM8059577","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736117","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504357","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059578","AB_8, small RNA, Colorectal","GSM8059578","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736116","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504358","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059579","AB_9, small RNA, Pancreas","GSM8059579","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736115","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504359","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059580","AB_10, small RNA, Colorectal","GSM8059580","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736114","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504360","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
