Sample_ID,Cluster
NS.1404.001.NEBNext_S05.3016,0
NS.1404.001.NEBNext_S02.2066,1
NS.1404.001.NEBNext_S04.3007,0
NS.1404.001.NEBNext_S01.1014,1
NS.1404.001.NEBNext_S03.3005,1
NS.1404.001.NEBNext_S09.3031,1
NS.1404.001.NEBNext_S08.3027,1
NS.1404.001.NEBNext_S10.3034,1
NS.1404.001.NEBNext_S06.3019,1
NS.1404.001.NEBNext_S07.3021,1
NS.1404.001.NEBNext_S13.3055,0
NS.1404.001.NEBNext_S12.3053,0
NS.1404.001.NEBNext_S14.3061,0
NS.1404.001.NEBNext_S11.3037-1,1
NS.1404.001.NEBNext_S15.3070-2,0
NS.1404.001.NEBNext_S19.4095,1
NS.1404.001.NEBNext_S16.4026,1
NS.1404.001.NEBNext_S20.4219,1
NS.1404.001.NEBNext_S17.4070-2,1
NS.1404.001.NEBNext_S18.4093,1
NS.1404.002.NEBNext_S45.6175,1
NS.1404.001.NEBNext_S24.5055-1,1
NS.1404.001.NEBNext_S21.4260,1
NS.1404.001.NEBNext_S22.4264,1
NS.1404.001.NEBNext_S25.5069,0
NS.1404.001.NEBNext_S23.5010,0
NS.1404.001.NEBNext_S26.5100,1
NS.1404.001.NEBNext_S28.5128,1
NS.1404.001.NEBNext_S27.5101,1
NS.1404.001.NEBNext_S30.5135,1
NS.1404.001.NEBNext_S29.5134,1
NS.1404.001.NEBNext_S31.5137,0
NS.1404.001.NEBNext_S35.5211,1
NS.1404.001.NEBNext_S34.5210,1
NS.1404.001.NEBNext_S32.5159,0
NS.1404.001.NEBNext_S33.5162,1
NS.1404.001.NEBNext_S38.6142,0
NS.1404.001.NEBNext_S40.6144,1
NS.1404.001.NEBNext_S37.6003,0
NS.1404.001.NEBNext_S39.6143,1
NS.1404.001.NEBNext_S36.5223,1
NS.1404.001.NEBNext_S42.6159,1
NS.1404.001.NEBNext_S43.6164,1
NS.1404.002.NEBNext_S01.6196,1
NS.1404.001.NEBNext_S41.6156,1
NS.1404.001.NEBNext_S44.6170,1
NS.1404.002.NEBNext_S03.6213,1
NS.1404.002.NEBNext_S02.6199,1
NS.1404.002.NEBNext_S04.6215,1
NS.1404.002.NEBNext_S05.7037,1
NS.1404.002.NEBNext_S06.7050,0
NS.1404.002.NEBNext_S08.7077,1
NS.1404.002.NEBNext_S07.7056,1
NS.1404.002.NEBNext_S10.7131,0
NS.1404.002.NEBNext_S09.7100,0
NS.1404.002.NEBNext_S11.7147,1
NS.1404.002.NEBNext_S12.7156,1
NS.1404.002.NEBNext_S15.7183,1
NS.1404.002.NEBNext_S16.7227,1
NS.1404.002.NEBNext_S13.7180,1
NS.1404.002.NEBNext_S14.7181,1
NS.1404.002.NEBNext_S20.7257,0
NS.1404.002.NEBNext_S17.7238,1
NS.1404.002.NEBNext_S18.7245,1
NS.1404.002.NEBNext_S19.7254,1
NS.1404.002.NEBNext_S21.7308,1
NS.1404.002.NEBNext_S24.7353,1
NS.1404.002.NEBNext_S25.7359,0
NS.1404.002.NEBNext_S23.7343,1
NS.1404.002.NEBNext_S22.7338,0
NS.1404.002.NEBNext_S26.7362,1
NS.1404.002.NEBNext_S27.7364,1
NS.1404.002.NEBNext_S28.7411,1
NS.1404.002.NEBNext_S30.7486,1
NS.1404.002.NEBNext_S31.7495,1
NS.1404.002.NEBNext_S29.7455,1
NS.1404.002.NEBNext_S32.Bio1,1
NS.1404.002.NEBNext_S40.7288,1
NS.1404.002.NEBNext_S39.7117,0
NS.1404.002.NEBNext_S37.5129,1
NS.1404.002.NEBNext_S38.6147,0
NS.1404.002.NEBNext_S46.6181,1
NS.1404.002.NEBNext_S48.6189,1
NS.1404.002.NEBNext_S47.6185,1
