gene,log2FC,p_value,FDR
SNORD95_URS00006CCF53,1.3327451610077807,1.3206505107673781e-09,2.8030579820391187e-06
SNORD8_URS00000E9A93,1.3004994753162962,2.1321974860065423e-09,2.8030579820391187e-06
hsa-miR-664a-5p,1.6124124788745353,2.9957869419726956e-09,2.8030579820391187e-06
tRNA-Gln-CTG-1-4,1.4462562297982373,1.0988306031411163e-08,7.601505359677719e-06
tRNA-Gln-CTG-1-3,1.4433728461858901,1.4207455000955101e-08,7.601505359677719e-06
tRNA-Leu-CAG-1-4,1.4120443548175448,1.7428854596911066e-08,7.601505359677719e-06
SNORD96A_URS000065235D,1.3276987797124735,1.8956372468024237e-08,7.601505359677719e-06
SNORD53_URS000065DBA2,1.2695781245458153,3.253511300761473e-08,9.943383531099227e-06
tRNA-iMet-CAT-1-5,1.3774124267914913,3.328491303432077e-08,9.943383531099227e-06
SNORA47_URS0000723018,1.226429987999714,3.542352522657366e-08,9.943383531099227e-06
tRNA-Gln-CTG-1-5,1.388374669491741,4.412467959894359e-08,1.1078660345443817e-05
SNORD15A_URS00003A9200,1.2545991297296435,4.736156898657849e-08,1.1078660345443817e-05
SNORD53B_URS00006C2FB0,1.2367637818375665,5.670936784513969e-08,1.2244861195485164e-05
SNORD32A_URS00006D7506,1.2036779774696809,6.41667754307374e-08,1.2865438473862848e-05
SNORA58_URS000075E772,1.0264000619061764,7.50286509778935e-08,1.4017715628191915e-05
SNORD104_URS00000C304D,1.1410889123951484,7.990147846493432e-08,1.4017715628191915e-05
hsa-miR-652-3p,1.205026077353891,8.60674569158885e-08,1.4211255974288178e-05
SNORD16_URS000082CD7E,1.2275833802984613,9.79289437170199e-08,1.5271474722981936e-05
tRNA-Gln-CTG-1-1,1.3166154459788937,1.2415479464319945e-07,1.834223729281373e-05
SNORD83A_URS000054DD16,1.3374217807305044,1.3699764819761674e-07,1.922761992453551e-05
SNORD125_URS000068C891,1.139876457067248,1.7343878033342938e-07,2.2017747169944384e-05
SNORD62A_URS00004D7B5D,1.3401232366471667,1.829953924595334e-07,2.2017747169944384e-05
tRNA-iMet-CAT-1-6,1.2988998582653872,1.8782080906053508e-07,2.2017747169944384e-05
SNORD59B_URS000075A693,1.1685889519279067,1.9277755891757527e-07,2.2017747169944384e-05
