gene,log2FC,p_value,FDR
tRNA-Tyr-GTA-4-1,-28.83322251958309,0.00229646362861849,
SNORD103A_URS000075CFA2,-2.2341135789055517,0.003444720899856311,
SNORD103B_URS000075CFA2,-2.286334493446783,0.0036024146268835654,
hsa-piR-29910_632583,-28.543715903058448,0.0039532414916356295,
hsa-piR-28388_626034,28.543715903058448,0.0039532414916356295,
hsa-piR-33145_752545,1.71620703070182,0.0062485858235586215,
hsa-piR-32972_744084,-1.8479969017619966,0.006939719108233989,
hsa-piR-900_806155,28.83322251958309,0.008259361247472799,
hsa-piR-27572_596565,2.4854268217189155,0.008799720602745613,
hsa-miR-30d-3p,-1.584962499419902,0.010933831829369516,
tRNA-Tyr-GTA-5-4,-2.4594316050628486,0.014735083637044613,
SNORD136_URS00008E3A6E,1.2479275122429219,0.015587842956051139,
hsa-miR-152-5p,-2.3219280922328034,0.018150461681948015,
SNORD134_URS00008E3A70,1.192645077699995,0.018750909600055595,
SCARNA26A_URS00008E3A3C,1.0135465315219847,0.019178141144219608,
SCARNA23_URS0000466492,1.122856747386748,0.0196789969723153,
hsa-miR-21-3p,-2.1154772089117344,0.021497745523452093,
hsa-piR-33041_752353,-0.9315202620127007,0.02158287106043166,
tRNA-Ser-CGA-3-1,-27.695718999453007,0.02164553994868704,
hsa-piR-20636_291726,27.695718999453007,0.02164553994868704,
hsa-miR-369-3p,-2.4020984397278724,0.022056305941567537,
hsa-miR-223-5p,-3.1699249719472142,0.022587968461813518,
SNORA31B_URS0000721537,0.5647264617710129,0.02526271577523402,
hsa-miR-4685-3p,1.4405725898890496,0.026243531549397223,
hsa-miR-190b-5p,-1.4405725907872085,0.02672989864660756,
hsa-piR-33041_752381,-0.9999999995515946,0.028153673673438476,
hsa-piR-33041_752357,-1.1805722450237248,0.028509905344987298,
U3_URS0000693C16,-1.0588936876156825,0.028700232294057944,
hsa-miR-29b-1-5p,-0.9493739263783609,0.02968946894394907,
hsa-piR-33094_752485,1.9068905895251544,0.029795886487762095,
tRNA-Met-CAT-6-1,-0.7369655939204135,0.03032923222784367,
U3_URS000065E64E,-27.958753404180737,0.03043963061722371,
SNORA72_URS00006AFC77,27.958753404180737,0.03043963061722371,
hsa-piR-32915_735938,1.3536369534926045,0.031068571753803398,
hsa-miR-205-5p,28.181145824727135,0.031390632200905016,
SNORA3_URS0000AA0C90,1.9999999875567556,0.03351996965783713,
hsa-miR-7151-5p,-2.4594316050628486,0.03394116401317703,
hsa-miR-3605-3p,0.7909044010547335,0.034535757255104764,
SCARNA9L1_URS00008142CF,1.2868811473965054,0.0348326473691433,
tRNA-Val-AAC-6-1,-1.2223924202830516,0.03539025282659922,
hsa-miR-598-3p,-1.6374299181134755,0.035670293052872004,
hsa-miR-92a-1-5p,1.101538026092926,0.03680105703279246,
hsa-piR-32863_735010,28.83322251958309,0.0379668456083724,
hsa-miR-6866-5p,-1.5025003369507335,0.038819042221430844,
SCARNA18_URS00005A2612,1.1375035219400085,0.03989299516667321,
U3_URS000065A7A0,1.8073549161322495,0.040131305748048615,
hsa-piR-20492_291464,1.5376567852411016,0.04016910330837421,
hsa-miR-34c-3p,2.9999999709657628,0.04115908318464965,
hsa-piR-1961_210198,-2.321928081614568,0.04175929453103739,
hsa-piR-25624_570737,-1.1552782246468225,0.042387435889568364,
hsa-piR-32989_744216,28.373790902076998,0.04262241616659585,
hsa-miR-151b,-27.373790906224745,0.04262241616659585,
hsa-piR-32897_735161,-0.8349407533354506,0.04266520542865554,
hsa-miR-3940-3p,1.362570076487868,0.044175822679809386,
hsa-miR-454-5p,-2.8073548936159023,0.04508632365194394,
hsa-miR-208a-5p,-2.4594316050628486,0.045175257313136236,
hsa-piR-32954_743993,-2.4594316050628486,0.045175257313136236,
hsa-miR-499a-5p,-1.6473839553264882,0.045741498394934306,
hsa-piR-22236_396464,-1.9999999937783774,0.04714401477707878,
hsa-miR-17-3p,-1.2410080986336378,0.049319644068222666,
SCARNA4_URS00005C0742,0.7488153119977793,0.04948470005817032,
hsa-miR-211-5p,28.181145824727135,0.04973119422830884,
hsa-miR-6806-3p,1.2801079164043325,0.049898003106213486,
hsa-piR-32717_730090,2.7004397041025596,0.05069808885811662,
hsa-piR-25627_570747,-2.1030934920211926,0.05084424533703729,
SNORA23_URS0000064325,0.5432474815392314,0.05135740030041732,
hsa-piR-33121_752519,1.5849624951908252,0.05174399755121598,
SNORA21_URS00004EA987,0.930737337069916,0.05198386203518709,
hsa-piR-33041_752383,-0.9615258517605594,0.0520793856026628,
hsa-miR-346,1.2895066150163697,0.05424782181686934,
hsa-piR-26893_576013,-28.695718996134808,0.056737328345119104,
hsa-piR-32995_744259,27.695718999453007,0.056737328345119104,
hsa-piR-24552_559811,-27.695718999453007,0.056737328345119104,
hsa-piR-32212_693245,-2.4594316050628486,0.05701082290828724,
hsa-miR-376c-3p,-1.736965586423743,0.05732861158408127,
hsa-piR-33139_752538,0.9772799232447972,0.05757899470244358,
hsa-piR-5970_774850,-28.543715903058448,0.05864447105666783,
tRNA-Tyr-GTA-1-1,-1.736965586423743,0.059054411220153855,
hsa-miR-200a-3p,-1.736965586423743,0.059054411220153855,
hsa-miR-4662a-5p,-1.736965586423743,0.059054411220153855,
hsa-miR-340-3p,-0.823122237815033,0.05941974742044743,
SNORD149_URS0000ABD85D,0.963474123166607,0.059828372202278726,
hsa-piR-32864_735030,1.695145417379455,0.06046789261690676,
tRNA-Arg-CCT-5-1,-0.5429304132596617,0.060517082582435974,
tRNA-Lys-TTT-8-1,1.3219280928964432,0.06077725673648916,
hsa-piR-32966_744063,28.83322251958309,0.061218455476759075,
hsa-piR-32864_735025,2.04439411621622,0.061227073788769036,
hsa-miR-7-1-3p,-1.087462840152406,0.061466219705007555,
hsa-miR-22-5p,-0.6379856016464627,0.06162980606545543,
hsa-miR-22-3p,-0.8608694302883225,0.06207267001890666,
