Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,rRNA processing (GO:0006364),25/173,9.936338777068847e-10,2.093016526376538e-06,0,0,4.952113811058765,102.65559749987452,RPL12;RPLP0;MAK16;NOL8;NOL9;THUMPD1;RPS17;EXOSC10;BMS1;PES1;RRP36;RPS2;RRP15;UTP15;NOP14;UTP6;RPS7;WDR74;DDX10;WDR75;RPL35A;WDR12;RPS25;C1D;RPL24
GO_Biological_Process_2021,regulation of apoptotic process (GO:0042981),59/742,1.2035747707743175e-09,2.093016526376538e-06,0,0,2.596802531526,53.333051794702165,AVEN;TRIO;TFRC;HMGB1;PHB2;IGF1R;IKBKB;RASSF2;RBM5;TGM2;KLF11;HSP90AA1;ANXA1;ACTN1;WNT5A;YWHAZ;RHOB;DNAJC3;SFRP2;CAT;BIRC6;ITGA6;IRF5;PPIA;CD44;PPID;PRKAA1;SHC1;HDAC1;XIAP;THBS1;EGFR;RELA;MTDH;NEUROD1;GNA13;ACVR1C;PDCD10;NTF3;ABL1;FLNA;PMAIP1;JUN;RHBDD1;TNFRSF10B;PNMA2;TBX3;VEGFA;KLHL20;MLLT11;DNAJA1;AHI1;UFM1;SON;BCL2;BAX;CTNNB1;HSPA1B;BCL2L1
GO_Biological_Process_2021,positive regulation of intracellular signal transduction (GO:1902533),48/546,1.866566963632712e-09,2.1639732998381905e-06,0,0,2.875221965516583,57.78956052874279,BECN1;FLT1;TFRC;SHC1;LPAR1;PIK3CD;HMGB1;PHB2;THBS1;EGFR;RELA;MTDH;IGF1R;IKBKB;TBK1;DHX33;ERBB3;NTF3;DHX36;MIER1;CPNE1;FLNA;THEM4;EP300;PMAIP1;RICTOR;TGM2;OSBPL8;NTRK2;HSP90AA1;NDFIP1;TICAM2;WNT5A;FN1;TNFRSF10B;PTPN11;ESR1;RHOA;PUM2;VEGFA;FKBP1A;TNIP2;BCL2;PDCD4;BAX;STRN;MET;BCL2L1
GO_Biological_Process_2021,ncRNA processing (GO:0034470),26/201,5.145430847848424e-09,3.8064452642976486e-06,0,0,4.356123386567491,83.13729756824262,RPL12;RPLP0;NOL8;NOL9;RPS17;EXOSC10;PES1;BMS1;RRP36;DROSHA;RPS2;UTP15;SMAD1;UTP6;NOP14;RPS7;WDR74;DDX10;WDR75;RPL35A;WDR12;RPS25;AGO2;C1D;RPL24;INTS6
GO_Biological_Process_2021,gene expression (GO:0010467),36/356,5.767303048436854e-09,3.8064452642976486e-06,0,0,3.324436236391913,63.068083545352266,HBS1L;NXT1;DHX8;POLDIP3;RPL12;RPLP0;NOL9;RPS4X;RPS17;POLR2B;POLR2C;DROSHA;RPS2;RPS13;RBM5;NUP214;CPSF4;RBM39;RPS7;CPSF1;RPS8;CPSF3;MRPL28;RPL35A;RPSA;THOC2;MRPS5;NUP93;EEF1A1;RPS25;AGO2;DRG1;RPL24;RBMS1;STUB1;SRSF7
GO_Biological_Process_2021,rRNA metabolic process (GO:0016072),23/162,6.566610576706697e-09,3.8064452642976486e-06,0,0,4.838414634146342,91.16186696960578,UTP15;NOP14;UTP6;RPS7;NIFK;RPL12;RPLP0;WDR74;DDX10;WDR75;NOL8;RPL35A;NOL9;WDR12;RPS25;RPS17;EXOSC10;BMS1;PES1;C1D;RPL24;RRP36;RPS2
GO_Biological_Process_2021,ribosome biogenesis (GO:0042254),25/192,8.85329728815706e-09,4.398823995458607e-06,0,0,4.384350564925195,81.29671456619148,PAK1IP1;NIP7;RPL12;RPLP0;NOL8;NOL9;RPS17;XPO1;EXOSC10;BMS1;PES1;RRP36;RPS2;UTP15;NOP14;UTP6;RPS7;WDR74;DDX10;WDR75;RPL35A;WDR12;RPS25;C1D;RPL24
GO_Biological_Process_2021,negative regulation of apoptotic process (GO:0043066),43/485,1.039461971901246e-08,4.519060922840668e-06,0,0,2.8878062836164946,53.08359012798694,AVEN;YWHAE;PRKAA1;NOTCH1;TFRC;SHC1;HDAC1;XIAP;PHB2;THBS1;EGFR;RELA;MTDH;IGF1R;IKBKB;ERBB3;PDCD10;NTF3;FLNA;MAPK1;NTRK2;ANXA1;CSNK2A1;BDNF;RHBDD1;WNT5A;SOD2;YWHAZ;TBX3;VEGFA;KLHL20;DNAJC3;DNAJA1;AHI1;UFM1;SON;CAT;BCL2;CTNNB1;BIRC6;HSPA1B;CD44;BCL2L1
GO_Biological_Process_2021,transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),38/404,1.5820649617782313e-08,6.113802152294098e-06,0,0,3.0702113330434857,55.1469818775244,NCKAP1;FLT1;SHC1;AP2A1;FOXO4;PIK3C2A;SOGA1;EGFR;IGF1R;TIAL1;EFNB2;PTBP1;SDCBP;ERBB3;POLR2B;POLR2C;NTF3;AP2S1;MAPK1;AP3S1;HNRNPA1;ATP6V1C1;NTRK2;HSP90AA1;RBFOX2;ATP6V0E1;BDNF;PTPN11;ARPC5;RHOA;VEGFA;EFNA1;HNRNPM;AHI1;RAB14;ATP6V1B2;ELMO2;MET
GO_Biological_Process_2021,regulation of cell population proliferation (GO:0042127),57/764,2.2663646686505682e-08,7.882416317566677e-06,0,0,2.412708014026024,42.46970165641292,CDKN1B;ATP8A2;FLT1;TFRC;PTPRK;IGF1R;RPS4X;RBM5;KLF11;PBRM1;RBFOX2;CSNK2A1;PRMT1;PPP2R5C;RHOA;SFRP2;RARA;BIRC6;HDAC4;CDC123;NOTCH1;SHC1;HDAC1;NPR3;XIAP;FOXO4;TOB1;THBS1;EGFR;RELA;GNAI2;EFNB2;SDCBP;ERBB3;PDCD10;NACC1;NTF3;SSR1;STX4;RPRD1B;BRD7;NTRK2;JUN;JAG1;JUP;FN1;NAP1L1;SOD2;TBX3;VEGFA;CDK6;CCPG1;BCL2;CTNNB1;STRN;HSPA1B;BAP1
GO_Biological_Process_2021,positive regulation of translation (GO:0045727),17/100,4.163319967386844e-08,1.31636607696104e-05,0,0,5.95213482328104,101.1527690896373,CDC123;MRPS27;USP16;POLDIP3;CIRBP;LARP4B;EEF2;LARP4;YBX3;THBS1;FXR1;RPS4X;FXR2;PKM;DHX36;AGO2;VIM
GO_Biological_Process_2021,cellular response to growth factor stimulus (GO:0071363),21/158,9.533435608909699e-08,2.6090268723800017e-05,0,0,4.469016928094424,72.24557165418446,MAP2K3;NTRK2;NOTCH1;FLT1;ANXA1;SHC1;KIDINS220;WNT5A;PTPN11;NR3C1;BMP7;ACVR2B;RUNX2;EGFR;RELA;VEGFA;EEF1A1;ACVR1C;CTNNB1;SOX6;CD44
GO_Biological_Process_2021,cellular protein localization (GO:0034613),32/329,1.0087399064965193e-07,2.6090268723800017e-05,0,0,3.168043130948849,51.03525410685778,CNTNAP2;RAB5B;TMED10;STX16;ARL6;AP2A1;PTPRK;PRPF19;EGFR;NAPG;FBLN5;RAB21;MYO6;TMED3;TMED2;FLNA;TMED1;STX4;TBC1D12;TMED7;TMED5;TRIM23;TBC1D8B;TICAM2;STX7;WNT5A;TM9SF1;AHI1;TBC1D4;RAB14;CTNNB1;ARF6
