gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
POSTN,1.5062716765460757,4.411292815431514e-8,6.617380352428814e-4,244.91669536864126,0.24475297912300972,5.473541594351127
ARL4C,1.073477190595594,2.5866164148265364e-6,0.002827181803524109,50.81704888319912,0.22201806249036463,4.701180577624686
C1QTNF6,0.8523073531870323,2.488178938668216e-6,0.002827181803524109,131.419588283436,0.17987587185107312,4.709095978238299
CD276,0.8551631406519273,1.074588995049431e-6,0.002827181803524109,242.3206734082926,0.17437200307782458,4.877463178888693
CLEC11A,1.0956212804443113,2.826993337301622e-6,0.002827181803524109,33.16187156765213,0.22642534440748222,4.683005203687153
COL6A3,1.0502579816230915,8.741803273354443e-7,0.002827181803524109,5131.924816493647,0.20939368575882503,4.918033325289774
GALNS,0.5186966111330832,2.39971959685101e-6,0.002827181803524109,193.845033977189,0.10996564693330696,4.716469806946673
HLA-DRB1,0.8146634891468816,2.6459169340312193e-6,0.002827181803524109,307.08743619952054,0.17259285502821642,4.696550614180603
HTRA1,0.9698284000851177,1.879311704272977e-6,0.002827181803524109,413.46692914685235,0.20067834496330111,4.765987221488771
LRRC15,1.425348937155627,2.022260857785187e-6,0.002827181803524109,74.41826186143479,0.2390507993231787,4.751186917736428
MMP14,1.074111776479626,9.380661984650451e-7,0.002827181803524109,324.3910633637004,0.21406277398215925,4.904204712603211
NFATC4,0.8157255358037506,2.0269153931655812e-6,0.002827181803524109,110.34174001884337,0.1709736745995818,4.750722092114674
PLEKHG4,0.9568027979781418,1.984192043553345e-6,0.002827181803524109,37.468570139246836,0.19905068011250163,4.75502770554479
SCARF2,0.9094395620419351,9.523477636899142e-7,0.002827181803524109,58.765625292899564,0.18430410311222256,4.901237629513491
SSC5D,1.075667580166405,2.770979897182099e-6,0.002827181803524109,432.12636767519206,0.22262321217684974,4.687104135562642
C3,0.8071962474989473,4.936345541074163e-6,0.0031753452667011707,2761.572508532067,0.17571882902176508,4.567474990040392
CHPF,0.7598558435439914,4.728831888881332e-6,0.0031753452667011707,195.91736180272022,0.1654389946193369,4.576471901939618
CILP2,1.443167392343056,4.312904415357617e-6,0.0031753452667011707,42.264079303642944,0.22403463969363838,4.595704074147112
KDELR3,0.9873031502456934,4.9376086159671e-6,0.0031753452667011707,52.63001649135666,0.21218554130095543,4.567421345666668
LUM,1.1931319225406378,5.080213745805486e-6,0.0031753452667011707,735.0585393124724,0.24210435533322874,4.561447672676
MEDAG,1.0989873667611123,4.541607400890309e-6,0.0031753452667011707,194.01414191699462,0.2302080484859131,4.584919794152436
MYO9B,0.554600073490713,4.214878318064264e-6,0.0031753452667011707,449.30257685108387,0.12048891669796744,4.600495151468066
OS9,0.3782145055476757,5.0693764841944186e-6,0.0031753452667011707,524.3803071335853,0.08290764880250628,4.561895967520113
OSR1,0.9669295903016932,4.508479825238352e-6,0.0031753452667011707,142.3791751446032,0.2073576783919304,4.586449225643025
NLGN2,0.5678953446221876,5.426729817108025e-6,0.003256254959457499,330.2852838859423,0.12480264016849882,4.547576108701751
COL16A1,0.9720080401163875,6.179416429381368e-6,0.003540067721705784,287.6398517489428,0.21099736345874678,4.5201557094128
OGN,1.1881121881099568,6.3716971192624605e-6,0.003540067721705784,419.987289614822,0.24277498069500392,4.513664547687955
SPON2,0.8224701364847979,6.814016241986888e-6,0.003650609201644475,206.3877565247571,0.1816044019966632,4.499416735334442
SFRP1,1.0034478690580646,7.222718383206066e-6,0.0037361378781542824,416.6126835902059,0.2181833780225989,4.487017382591316
SEC24D,0.6367485689993623,8.149969651741678e-6,0.004075256491525897,413.1028983267418,0.14251947392526626,4.46120600816932
CAMK1D,0.8052932367399747,9.542304230804976e-6,0.0045426935993570965,272.01222675150296,0.18074224823723364,4.427293070208952
PDGFD,0.8945470335777648,9.806659295480315e-6,0.0045426935993570965,189.4858354481092,0.19983841321847184,4.421393067613497
TPBG,0.75081198924668,9.993259701272195e-6,0.0045426935993570965,71.4883741651477,0.1694056628669147,4.417319204278065
LOXL1,0.9294480375679609,1.0675401681198698e-5,0.004575477160561762,114.06679356901289,0.2077399106374072,4.40302061656129
PCOLCE,1.030839910902621,1.0536694271552165e-5,0.004575477160561762,301.3945497243961,0.22631756783960513,4.405856007433656
ZFAND2A,0.9147060953861934,1.1095287671065998e-5,0.00462334473204614,123.39455204431499,0.2051342303481891,4.394647049604142
ACLY,0.42367754828760823,1.2845890607626623e-5,0.004817530125125174,407.20724381216775,0.09710665473553622,4.362713868225184
CCDC80,1.1631610838191753,1.2628221305582573e-5,0.004817530125125174,2520.149576735573,0.24391716780368122,4.366449940422379
FN1,0.989462584350649,1.277989191112341e-5,0.004817530125125174,5904.1310004970965,0.22075996240393675,4.363840247351026
PDIA4,0.5151498207250199,1.2064817953030117e-5,0.004817530125125174,226.81086101036163,0.11767685616764588,4.376413244821352
CCND2,0.7596095527061271,1.414239390711666e-5,0.005174391487820903,419.2747932960014,0.1740899875660052,4.341638727108572
COL6A1,0.8483316660621082,1.469165509395655e-5,0.005247369477724815,3486.854165891465,0.1937890266915433,4.333261314366633
F2R,0.8113272804013394,1.5821246056863303e-5,0.005476121443831718,153.02490948757077,0.18656463515904645,4.316932574280351
