cluster,gene
cluster_1,COL1A1
cluster_1,POSTN
cluster_1,CILP2
cluster_1,LRRC15
cluster_1,LUM
cluster_1,OGN
cluster_1,CCN4
cluster_1,CCDC80
cluster_1,MEDAG
cluster_1,CLEC11A
cluster_1,SSC5D
cluster_1,MMP14
cluster_1,ARL4C
cluster_1,AEBP1
cluster_1,PIEZO2
cluster_2,FAM230J
cluster_2,ARPP21-AS1
cluster_2,AC069280.1
cluster_2,CT45A1
cluster_2,AL121885.1
cluster_2,AL135790.1
cluster_2,AC044798.2
cluster_2,AL136460.1
cluster_2,AP000233.1
cluster_2,DEFB4B
cluster_2,AC023469.1
cluster_2,AC005702.5
cluster_2,AC000061.1
cluster_2,AL158832.1
cluster_2,AC092958.2
cluster_3,LIF
cluster_3,LINC01348
cluster_3,COL1A1
cluster_3,SPON1
cluster_3,GPRC5A
cluster_3,HSPA6
cluster_3,FOSL1
cluster_3,ADAMTS4
cluster_3,ARC
cluster_3,AL672032.1
cluster_3,SFRP2
cluster_3,IL6
cluster_3,SAMD11
cluster_3,LINC02593
cluster_3,ADAM12
