ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0050907,detection of chemical stimulus involved in sensory perception,353/3342,479/18870,3.4712102912670153e-164,1.9522086678085695e-160,1.8185488020669407e-160,OR7C1/OR4D1/GNAT3/OR1L8/OR1S1/OR5AU1/OR56A4/OR52K1/OR14K1/OR51F2/OR5K1/OR51A4/OR5W2/OR2M3/PKD1L3/OR2T6/OR4K17/OR56A1/OR9G4/PKD2L1/OR52I1/OR8B12/FFAR4/OR8D1/OR8G1/OR2L2/TAS2R7/OR51L1/OR5D16/OR8H2/OR14J1/OR2T33/OR1D2/OR51Q1/OR56A3/OR52L1/OR2C3/OR13C4/OR2T11/OR52B2/OR2AG1/TRPA1/OR2J2/OR2B3/OR8J3/OR10D3/OR52A1/OR2F1/OR9Q2/OR6J1/OR5A2/OR2J3/OR5AN1/OR5T2/OR10G8/OR52N2/OR4D2/OR8A1/OR13A1/OR2AJ1/OR11H6/GPR148/OR10R2/OR2A12/OR1A1/OR10H4/TAS2R38/OR9I1/OR5M1/OR10G7/OR51A7/OR6K3/OR4K13/OR2A14/OR5P3/OR4L1/OR12D3/OR52N4/OR5M8/OR9A4/OR52A5/OR10A2/OR6A2/OR6Y1/OR6X1/OR9K2/OR5D13/OR2B6/OR2T29/OR51D1/OR12D2/OR4B1/OR10K1/OR8J1/OR5B2/OR2T10/GNAT2/OR7E24/RTP1/OR11A1/OR51I2/OR10J1/OR10K2/OR1I1/OR4M1/OR10Z1/OR2V2/OR2F2/OR51G2/OR4N5/OR51B2/OR5H6/OR4E2/OR52I2/OR52E2/OR2I1P/OR4X1/OR6N2/OR2T2/OR51T1/OR4F6/OR2AG2/OR2T12/PIP/OR2AT4/OR5H1/OR2M7/CA6/OR2Y1/OR2S2/OR9G1/OR2M4/OR10A6/OR8D4/OR5M3/OR51M1/OR8G5/OR6B1/OR10AD1/OR2A1/OR5A1/OR4D9/OR5V1/OR7G3/OR2D2/OR7A17/OR56B1/OR4K1/OR10H3/OR7G2/OR2L3/OR2G6/OR6Q1/OR14A16/OR10T2/OR4A15/LPO/OR6C4/OR52K2/OR4F15/OR8B3/OR8H1/OR8K3/OR2M2/OR13F1/OR13G1/OR4N2/OR5T3/OR4F5/OR6P1/OR2A5/OR4E1/OR4S1/OR13C3/OR4D6/OR8K1/OR6C3/OR10A3/OR2H2/OR4D10/OR5H14/CNGB1/OR4K2/GNAT1/AZGP1/OR10H1/OR2L5/OR4A5/OR6N1/OR10AG1/OR5AS1/OR4C12/OR56B4/OR5AR1/OR52N5/OR2Z1/OR2B11/OR6S1/OR52E5/OR14A2/OR1C1/OR2B2/OR11H1/OR1N2/OR10H5/OR4A47/OR3A1/OR2G2/OR7A10/OR2L13/OR10G3/CST2/OR8H3/OR10A7/OR5D14/OR51S1/OR4C5/OR11H4/OR2H1/OR52N1/TAS2R16/OR10G6/OR1J4/OR1A2/OR10C1/OR52E6/OR2A4/OR4Q3/OR8D2/OR10V1/OR10S1/OR6M1/OR6C1/OR52M1/OR11G2/OR5K2/PIGR/OR52B4/OR14C36/OR4D5/OR7D4/OR2AP1/OR5D18/TAS2R1/OR4C11/OR2T1/OR9Q1/OR5AK2/OR5B3/OR5T1/OR4C3/OR52E4/OR4C46/OR6C75/OR6V1/OR5M11/OR52D1/OR4K14/OR13C8/OR6C65/OR2D3/OR5AP2/OR10H2/OR2A42/OR4C16/OR8U1/OR52J3/OR2V1/OR8B8/OR6K6/OR10G4/OR5J2/OR1K1/OR2A2/OR4F17/OR5K4/OR6F1/OR4D11/OR1D5/OR13H1/OR2AK2/OR2T8/OR4X2/OR1G1/OR4K15/OR7A5/TAS1R2/OR5H15/OR1J1/OR2T3/OR1L6/OR6C6/OR6K2/OR8K5/OR10G2/OR2A25/OR2T4/TAS2R39/OR10W1/CST1/OR10J5/OR2T27/RTP3/OR6B3/OR7G1/OR1L4/OR6C70/CST4/OR2J1/OR3A3/OR11H2/OR8B2/OR51F1/OR4M2/OR2T35/OR4F4/OR6C74/OR4C6/OR52R1/OR4C15/OR52E8/OR6C76/OR56A5/OR1N1/OR2M5/OR7C2/OR1S2/OR5L1/OR5AC2/OR2L8/OR13J1/OR13D1/OR51G1/OR4A16/OR4K5/OR1M1/OR11H12/OR5K3/OR5F1/OR8I2/OR5P2/OR5B17/OR6C68/RTP5/TAS2R40/OR2T34/OR4P4/OR52B6/OR5H2/OR5L2/OR51B6/OR51V1/OR5M10,353
GO:0050911,detection of chemical stimulus involved in sensory perception of smell,328/3342,431/18870,1.2774665537791512e-159,3.592235949226973e-156,3.3462900200835976e-156,OR7C1/OR4D1/OR1L8/OR1S1/OR5AU1/OR56A4/OR52K1/OR14K1/OR51F2/OR5K1/OR51A4/OR5W2/OR2M3/OR2T6/OR4K17/OR56A1/OR9G4/OR52I1/OR8B12/OR8D1/OR8G1/OR2L2/OR51L1/OR5D16/OR8H2/OR14J1/OR2T33/OR1D2/OR51Q1/OR56A3/OR52L1/OR2C3/OR13C4/OR2T11/OR52B2/OR2AG1/OR2J2/OR2B3/OR8J3/OR10D3/OR52A1/OR2F1/OR9Q2/OR6J1/OR5A2/OR2J3/OR5AN1/OR5T2/OR10G8/OR52N2/OR4D2/OR8A1/OR13A1/OR2AJ1/OR11H6/GPR148/OR10R2/OR2A12/OR1A1/OR10H4/OR9I1/OR5M1/OR10G7/OR51A7/OR6K3/OR4K13/OR2A14/OR5P3/OR4L1/OR12D3/OR52N4/OR5M8/OR9A4/OR52A5/OR10A2/OR6A2/OR6Y1/OR6X1/OR9K2/OR5D13/OR2B6/OR2T29/OR51D1/OR12D2/OR4B1/OR10K1/OR8J1/OR5B2/OR2T10/OR7E24/OR11A1/OR51I2/OR10J1/OR10K2/OR1I1/OR4M1/OR10Z1/OR2V2/OR2F2/OR51G2/OR4N5/OR51B2/OR5H6/OR4E2/OR52I2/OR52E2/OR2I1P/OR4X1/OR6N2/OR2T2/OR51T1/OR4F6/OR2AG2/OR2T12/OR2AT4/OR5H1/OR2M7/OR2Y1/OR2S2/OR9G1/OR2M4/OR10A6/OR8D4/OR5M3/OR51M1/OR8G5/OR6B1/OR10AD1/OR2A1/OR5A1/OR4D9/OR5V1/OR7G3/OR2D2/OR7A17/OR56B1/OR4K1/OR10H3/OR7G2/OR2L3/OR2G6/OR6Q1/OR14A16/OR10T2/OR4A15/OR6C4/OR52K2/OR4F15/OR8B3/OR8H1/OR8K3/OR2M2/OR13F1/OR13G1/OR4N2/OR5T3/OR4F5/OR6P1/OR2A5/OR4E1/OR4S1/OR13C3/OR4D6/OR8K1/OR6C3/OR10A3/OR2H2/OR4D10/OR5H14/CNGB1/OR4K2/OR10H1/OR2L5/OR4A5/OR6N1/OR10AG1/OR5AS1/OR4C12/OR56B4/OR5AR1/OR52N5/OR2Z1/OR2B11/OR6S1/OR52E5/OR14A2/OR1C1/OR2B2/OR11H1/OR1N2/OR10H5/OR4A47/OR3A1/OR2G2/OR7A10/OR2L13/OR10G3/OR8H3/OR10A7/OR5D14/OR51S1/OR4C5/OR11H4/OR2H1/OR52N1/OR10G6/OR1J4/OR1A2/OR10C1/OR52E6/OR2A4/OR4Q3/OR8D2/OR10V1/OR10S1/OR6M1/OR6C1/OR52M1/OR11G2/OR5K2/OR52B4/OR14C36/OR4D5/OR7D4/OR2AP1/OR5D18/OR4C11/OR2T1/OR9Q1/OR5AK2/OR5B3/OR5T1/OR4C3/OR52E4/OR4C46/OR6C75/OR6V1/OR5M11/OR52D1/OR4K14/OR13C8/OR6C65/OR2D3/OR5AP2/OR10H2/OR2A42/OR4C16/OR8U1/OR52J3/OR2V1/OR8B8/OR6K6/OR10G4/OR5J2/OR1K1/OR2A2/OR4F17/OR5K4/OR6F1/OR4D11/OR1D5/OR13H1/OR2AK2/OR2T8/OR4X2/OR1G1/OR4K15/OR7A5/OR5H15/OR1J1/OR2T3/OR1L6/OR6C6/OR6K2/OR8K5/OR10G2/OR2A25/OR2T4/OR10W1/OR10J5/OR2T27/OR6B3/OR7G1/OR1L4/OR6C70/OR2J1/OR3A3/OR11H2/OR8B2/OR51F1/OR4M2/OR2T35/OR4F4/OR6C74/OR4C6/OR52R1/OR4C15/OR52E8/OR6C76/OR56A5/OR1N1/OR2M5/OR7C2/OR1S2/OR5L1/OR5AC2/OR2L8/OR13J1/OR13D1/OR51G1/OR4A16/OR4K5/OR1M1/OR11H12/OR5K3/OR5F1/OR8I2/OR5P2/OR5B17/OR6C68/OR2T34/OR4P4/OR52B6/OR5H2/OR5L2/OR51B6/OR51V1/OR5M10,328
GO:0007608,sensory perception of smell,338/3342,456/18870,2.2692720201316344e-158,4.254128613740104e-155,3.962865559366717e-155,OR7C1/OR4D1/OR1L8/OR1S1/OR5AU1/OR56A4/OR52K1/OR14K1/OR51F2/OR5K1/OR51A4/OR5W2/OR2M3/OR2T6/OR4K17/OR56A1/OR9G4/OR52I1/OR8B12/OR8D1/OR8G1/OR2L2/OR51L1/OR5D16/OR8H2/OR14J1/OR2T33/OR1D2/NXNL2/OR51Q1/OR56A3/OR52L1/OR2C3/UGT2A1/OR13C4/OR2T11/OR52B2/OR2AG1/OR2J2/OR2B3/OR8J3/OR10D3/OR52A1/OR2F1/OR9Q2/OR6J1/OR5A2/OR2J3/OR5AN1/OR5T2/OR10G8/OR52N2/OR4D2/OR8A1/OR13A1/OR2AJ1/OR11H6/GPR148/OR10R2/OR2A12/OR1A1/OR10H4/OR9I1/OR5M1/OR10G7/OR51A7/OR6K3/OR4K13/OR2A14/OR5P3/CNGA4/OR4L1/OR12D3/OR52N4/OR5M8/OR9A4/OR52A5/OR10A2/OR6A2/OR6Y1/OR6X1/OR9K2/OR5D13/OR2B6/OR2T29/OR51D1/OR12D2/OR4B1/OR10K1/OR8J1/OR5B2/OR2T10/OR7E24/OR11A1/OR51I2/OR10J1/OR10K2/OR1I1/OR4M1/OR10Z1/OR2V2/OR2F2/OR51G2/OR4N5/OR51B2/OR5H6/OR4E2/OR52I2/OR52E2/OR2I1P/OR4X1/OR6N2/OR2T2/OR51T1/OR4F6/OR2AG2/OR2T12/OR2AT4/OR5H1/OR2M7/OR2Y1/OR2S2/OR9G1/OR2M4/OR10A6/OR8D4/OR5M3/OR51M1/OR8G5/OR6B1/OR10AD1/OR2A1/OR5A1/OR4D9/OR5V1/OR7G3/OR2D2/OR7A17/OR56B1/OR4K1/OR10H3/OR7G2/OR2L3/OR2G6/OR6Q1/OR14A16/OR10T2/OR4A15/OR6C4/OR52K2/OR4F15/OR8B3/OR8H1/OR8K3/OR2M2/OR13F1/OR13G1/OR4N2/OR5T3/OR4F5/OR6P1/OR2A5/OR4E1/OR4S1/OR13C3/OR4D6/OR8K1/OR6C3/OR10A3/OR2H2/OR4D10/OR5H14/CNGB1/OR4K2/OR10H1/OR2L5/OR4A5/OR6N1/OR10AG1/OR5AS1/OR4C12/OR56B4/OR5AR1/SYT10/OR52N5/OR2Z1/OR2B11/OR6S1/OR52E5/OR14A2/OR1C1/OR2B2/OR11H1/OR1N2/OR10H5/OR4A47/OR3A1/OR2G2/OR7A10/OR2L13/OR10G3/OR8H3/OR10A7/OR5D14/OR51S1/OR4C5/OR11H4/OR2H1/OR52N1/OR10G6/OR1J4/OR1A2/OR10C1/OR52E6/OR2A4/OR4Q3/OR8D2/OR10V1/OR10S1/OR6M1/OR6C1/OR52M1/OR11G2/OR5K2/OR52B4/OR14C36/OR4D5/OR7D4/OR2AP1/OR5D18/OR4C11/OR2T1/OR9Q1/OR5AK2/OR5B3/OR5T1/OR4C3/OR52E4/OR4C46/OR6C75/OR6V1/OR5M11/OR52D1/OR4K14/OR13C8/OR6C65/OR2D3/OR5AP2/OR10H2/OR2A42/OR4C16/OR8U1/OR52J3/OR2V1/SLC6A3/OR8B8/OR6K6/OR10G4/OR5J2/OR1K1/OR2A2/OR4F17/OR5K4/OR6F1/OR4D11/GFY/OR1D5/OR13H1/OR2AK2/OR2T8/OR4X2/OR1G1/OR4K15/OR7A5/CNGA2/OR5H15/OR1J1/BEST2/OR2T3/OR1L6/OR6C6/OR6K2/OR8K5/OR10G2/OR2A25/OR2T4/OR10W1/OR10J5/OR2T27/OR6B3/OR7G1/OR1L4/OR6C70/OR2J1/OR3A3/OR11H2/OR8B2/OR51F1/OR4M2/OR2T35/OR4F4/OR6C74/OR4C6/OR52R1/OR4C15/OR52E8/OR6C76/OR56A5/OR1N1/OR2M5/OR7C2/OR1S2/OR5L1/OR5AC2/OR2L8/OR13J1/OR13D1/OR51G1/OR4A16/OR4K5/OR1M1/OBP2A/OR11H12/OR5K3/GJB4/OR5F1/OR8I2/OR5P2/OR5B17/OR6C68/OR2T34/OR4P4/OR52B6/OR5H2/OR5L2/OR51B6/OR51V1/OR5M10,338
GO:0031424,keratinization,58/3342,83/18870,1.6220970291062469e-25,2.280668422923383e-22,2.124520240489945e-22,CERS3/ABCA12/KLK5/KRT5/KRT72/SPRR1B/LIPM/SPRR2E/KRT2/KRT86/CASP14/KRT1/LCE1B/LCE4A/KRT84/KRT6A/KRT6B/KRT77/LORICRIN/KRT4/KRT83/LIPK/KRT76/IL1A/CDH3/KRTAP6-3/KRT79/LCE1E/CDSN/SPRR2G/KRT85/KRT73/LCE5A/KRT3/SPRR2D/TCHH/KRT6C/LCE2C/HRNR/KRT82/LCE3E/KRT74/KRT17/KRT78/LCE3D/SPRR3/LCE1C/LCE1A/KRT71/TGM3/KRT16/LCE6A/SPRR4/KRT75/KRTAP6-1/KRTAP6-2/SPRR2B/LCE2B,58
GO:0045109,intermediate filament organization,53/3342,73/18870,1.0165222619389664e-24,1.1433842402289494e-21,1.0651013258253128e-21,BFSP1/KRT32/KRT5/KRT27/SHH/KRT72/KRT26/NEFL/KRT12/BFSP2/GFAP/KRT2/KRT39/KRT86/KRT1/KRT84/KRT6A/KRT40/KRT6B/KRT77/KRT33B/KRT4/KRT83/KRT23/KRT15/KRT28/KRT76/KRT79/KRT25/KRT24/KRT85/KRT73/KRT34/KRT3/TCHH/KRT6C/KRT9/INA/KRT82/KRT20/KRT74/KRT17/KRT33A/KRT78/KRT14/KRT71/KRT36/KRT13/KRT16/KRT75/KRT35/KRT38/KRT37,53
GO:0050953,sensory perception of light stimulus,97/3342,223/18870,2.1268629460452757e-19,1.9935795347597718e-16,1.8570871723626908e-16,RPGRIP1/EYS/RORB/OPN5/GRM8/MYO3B/ABCA4/USH2A/POU6F2/CLRN1/PDE6A/PCDH15/PAX6/IMPG1/MYO3A/RP1L1/GJD2/CNGB3/CRYBB1/LRAT/RP1/SLC4A10/GPR143/NXNL2/GLRA1/SLC45A2/CACNA1F/NR2E1/RPE65/RS1/PDE6C/TYR/CRX/PPEF2/PDE6B/COL2A1/KRT12/BFSP2/CPLX4/ARR3/KCNJ10/CRYBA1/CNGA3/GNAT2/LAMC3/SIX6/LCTL/USH1C/GUCY2F/RDH12/TRPM1/MFRP/PCARE/PAX2/GRM6/CNGB1/GNAT1/RDH8/NDP/CDH3/PDE6H/PDC/RBP3/RGR/GJA10/NYX/GJA3/CRYGB/OPN1SW/CRYGC/RBP4/MIP/SIX3/CRYBB2/CRYGN/GUCY2D/RAX/CRYBA4/CHRNB2/TULP1/CRYGA/RLBP1/NR2E3/VSX2/ZIC2/RAX2/CRB2/CABP2/RD3/USH1G/POU4F3/SOX14/CRYGD/GUCA1C/AIPL1/GRK1/OPN1LW,97
GO:0007601,visual perception,94/3342,219/18870,2.2796046467451458e-18,1.831499504756386e-15,1.7061041093008406e-15,RPGRIP1/EYS/RORB/OPN5/GRM8/MYO3B/ABCA4/USH2A/POU6F2/CLRN1/PDE6A/PAX6/IMPG1/MYO3A/RP1L1/GJD2/CNGB3/CRYBB1/LRAT/RP1/SLC4A10/GPR143/NXNL2/GLRA1/SLC45A2/CACNA1F/NR2E1/RPE65/RS1/PDE6C/TYR/CRX/PPEF2/PDE6B/COL2A1/KRT12/BFSP2/CPLX4/ARR3/KCNJ10/CRYBA1/CNGA3/GNAT2/LAMC3/SIX6/LCTL/GUCY2F/RDH12/TRPM1/MFRP/PCARE/PAX2/GRM6/CNGB1/GNAT1/RDH8/NDP/CDH3/PDE6H/PDC/RBP3/RGR/GJA10/NYX/GJA3/CRYGB/OPN1SW/CRYGC/RBP4/MIP/SIX3/CRYBB2/CRYGN/GUCY2D/RAX/CRYBA4/CHRNB2/TULP1/CRYGA/RLBP1/NR2E3/VSX2/ZIC2/RAX2/CRB2/CABP2/RD3/POU4F3/SOX14/CRYGD/GUCA1C/AIPL1/GRK1/OPN1LW,94
GO:0009913,epidermal cell differentiation,101/3342,245/18870,3.899709468090852e-18,2.7414957560678692e-15,2.5537965819326544e-15,TMC1/SPINK5/USH2A/CLRN1/PAX6/CERS3/SLC39A2/STRC/ZBED2/WNT16/POU2F3/ABCA12/OVOL3/SCEL/KLK5/KRT5/KRT72/OVOL2/DSG4/SPRR1B/LIPM/ESRP1/SPRR2E/KRT2/FOXN1/KRT86/CASP14/KRT1/REG3G/USH1C/LCE1B/LCE4A/FOXI3/CLRN2/KRT84/KRT6A/GRXCR2/KRT6B/FLG/MAFF/KRT77/IL17A/LHFPL5/LORICRIN/GRHL2/KRT4/KRT83/LIPK/KRT76/IL1A/CDH3/KRTAP6-3/KRT79/LCE1E/CDSN/SPRR2G/GRXCR1/KRT85/SLC44A4/KRT73/LCE5A/KRT3/SPRR2D/TCHH/KRT6C/LCE2C/HRNR/SULT2B1/GDF3/ATOH1/KRT82/LCE3E/TMEM132E/FGF20/KRT74/ACER1/KRT17/IL20/KRT78/KRT14/LCE3D/SPRR3/LCE1C/EREG/REG3A/LCE1A/KRT71/KRT36/POU4F3/DLX3/TGM3/KRT16/LCE6A/SPRR4/KRT75/KDF1/KRTAP6-1/KRTAP6-2/OVOL1/SPRR2B/LCE2B,101
GO:0045104,intermediate filament cytoskeleton organization,54/3342,94/18870,5.546494333013851e-18,3.4659426809855444e-15,3.2286435433227994e-15,BFSP1/KRT32/KRT5/KRT27/SHH/KRT72/KRT26/NEFL/KRT12/BFSP2/GFAP/KRT2/KRT39/KRT86/KRT1/KRT84/KRT6A/KRT40/KRT6B/KRT77/KRT33B/KRT4/KRT83/KRT23/KRT15/KRT28/KRT76/KRT79/KRT25/KRT24/KRT85/KRT73/KRT34/KRT3/TCHH/KRT6C/KRT9/INA/KRT82/KRT20/KRT74/KRT17/KRT33A/KRT78/KRT14/KRT71/KRT36/KRT13/KRT16/KRT75/EVPLL/KRT35/KRT38/KRT37,54
GO:0022412,cellular process involved in reproduction in multicellular organism,160/3342,471/18870,6.572510856955788e-18,3.6963801059519345e-15,3.4433038457967324e-15,RBM46/BRIP1/CFAP54/ROBO2/ASPM/NDC80/KNL1/SLC25A31/TOP2A/SPAG6/HOOK1/TEX14/ADCY10/MEI4/CABYR/SPAG17/TTK/GLIPR1L1/CELF4/M1AP/TDRD5/CCDC38/SYCP1/RSPH6A/DDX25/TEX11/ZAR1L/CFAP43/PRSS37/ADAD1/MAEL/ROPN1B/DDX4/PIWIL1/NCAPH/CFAP221/FAM9C/TEX15/ASZ1/FMN2/CFAP97D1/WEE2/RNF17/ACTL7A/TDRD12/SLC26A3/SEPTIN14/MORC1/SYCP3/NOX5/CFTR/CGA/DAZL/CFAP47/ZPBP/EQTN/TOPAZ1/TCP11/MOV10L1/ROPN1/MEIG1/CTCFL/AXDND1/TESMIN/MAJIN/BRDT/SOX30/CCNB2/OOSP2/GALNTL5/ELSPBP1/CFAP65/MEIOC/GMCL2/ADAM2/GPR149/PDILT/CCDC42/MEIOB/DMRT1/RXFP2/CHD5/FAM9A/SPAM1/CRISP1/FAM9B/CATSPERD/AKAP4/SUN5/SPATA46/TERB2/CCNA1/CCDC63/DRC7/SPACA3/CFAP206/SEMG1/NODAL/FSHB/BNC1/SPINK1/ZPBP2/BTBD18/ZFP57/CCR6/FUT6/SHCBP1L/SPO11/SPATA16/KCTD19/SPEM3/PRDM14/HSF2BP/KLHL10/ADAD2/NOBOX/NPM2/DMRTB1/KASH5/TEX19/FSHR/RSPH1/GK2/LIN28A/LYZL6/ASIP/TDRD9/DCST1/IQCF1/FOLR3/H2BC1/BSPH1/H1-7/DMRTC2/TNP1/TNP2/FOSL1/SPANXB1/CFAP157/MEIKIN/LYZL4/SEMG2/FOLR1/DMRTA2/EREG/INSL3/IZUMO1R/TUBB8/PRM2/CFAP73/SPACA1/EFCAB9/KLC3/SOHLH1/PLA2G3/WT1/STRA8/PAEP/DNMT3L/RIMBP3B,160
