ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0005201,extracellular matrix structural constituent,17/312,166/18496,3.237884109822054e-9,1.4667615017493905e-6,1.3292366345585274e-6,TNC/COL19A1/SPON1/EDIL3/ELN/FBN2/BGN/COL1A1/THBS1/COL11A1/CTHRC1/COL3A1/FGG/MXRA5/POSTN/COL1A2/ASPN,17
GO:0005178,integrin binding,12/312,154/18496,1.2156715805504368e-5,0.0025800834519452043,0.0023381725252901815,ICAM5/EDIL3/ITGAX/CCN3/THBS1/THY1/EGFL6/ICAM4/COL3A1/SFRP2/DMP1/ICAM1,12
GO:0004222,metalloendopeptidase activity,10/312,110/18496,1.708664537712056e-5,0.0025800834519452043,0.0023381725252901815,MMP19/ADAMTS16/ADAM12/PHEX/ADAMTS18/ADAMTS4/ADAMTS2/CLCA2/ADAM7/MMP9,10
GO:0050840,extracellular matrix binding,7/312,55/18496,3.68332790316136e-5,0.00417136885033024,0.003780257584823501,ELN/BGN/SHH/THBS1/COL11A1/DMP1/LRRC15,7
GO:0005539,glycosaminoglycan binding,14/312,240/18496,6.080167027319915e-5,0.0055086313267518425,0.0049921371382205615,CCN3/BGN/SHH/THBS1/COL11A1/LIPG/LIPI/EPYC/FGF4/CXCL8/PGLYRP1/POSTN/APOH/CCL23,14
GO:0004984,olfactory receptor activity,19/312,429/18496,1.3390282921771165e-4,0.010109663605937229,0.009161772525422376,OR52N5/OR52N1/OR56B2P/OR8B12/OR12D2/OR51L1/OR14J1/OR13C4/OR9G1/OR1S2/OR4F5/OR2T2/OR2H2/OR9K2/OR56A5/OR10H3/OR2Z1/OR52N2/OR56B4,19
GO:0005125,cytokine activity,13/312,237/18496,2.0421308286624055e-4,0.013215503791200995,0.011976406363584031,GDF7/CLCF1/ALKAL2/IL27/WNT2/NDP/IL6/CXCL8/CCL2/IFNA14/IL5/CCL23/LIF,13
GO:0008237,metallopeptidase activity,11/312,185/18496,3.150598732017292e-4,0.017840265320047916,0.01616754612482558,MMP19/ADAMTS16/ADAM12/PHEX/ADAMTS18/ADAMTS4/ADAMTS2/CLCA2/DPEP1/ADAM7/MMP9,11
GO:0008083,growth factor activity,10/312,162/18496,4.365675918097608e-4,0.021552804322438623,0.019531994157664836,NGF/GDF7/CCN3/CLCF1/EREG/IL6/FGF4/GH2/IL5/LIF,10
GO:0008227,G protein-coupled amine receptor activity,5/312,39/18496,4.757793448661948e-4,0.021552804322438623,0.019531994157664836,CHRM3/CHRM2/HTR2C/TAAR9/TAAR8,5
GO:0048407,platelet-derived growth factor binding,3/312,11/18496,7.094264497120535e-4,0.028790383052761156,0.02609097104816278,COL1A1/COL3A1/COL1A2,3
GO:0008201,heparin binding,10/312,174/18496,7.626591537155273e-4,0.028790383052761156,0.02609097104816278,CCN3/THBS1/COL11A1/LIPG/LIPI/FGF4/CXCL8/POSTN/APOH/CCL23,10
GO:0030020,extracellular matrix structural constituent conferring tensile strength,5/312,45/18496,9.297169720596485e-4,0.032043978667996756,0.02903950663534039,COL19A1/COL1A1/COL11A1/COL3A1/COL1A2,5
GO:0004175,endopeptidase activity,16/312,389/18496,9.903216365385313e-4,0.032043978667996756,0.02903950663534039,MMP19/ADAMTS16/ADAM12/PHEX/CTRC/ADAMTS18/ADAMTS4/SHH/ADAMTS2/TMPRSS11A/CLCA2/F9/HPR/PCSK1/ADAM7/MMP9,16
