category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Sensory system,hsa04740,Olfactory transduction,335/1641,454/9521,8.989754597864015e-166,3.056516563273765e-163,2.782092475549495e-163,OR7C1/OR4D1/OR1L8/OR1S1/OR5AU1/OR56A4/OR52K1/OR14K1/OR51F2/OR5K1/OR51A4/OR5W2/OR2M3/OR2T6/OR4K17/OR56A1/OR9G4/PRKG2/OR52I1/OR8B12/OR8D1/OR8G1/OR2L2/OR51L1/OR5D16/OR8H2/OR14J1/OR2T33/OR1D2/OR51Q1/OR56A3/OR52L1/OR2C3/OR13C4/OR2T11/OR52B2/OR2AG1/OR2J2/OR2B3/OR8J3/OR10D3/OR52A1/OR2F1/OR9Q2/OR6J1/OR5A2/OR2J3/OR5AN1/OR5T2/OR10G8/OR52N2/OR4D2/OR8A1/OR13A1/OR2AJ1/OR11H6/OR10R2/OR2A12/OR1A1/OR10H4/OR5D3P/OR9I1/OR5M1/OR10G7/OR51A7/OR6K3/OR4K13/OR2A14/OR5P3/CNGA4/OR4L1/OR12D3/OR52N4/OR5M8/OR9A4/OR52A5/OR10A2/OR6A2/OR6Y1/OR6X1/OR9K2/OR5D13/OR2B6/OR2T29/OR51D1/OR12D2/OR4B1/OR10K1/OR8J1/CNGA3/OR5B2/OR2T10/OR7E24/OR11A1/OR51I2/OR10J1/OR10K2/OR1I1/OR4M1/OR10Z1/OR2V2/OR2F2/OR51G2/OR4N5/OR51B2/OR5H6/OR4E2/OR52I2/OR52E2/OR4X1/OR6N2/OR2T2/OR51T1/OR4F6/OR2AG2/OR2T12/OR2AT4/OR5H1/OR2M7/OR2Y1/OR2S2/OR9G1/OR2M4/OR10A6/OR8D4/OR5M3/OR51M1/OR8G5/OR6B1/OR10AD1/OR2A1/OR5A1/OR4D9/OR5V1/OR7G3/OR2D2/OR7A17/OR56B1/OR4K1/OR10H3/OR7G2/OR2L3/OR2G6/OR6Q1/OR14A16/OR10T2/OR4A15/OR6C4/OR52K2/OR4F15/OR8B3/OR8H1/OR8K3/OR2M2/OR13F1/OR13G1/OR4N2/OR5T3/OR4F5/OR6P1/OR2A5/OR4E1/OR4S1/OR13C3/OR4D6/OR8K1/OR6C3/OR10A3/OR2H2/OR4D10/OR5H14/CNGB1/OR4K2/OR10H1/OR2L5/OR4A5/OR6N1/OR10AG1/OR5AS1/OR4C12/OR56B4/OR5AR1/OR52N5/OR2Z1/OR2B11/OR6S1/OR52E5/OR14A2/OR1C1/OR2B2/OR11H1/OR1N2/OR10H5/OR4A47/OR3A1/OR2G2/OR7A10/OR2L13/OR10G3/OR8H3/OR10A7/OR5D14/OR51S1/OR4C5/OR11H4/OR2H1/OR52N1/OR10G6/OR1J4/OR1A2/OR10C1/OR52E6/OR2A4/OR4Q3/OR8D2/OR10V1/OR10S1/OR6M1/OR6C1/OR52M1/OR11G2/OR5K2/OR52B4/OR14C36/OR4D5/PRKACG/OR7D4/OR2AP1/OR5D18/OR5BS1P/OR4C11/GUCY2D/OR2T1/OR9Q1/OR5AK2/OR5B3/OR5T1/OR4C3/OR52E4/OR4C46/OR6C75/OR6V1/OR5M11/OR52D1/OR4K14/OR13C8/OR6C65/OR2D3/OR5AP2/OR10H2/OR2A42/OR4C16/OR8U1/OR52J3/OR2V1/OR8B8/OR6K6/OR10G4/OR5J2/OR1K1/OR2A2/OR4F17/OR5K4/CALML3/OR6F1/OR4D11/OR1D5/OR13H1/OR2AK2/OR2T8/OR4X2/OR1G1/OR4K15/OR7A5/CNGA2/OR5H15/OR1J1/OR2T3/OR1L6/OR6C6/OR6K2/OR8K5/OR10G2/OR2A25/OR2T4/OR10W1/OR10J5/OR2T27/OR6B3/OR7G1/OR1L4/OR6C70/OR2J1/OR3A3/OR11H2/OR8B2/OR51F1/OR4M2/OR2T35/OR6C74/OR4C6/OR52R1/OR4C15/OR52E8/OR6C76/OR56A5/OR1N1/OR2M5/OR7C2/OR1S2/OR5L1/OR5AC2/OR2L8/OR13J1/OR13D1/OR51G1/OR4A16/OR4K5/OR1R1P/OR1M1/OR11H12/OR5K3/OR5F1/OR8I2/OR5P2/OR5B17/OR6C68/OR2T34/OR4P4/OR52B6/OR5H2/OR5L2/OR51B6/OR51V1/OR5M10,335
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,176/1641,370/9521,2.940130818496117e-43,4.998222391443399e-41,4.5494655823045187e-41,CHRM3/GLP2R/GABRA2/GRM8/CYSLTR2/PTH2R/TRHR/GABRB2/HTR4/GRIN2B/UTS2B/GALR1/GABRG3/GLP1R/TAC3/GRIK4/GRIN2A/NMBR/GRM7/HCRTR2/CHRNB4/GABRB3/RXFP1/GRM5/GABRR3/CALCB/GRID2/PRLR/MAS1/PATE2/LHCGR/GRM1/RLN2/NPFFR2/CHRM2/NPSR1/GRIA4/GNRHR/GLRA1/LYPD6/LPAR4/QRFPR/GABRG2/GABRG1/GRIN3A/IAPP/DRD1/CGA/NTS/GLRA2/GRIK1/NPFFR1/LYPD6B/PATE1/CRH/OXTR/HTR1A/APELA/GABRA4/MC2R/OPRM1/KNG1/GLRA3/BRS3/PRLHR/CHRM5/GPR156/GABRA1/GABRA5/PLG/HTR2C/LPAR3/GRIA1/HTR5A/RXFP2/GRM4/GABRQ/MCHR2/CHRNA9/DRD3/GABRR1/GABRB1/NPY/PATE4/GABRP/CHRNA3/GIPR/NMU/GRM3/TAAR8/GABRA3/NPS/PRLH/NPBWR1/KISS1/FSHB/CHRNA4/PDYN/SST/PNOC/TAAR9/AVPR1B/ADRB3/CCK/UTS2/MC4R/OPRK1/GRM6/CNR2/CHRNB3/CCKBR/TAAR2/MTNR1B/NPVF/GCG/TAAR6/FSHR/AGTR2/CHRNA2/F2/GRP/GABRA6/GHRHR/CHRNA6/GHSR/NMUR2/TAC1/INSL5/RLN1/NTSR2/NMS/MC3R/CALCA/MLNR/PRSS3/SCTR/CCKAR/GPR50/CHRNB2/TAAR5/SSTR3/HTR1E/CSH1/PMCH/TAAR1/NPY2R/PYY/MLN/UCN3/SSTR4/GH2/PATE3/MCHR1/P2RX2/INSL3/TRH/TAC4/GIP/F2RL2/PRSS1/DRD5/MTNR1A/QRFP/GHRH/GALP/EDN2/CSHL1/TSHB/CHRM1/RXFP3/HCRT/PRSS2/GALR2/CSH2/KISS1R/GPHA2,176
NA,NA,hsa04382,Cornified envelope formation,110/1641,217/9521,3.1261694894324133e-30,3.5429920880234016e-28,3.2248906312039635e-28,PPP2R2B/CERS3/CLDN8/CYP4F22/KRT32/DSG1/S100A5/ABCA12/KRT5/KRT27/CLDN2/COL17A1/KRT72/CLDN7/DSG4/KRT26/TGM5/HAL/SPRR1B/KRT12/SPRR2A/ELOVL4/PNPLA1/CLDN20/SPRR2E/CLDN10/CLDN16/KRT2/FLG2/KRT39/KRT86/CLDN18/CASP14/KRT1/PADI3/KRT8/LCE1B/LCE4A/CLDN6/KRT84/DSC1/KRT6A/KRT40/KRT6B/FLG/KRT77/TCHHL1/LORICRIN/KRT33B/KRT4/ALOXE3/KRT83/KRT23/KRT15/KRT28/KRT76/KRT79/LCE1E/CDSN/SPRR2G/CLDN14/KRT25/KRT24/S100A7A/KRT85/KRT73/LCE5A/KRT34/KRT3/SPRR2D/TCHH/DSG3/CLDN25/KRT6C/KRT9/LCE2C/HRNR/S100A3/SPRR5/CLDN22/KRT82/LCE3E/KRT20/ALOX12B/KRT74/PADI1/KRT17/KRT33A/KRT78/KRT14/LCE3D/SPRR3/LCE1C/PADI6/LCE1A/KRT71/KRT36/KRT13/TGM3/KRT16/SPRR4/KRT75/KRT35/KRT38/KRT37/CLDN24/CLDN17/SPRR2B/LCE2B/CLDN34,110
NA,NA,hsa04082,Neuroactive ligand signaling,81/1641,199/9521,2.603532329612441e-15,2.2130024801705748e-13,2.0143118550159413e-13,CHRM3/GABRA2/GRM8/SLC5A7/GABRB2/HTR4/GRIN2B/SLC6A4/GABRG3/TAC3/GRIK4/GRIN2A/GRM7/CHRNB4/GABRB3/GRM5/SLC6A11/GABRR3/GRM1/GNGT2/SLC17A8/CHRM2/GRIA4/GLRA1/SLC6A2/GABRG2/GABRG1/GRIN3A/DRD1/SLC18A1/HTR3B/GRIK1/HTR3E/HTR1A/GABRA4/OPRM1/GLRA3/HTR3D/CHRM5/GABRA1/GABRA5/HTR2C/GRIA1/HTR5A/GNGT1/GRM4/GABRQ/SLC1A6/SLC6A5/DRD3/GABRR1/GABRB1/GABRP/CHRNA3/GRM3/GABRA3/SLC17A6/CHRNA4/CHAT/PDYN/PNOC/ADCY8/MC4R/GNG4/OPRK1/GRM6/HTR3A/GABRA6/CHRNA6/PRKACG/TAC1/MC3R/CHRNB2/HTR1E/HTR3C/SLC6A3/P2RX2/TAC4/AGRP/DRD5/CHRM1,81
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,39/1641,68/9521,8.497313873648616e-14,5.778173434081059e-12,5.259390060742512e-12,CYP3A5/UGT2B4/BCO1/UGT2B15/CYP2C9/CYP27C1/LRAT/SDR16C5/UGT2A1/CYP3A4/UGT2B10/RPE65/UGT2B7/CYP2B6/UGT1A10/UGT1A4/UGT1A8/ADH6/RDH12/UGT1A1/CYP2A7/CYP2C18/UGT2A3/UGT2B28/RDH8/UGT2B11/CYP2A6/UGT1A9/ADH4/HSD17B6/UGT1A6/ADH1A/CYP3A7/AWAT2/ADH7/UGT1A7/UGT2B17/CYP1A2/UGT1A3,39
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,27/1641,41/9521,5.832109937467372e-12,3.304862297898177e-10,3.0081409151147497e-10,GABRA2/GABRB2/GRIN2B/CACNA1A/GABRG3/GRIN2A/GABRB3/GABRR3/SLC17A8/GRIA4/GABRG2/GABRG1/GRIN3A/GABRA4/GABRA1/GABRA5/GRIA1/GABRQ/GABRR1/GABRB1/GABRP/GABRA3/SLC17A6/CHRNA4/GABRA6/CHRNA6/CHRNB2,27
Human Diseases,Endocrine and metabolic disease,hsa04950,Maturity onset diabetes of the young,20/1641,26/9521,3.865957787086048e-11,1.8777509251560802e-9,1.7091602848169899e-9,PAX6/RFX6/IAPP/HNF4G/PAX4/NKX2-2/PDX1/NEUROD1/HNF1A/GCK/ONECUT1/NKX6-1/HNF1B/SLC2A2/HNF4A/FOXA3/MNX1/FOXA2/PKLR/NEUROG3,20
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,39/1641,79/9521,4.601220365007841e-11,1.9555186551283323e-9,1.779945772779349e-9,GSTA5/CYP3A5/UGT2B4/UGT2B15/CYP2C9/UGT2A1/CYP3A4/UGT2B10/UGT2B7/GSTA1/CYP2B6/CYP2D6/UGT1A10/UGT1A4/UGT1A8/ADH6/GSTA3/UGT1A1/CYP2A7/UGT2A3/ALDH3B2/UGT2B28/CYP2F1/UGT2B11/CYP2A6/UGT1A9/ADH4/UGT1A6/ADH1A/CYP2A13/GSTA2/ADH7/UGT1A7/UGT2B17/GSTT4/DHDH/CYP1A2/SULT2A1/UGT1A3,39
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,34/1641,64/9521,6.090984164333046e-11,2.301038462081373e-9,2.094443677560135e-9,CYP3A5/UGT2B4/CYP19A1/UGT2B15/HSD17B2/UGT2A1/CYP3A4/UGT2B10/UGT2B7/HSD3B1/AKR1D1/AKR1C4/UGT1A10/UGT1A4/UGT1A8/UGT1A1/SRD5A2/UGT2A3/UGT2B28/HSD3B2/CYP17A1/UGT2B11/UGT1A9/HSD17B6/UGT1A6/CYP3A7/CYP11B1/SULT2B1/UGT1A7/CYP7A1/UGT2B17/SULT1E1/CYP1A2/UGT1A3,34
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,36/1641,73/9521,2.6670318413562127e-10,9.067908260611123e-9,8.25376169851291e-9,GSTA5/CYP3A5/UGT2B4/UGT2B15/CYP2C9/CYP2C19/UGT2A1/CYP3A4/UGT2B10/UGT2B7/GSTA1/CYP2B6/CYP2D6/UGT1A10/UGT1A4/UGT1A8/ADH6/GSTA3/UGT1A1/CYP2A7/UGT2A3/ALDH3B2/UGT2B28/UGT2B11/CYP2A6/UGT1A9/ADH4/UGT1A6/ADH1A/GSTA2/ADH7/UGT1A7/UGT2B17/GSTT4/CYP1A2/UGT1A3,36
