Cluster,gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
0,COL21A1,-1.3496490332913045,8.998386339762407e-26,3.226371422121811e-21,183.47949798393736,0.12856683830929663,-10.496141050068571
0,XIST,-2.939748952072125,1.3070931643958697e-19,2.3432912704706956e-15,15494.0927746023,0.4654749764509427,-9.059783847853945
0,SIMC1,0.5599136211440873,1.3040583470371005e-17,1.558567067767175e-13,357.9279998176031,0.0655386306699142,8.543332189092679
0,NPNT,-1.06317558246516,3.219985073466959e-17,2.8863141202289456e-13,378.72196392208315,0.12598959739736612,-8.438295579006326
0,CFAP47,-2.5594951352400352,3.790397150928452e-16,2.718093796930793e-12,26.3833251914538,0.31340818726930886,-8.145077291779213
0,ARHGEF10L,0.40378211346253734,7.607958306262059e-16,4.546389084517102e-12,1571.222964083733,0.05009495883750234,8.0603447442245
0,MINAR1,-2.0052035802438803,2.5344420836683525e-15,7.572701742494065e-12,65.51180812257839,0.25335525140413573,-7.911922475895602
0,IGSF10,-1.5571306830454443,2.187549413251763e-15,7.572701742494065e-12,129.37549452194975,0.19632355096950688,-7.930221737767618
0,ADGRB2,-1.2286239270922528,2.420960821879669e-15,7.572701742494065e-12,65.95540043206836,0.1551229649755595,-7.917621978781356
0,EXPH5,-1.2203968612399267,2.494540779807945e-15,7.572701742494065e-12,63.917138124415736,0.15415605910863148,-7.913897312064003
0,ADAMTS6,-1.2102587632820696,1.892532836391966e-15,7.572701742494065e-12,62.75204337172161,0.15222464599416705,-7.94819193363512
0,KANSL3,0.3331445280623028,1.8513848781491028e-15,7.572701742494065e-12,2218.239501408492,0.04190018853397,7.950915307295994
0,PLA2G4A,-0.9482100515764516,4.217509298035861e-15,1.0414385700641076e-11,37.47751484514252,0.12076688994898292,-7.848289154579357
0,AIMP2,0.4835330199805664,4.203439054141418e-15,1.0414385700641076e-11,508.4315122336161,0.06160695771929579,7.848708333675912
0,ZNF518B,0.3821956339326748,4.356875903210602e-15,1.0414385700641076e-11,765.9673905708892,0.04872343333031394,7.84420997055052
0,LINC01684,-1.6521734807341883,5.5359966486778e-15,1.1615791889915512e-11,33.70032899544618,0.21123820875137067,-7.814093554675345
0,RPS6KA6,-1.3854522618625968,5.8313834616784056e-15,1.1615791889915512e-11,45.06307298330979,0.17735165207489523,-7.807542458783956
0,SAMM50,0.4497351468703279,5.762793441208129e-15,1.1615791889915512e-11,732.5441599461798,0.05759184158225459,7.809034043548535
0,HMGCS2,-2.995706938389338,7.323434354737114e-15,1.3820091515215748e-11,236.8155778019785,0.38746564798065913,-7.77876779041891
0,LGI2,-1.1793073746369709,8.76557148461561e-15,1.5714478279044636e-11,42.94415219837595,0.15198029262004564,-7.755991762161448
0,XACT,-2.214515140361763,9.355128182433102e-15,1.5832521943709817e-11,417.8505450695504,0.2860984010095769,-7.747727971370645
0,FIRRE,-1.4146068643929026,9.71455815818201e-15,1.5832521943709817e-11,24.537338233349537,0.18248954881403412,-7.742937788230359
0,PHKB,0.476052787249617,1.419689294148082e-14,2.2131721583338903e-11,3699.5981137926833,0.06186867622344953,7.694571689449541
0,FRMD7,-2.1225401535410193,1.7591774252530074e-14,2.523012263297863e-11,11.441142834750794,0.2751947732680767,-7.667107931939122
0,EPN1,0.2918185337017978,1.7424419008838457e-14,2.523012263297863e-11,1376.588556224134,0.0380550718807981,7.668334357478524
0,IL7,-1.7402021303352193,1.9175693242277725e-14,2.6444018507764144e-11,14.21087084320507,0.2265612479472928,-7.656038049354235
0,SEMA3D,-1.4706875445343088,2.0791689622937053e-14,2.713247652020951e-11,62.11176307781494,0.19228716644467295,-7.645634866791753
0,RYR2,-1.4698039622382222,2.118837937709849e-14,2.713247652020951e-11,135.53574925681255,0.19228931718623657,-7.643202839699517
0,LUZP2,-2.081063075536595,3.7812992418301386e-14,4.6751201488213664e-11,20.327953929960405,0.27426126646397436,-7.568303437644196
0,RNF41,0.3604910173944216,4.497701930960261e-14,5.375503424486006e-11,774.2742917928188,0.04777433316256264,7.545727333675864
0,ADGRG2,-1.257961378183037,5.51583736224364e-14,6.379688665265989e-11,55.412225081299525,0.16723659285371856,-7.519091027109602
0,MIR325HG,-1.8942035454531228,8.97132825886906e-14,9.48963649474001e-11,11.56436006024522,0.25294785373172124,-7.455226927981586
0,MAP7D2,-1.643813591940409,8.998679147152707e-14,9.48963649474001e-11,26.13051284545729,0.22023688149522055,-7.454825586669009
0,IQGAP2,-0.8010216625580352,8.714655400895206e-14,9.48963649474001e-11,155.52259796227017,0.10738084297749668,-7.459052994632594
0,POF1B,-1.9324672500377928,1.137411093397853e-13,1.04568909625077e-10,10.698307224874071,0.2589987778618116,-7.423876632587236
0,AC007728.2,-1.7307668072181457,1.1214509707170503e-13,1.04568909625077e-10,12.510315909438672,0.23218880964460295,-7.425747095863511
0,C3orf18,0.5898745108581642,1.0593151636317968e-13,1.04568909625077e-10,286.35451661811913,0.07935682612285025,7.433287244347761
0,TECR,0.4691773882639419,1.0775581874237261e-13,1.04568909625077e-10,1080.9320222199312,0.06313779135200019,7.431029322740745
0,PACS2,0.32940131660804267,1.1122645890787349e-13,1.04568909625077e-10,2320.33300306673,0.04435289285189291,7.426835601957903
0,SCN9A,-0.7632337766556648,1.16736314007595e-13,1.0463951346855795e-10,142.69356224785864,0.10284855175609396,-7.420434970638497
0,TNFAIP8,-0.9263070579024834,1.2300658614177324e-13,1.0757075966129952e-10,74.62845141549698,0.12492666254679992,-7.413502647396315
0,PRLR,-1.4001464908148915,1.2947272796795997e-13,1.1052963479264771e-10,47.69153639086378,0.18894363026319053,-7.406708387972473
0,TNC,-2.14524369578718,1.4479584568452021e-13,1.1799216015951072e-10,509.1629766889424,0.2905058956934252,-7.391853654468545
0,ADAMTS9-AS1,-1.1669253139638447,1.4420719780801166e-13,1.1799216015951072e-10,35.23104298897671,0.15777608191567033,-7.392395157882815
0,PHEX,-1.9249842609851815,1.6836193992073832e-13,1.3060552403999328e-10,22.743850398072947,0.2605691125543147,-7.371782184451777
0,FBN2,-1.8781216237528169,1.7484493526480765e-13,1.3060552403999328e-10,61.705127752630546,0.2548700880847595,-7.366744643020203
0,LRRC4,-0.9859468879589672,1.7258131187079577e-13,1.3060552403999328e-10,49.27247152050049,0.13375982064848102,-7.368482399379593
0,MICAL2,-0.7141472964476158,1.664376780537758e-13,1.3060552403999328e-10,354.5490715967947,0.09685344417164604,-7.373314133243715
0,AP000331.1,-2.1613072222729617,1.877269394555101e-13,1.3736631457504722e-10,7.437319295872052,0.29047390355712577,-7.357257551111187
0,ADAMTS18,-2.1219745113250927,2.2041303650570662e-13,1.5805818847824218e-10,28.154598417643903,0.28888683136107163,-7.335792654043781
0,PEX5L,-1.9135534095921032,2.2959519446856156e-13,1.6141442544451518e-10,37.4919707755586,0.2608105089930224,-7.330325037609007
0,AKAP4,-2.7189642787642394,2.471569654990245e-13,1.7041948073014463e-10,6.502271051030558,0.3629375246707583,-7.320441215325526
0,ATG4D,0.4824661784873646,2.620006337396638e-13,1.7724590042897444e-10,391.1382386599506,0.0659777781233455,7.312611026140079
0,RYR1,0.4538655885065343,2.791553942026239e-13,1.853540122062052e-10,89657.38749564497,0.0621385604409977,7.304087155792308
0,TNFSF15,-1.6180666741484533,2.9267327294347085e-13,1.9079636729796628e-10,22.398697381882105,0.22139014008747965,-7.297725356296608
0,TPI1,0.6806241275929635,3.033662314552469e-13,1.942356469433549e-10,6181.870057325493,0.093326807772433365,7.292894240657181
0,ADGRV1,-2.458271418143792,3.093285357788667e-13,1.9457850263774143e-10,198.38248640481845,0.33793659265415155,-7.290272583390635
0,MPV17L,0.7799195036128035,3.389657875841865e-13,2.095451433419139e-10,565.1029707716127,0.1071620638781145,7.277936108782446
0,AFF2,-1.460158184552823,3.4808863497191073e-13,2.115375933375908e-10,41.20641045298768,0.20061294276258343,-7.274351466791279
0,CDCP1,-1.4764609157116495,3.8459881440527995e-13,2.298298415083552e-10,21.477982963912392,0.20302732507601373,-7.260873390711053
0,HDAC2-AS2,-1.2337591700418034,3.9466618047274753e-13,2.3197960493197311e-10,55.03539756763646,0.16995082143150955,-7.257377824662749
0,GPI,0.4531687588113349,5.017657496761534e-13,2.8743193842349877e-10,3129.565853325693,0.06272391146199506,7.224820067521537
0,AMN1,0.4339538022948245,5.05040081458107e-13,2.8743193842349877e-10,223.14783720509504,0.06007229850132357,7.223936067671607
0,FRMPD3,-1.9273398218247004,6.007600368406828e-13,3.3590645880345246e-10,11.99874394361415,0.2665470944729576,-7.2003095761016125
0,KCNT2,-0.8220046233398444,6.089504900913236e-13,3.3590645880345246e-10,79.88651635133918,0.11417628896401856,-7.198463035683508
0,NABP2,0.3983352202327925,6.558300679902135e-13,3.562846528452894e-10,379.5057712089659,0.05541452634245878,7.188341612515219
0,NHS,-0.8357872830292219,7.22296164699591e-13,3.8653625351199747e-10,95.55579468994404,0.11646975372399426,-7.175146843837186
0,SEMA3A,-1.5796997952775214,7.530255693289972e-13,3.970548792395763e-10,48.95055191186628,0.2202445087282236,-7.169444739073482
0,LPIN2,-0.5966600574853749,7.666274343469903e-13,3.9836850229726567e-10,190.7207472236979,0.08324758861382377,-7.166993369826216
0,ALKBH7,0.5117843484066531,8.013619865962724e-13,4.104690575629906e-10,326.05605417175747,0.0714696949712657,7.160922068405657
0,BTBD6,0.6078592867707229,8.948592048922273e-13,4.519038984705747e-10,647.7065327119113,0.08506579562979551,7.1457805550095275
0,TSIX,-2.2631784734954024,1.0291437234557965e-12,5.054787425275011e-10,52.963900730276066,0.3177054914180783,-7.12655199607611
0,TNNT2,-1.7096440053822983,1.0151586940328545e-12,5.054787425275011e-10,41.19153872651794,0.2396510408726567,-7.128435879352387
0,NMNAT1,0.5675145121013248,1.1157694748448177e-12,5.406204664940667e-10,176.09670027286845,0.07975988661220575,7.11541456173361
0,CYSLTR1,-0.8771547388795532,1.138262896413252e-12,5.441655486786286e-10,63.53184586473804,0.12329855472889242,-7.112661411765933
0,WNK3,-1.2103708532913913,1.2155427243279865e-12,5.615508155571892e-10,31.712938409936548,0.17028310488389953,-7.103593241035501
0,VASH2,-1.1219762937556126,1.2171333983619916e-12,5.615508155571892e-10,67.03570946995475,0.15790553508055913,-7.103412591274334
0,TTC39C,-0.9668093754346906,1.2216138227154025e-12,5.615508155571892e-10,64.73119371039007,0.13608438643398738,-7.102905000688657
0,HDX,-0.6583008469480666,1.2686248140615426e-12,5.757790216224886e-10,60.9863255831688,0.09273598276554389,-7.09768657512865
0,LRRC7,-1.0560038415140436,1.3361619617907233e-12,5.988510892500798e-10,307.7525261151447,0.14892894931145942,-7.090512552342736
0,CHST6,-1.88120202182737,1.356197328388439e-12,6.003266075230554e-10,15.696862564573696,0.2645890603419737,-7.088452683188749
0,HERC2,0.23986622680358063,1.4666667963926745e-12,6.413089998129188e-10,2194.6213924859967,0.03389090232167732,7.077605359113714
0,ADGRG4,-1.5447575749790745,1.5318265865165717e-12,6.577638418246524e-10,41.31383344781835,0.21831590861288383,-7.071577095284065
0,GALNT6,-1.3099012516775546,1.5409890590788124e-12,6.577638418246524e-10,23.154927719826627,0.18504494449456652,-7.070749672334361
0,KLHL4,-1.5803799295091112,1.668520763477488e-12,7.016355896831468e-10,19.497098332684462,0.22347858248486344,-7.059708642688541
0,ZNF711,-0.9150114477671196,1.6829078430553792e-12,7.016355896831468e-10,50.02983592646687,0.12959557589679405,-7.058515453935652
0,COL11A1,-1.9640918718453113,1.7637529151182541e-12,7.26889204270862e-10,78.60525636482498,0.2785292726377502,-7.051991254145857
0,CACNB4,-1.3867754058101225,1.8105172479925585e-12,7.376829082587862e-10,99.17700887460542,0.19672437917283603,-7.048350039932719
0,CA12,-1.910719820731139,1.8699527976038295e-12,7.449684173120591e-10,21.56799915806076,0.2706887302268562,-7.04385310757445
0,MYLPF,0.7597602691793879,1.850234723440963e-12,7.449684173120591e-10,16616.98459755101,0.10783824655351616,7.045329252566334
0,TMOD1,0.4657988905310479,1.9277684275877722e-12,7.525636251008508e-10,5194.959930209069,0.06616827569962705,7.039611301305127
0,MLXIP,0.4318341226982782,1.93099577490666e-12,7.525636251008508e-10,7921.003329525731,0.06134549617533064,7.039378210254975
0,C1orf105,-1.52583730569545,1.9799751475963584e-12,7.590187298877486e-10,19.863122275284365,0.2164816242260708,-7.03588688714457
0,PHYHIP,-1.5100825705618437,1.98989710248078e-12,7.590187298877486e-10,13.67405721632166,0.21411194654907648,-7.035189964117314
0,KIF23,-1.7538661584367046,2.0443783404009e-12,7.673147832487782e-10,24.497639483231268,0.24905066632533215,-7.031422893690077
0,QARS1,0.32242857273661113,2.054447613774445e-12,7.673147832487782e-10,1354.4350635613916,0.04585991836223906,7.030737456185431
0,NRK,-1.362852143098497,2.078772312641639e-12,7.683956831934635e-10,88.35124937274722,0.19384426194899285,-7.029095121925602
0,GDE1,0.4768552115709873,2.1612454885381243e-12,7.749145699153444e-10,1241.4863052791725,0.06789279235814953,7.023663770712326
0,ZNF76,0.3770022350541491,2.150481864879462e-12,7.749145699153444e-10,817.1173176267405,0.05367084507277468,7.024360970282012
0,PRKACA,0.35846423946614475,2.1210136658365313e-12,7.749145699153444e-10,3907.988964107261,0.05101761510890477,7.026287392228999
0,SLC6A14,-2.5890736930473373,2.4898440645672004e-12,8.838946429213561e-10,10.188882583668306,0.3657896898791846,-7.003871548807322
0,ARHGEF26,-0.9492661823523302,2.551409863801359e-12,8.968705947705657e-10,94.62509753717804,0.1355822960474821,-7.00045037946283
0,KIF4A,-2.123240762354759,2.588836940355269e-12,9.011917329751279e-10,14.514325051750154,0.30215622403905984,-6.998409935140365
0,FBXW4,0.2973242752312648,2.7079369696892898e-12,9.335873081558603e-10,768.2246809303281,0.04252297741308474,6.992104164789907
0,CERS3,-1.9390006770150263,2.7347263142754684e-12,9.338439237937802e-10,14.5782060276312,0.27650430066382276,-6.990723308688367
0,FMN1,-0.9897139732513276,2.909876690325112e-12,9.842795163359141e-10,192.33547871732424,0.1417419281727517,-6.982009392838935
0,IL1RAP,-0.872993809215215,3.073650125385411e-12,1.0299600490251766e-9,120.37837098631,0.12516144670848056,-6.974314861229491
0,TMED3,-1.178774818438857,3.2260684984123586e-12,1.0533687203765758e-9,74.52512599647598,0.16914867459307514,-6.96750680640175
0,SRRD,0.3950090989302316,3.1757064241864707e-12,1.0533687203765758e-9,653.9272137042302,0.05667522093967749,6.969720778012729
0,DNM2,0.24727168401388455,3.231642985397388e-12,1.0533687203765758e-9,1629.403064015023,0.0354905379947014,6.967263832318235
