cluster,gene
cluster_0,SIMC1
cluster_0,C3orf18
cluster_0,TPI1
cluster_0,MPV17L
cluster_0,ALKBH7
cluster_0,BTBD6
cluster_0,NMNAT1
cluster_0,MYLPF
cluster_0,TMEM143
cluster_0,NDRG4
cluster_0,GGT7
cluster_0,SCN4A
cluster_0,GAPDH
cluster_0,ENO3
cluster_0,ATP5F1D
cluster_0,TPM2
cluster_0,RC3H1
cluster_0,CCDC69
cluster_0,PHKA1
cluster_0,PLPP7
cluster_1,AL355304.1
cluster_1,AC006059.5
cluster_1,PLCXD2
cluster_1,AC109925.1
cluster_1,AC015660.1
cluster_1,SCN8A
cluster_1,AL139385.1
cluster_1,HGD
cluster_1,GGH
cluster_1,HHATL-AS1
cluster_1,OVCH1
cluster_1,SLC26A4
cluster_1,SOX2-OT
cluster_1,AC090921.1
cluster_1,DCDC2
cluster_1,FRRS1L
cluster_1,LMCD1-AS1
cluster_1,RAD51
cluster_1,LIF
cluster_1,LINC00877
cluster_2,GXYLT2
cluster_2,COL5A2
cluster_2,ELN
cluster_2,COL1A1
cluster_2,DCLK1
cluster_2,ASPN
cluster_2,MXRA8
cluster_2,LOX
cluster_2,TMEM119
cluster_2,SFRP2
cluster_2,ADAMTS2
cluster_2,UTS2R
cluster_2,COL1A2
cluster_2,COL14A1
cluster_2,MMP14
cluster_2,MMP2
cluster_2,CTSK
cluster_2,COL6A3
cluster_2,COL5A1
cluster_2,ANTXR1
cluster_3,JPX
cluster_3,EIF1AX
cluster_3,KDM6A
cluster_3,HMGCS2
cluster_3,ADAMTSL4
cluster_3,CD36
cluster_3,HADHB
cluster_3,SLC16A7
cluster_3,RASSF9
cluster_3,AC073349.4
cluster_3,NPNT
cluster_3,KCND3
cluster_3,C12orf75
cluster_3,LRP1B
cluster_3,ST3GAL6
cluster_3,PCDHGA4
cluster_3,MYLK3
cluster_3,ASS1
cluster_3,PROX1
cluster_3,MINAR1
