ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0050907,detection of chemical stimulus involved in sensory perception,387/5886,479/18870,4.1662275292333375e-114,2.5634797987372726e-110,2.0563621983763285e-110,FFAR4/OR4K2/OR1C1/OR2F1/TRPA1/OR51L1/OR51A7/OR6Y1/OR2AG1/OR6F1/OR2B11/OR4K13/OR52E4/OR12D3/OR8D1/OR4K17/OR52K1/OR10K1/OR6J1/PKD2L1/OR9G1/AZGP1/PKD1L3/OR4C3/OR9Q2/OR6K3/OR10A2/OR10AG1/OR4N5/OR52I2/OR56A1/OR2A14/OR6B1/OR2V2/OR2T12/OR8B12/OR4D9/OR56A3/OR14J1/OR8B8/OR2T1/OR5A1/OR2H1/OR4M1/OR8A1/OR4N2/OR52A1/OR6P1/OR8J3/OR7C1/OR2I1P/OR9I1/PIGR/OR11G2/OR2T6/OR5AN1/OR10Z1/LPO/OR56A4/OR2G6/OR51S1/OR4D1/OR13G1/OR10A3/OR5B2/OR51E2/OR2J3/OR4L1/OR8B3/OR51M1/OR2AG2/OR9G4/OR6N1/OR2AJ1/OR4Q3/OR8D2/OR5H14/OR4K1/OR52E5/OR1S2/OR2C3/OR4S2/OR2A12/OR7A10/OR1N2/OR5M1/OR6C75/PLCB2/OR8H2/OR2T27/OR2AT4/OR2D3/OR2A25/OR5A2/OR2T33/OR2L2/OR51I2/OR4K14/OR1A1/OR10D3/OR6A2/OR4E1/OR8J1/OR13A1/CNGB1/OR6C70/OR8G1/OR12D2/OR10H1/OR52E8/OR2Z1/OR51F1/OR4C11/OR2A42/OR2Y1/OR4E2/OR8B4/GNAT1/OR10R2/OR1D2/OR10A6/OR5V1/OR2L3/OR2M3/OR1L8/OR5AU1/OR2A5/OR14A16/OR2L13/OR2J2/OR10J1/OR2A7/OR6C4/OR5H1/OR9K2/OR10G7/OR5H2/OR51Q1/OR5AS1/OR4C15/OR7A17/OR10K2/OR51D1/OR4D2/OR6C3/OR4C16/OR2A1/CA6/OR5K3/OR2T4/GNAT2/OR7D4/OR56B4/OR4K5/OR51G2/OR2T2/OR52N1/OR5M3/GNAT3/OR51T1/OR4F15/OR10H5/OR6C6/OR2T11/OR2T10/OR5AP2/OR10G8/OR5F1/OR52E2/OR5K1/OR9A4/OR5P3/OR6C2/OR6N2/OR6K6/OR51B5/OR2M4/OR2F2/OR8K3/OR11H4/OR3A3/OR8H1/OR1I1/OR4D10/OR8I2/OR8K1/TAS2R40/OR2M2/OR5T2/OR10H4/OR7G3/OR10S1/OR2V1/OR56A5/OR10H3/OR8D4/OR4P4/OR52I1/OR11A1/OR2J1/RTP1/OR2H2/OR4X2/OR52A5/OR1D5/OR2B2/CST2/OR5T1/OR52B6/RTP3/OR4C6/OR52K2/OR52N2/OR13C8/OR52L1/OR7G2/OR1G1/OR4A47/TAS2R7/OR2A4/OR13F1/OR51A4/OR2T3/OR5T3/OR6C1/OR5AC2/OR6V1/OR52N5/OR5L1/OR6S1/OR5AR1/OR2AP1/OR2T29/OR5B3/OR4X1/OR52J3/OR10G4/OR5B12/OR2G3/OR6C68/OR5M10/OR7E24/OR10H2/OR51F2/OR10C1/OR6C65/OR8U1/OR4B1/RTP5/OR4F6/OR10A4/OR6T1/OR2T8/OR14K1/OR13H1/OR4C5/OR8G5/OR4D5/OR10G3/OR4F17/OR4S1/OR10T2/OR5J2/OR52H1/OR13J1/OR2T35/CST1/OR2G2/OR6X1/OR2M5/TAS2R38/OR7G1/OR1S1/CST4/TAS2R39/TAS1R2/OR9Q1/OR2B6/OR5AK2/RTP4/OR6Q1/OR52E6/OR1M1/OR4D6/OR5H6/OR5M8/OR2M7/OR2C1/TAS2R8/OR10G6/OR5K4/OR1L1/OR4A15/OR5L2/OR1A2/OR2A2/OR52D1/OR1N1/OR2L8/OR52M1/OR5W2/OR13D1/OR6K2/OR51B6/OR10AD1/OR8H3/OR10G2/TAS2R16/OR11H1/OR13C3/OR13C4/OR5B17/OR4F5/OR4A16/OR6M1/OR1J4/OR10V1/OR51B2/OR2AK2/OR56B1/OR4K15/OR10X1/OR5I1/OR56B2P/OR10A7/OR11H12/OR5H15/OR14A2/OR8S1/OR7C2/OR4C12/OR2D2/OR14C36/OR51I1/OR51V1/OR1Q1/OR1L4/OR5D18/OR4F4/OR8B2/OR6C74/OR1J2/OR7A5/OR2W1/OR11H2/OR5K2/OR52R1/OR4D11/OR10G9/OR13C2/OR5D14/OR10W1/OR5P2/OR5D16/OR4C13/OR13C9/OR2S2/OR2B3/OR1L6/OR1K1/OR11L1/TAS2R9/OR2L5/OR1L3/OR5D13/TAS1R1/OR10A5/OR4A5/RTP2/OR8K5/OR52B2/OR6C76/OR2T34/OR10P1/OR6B3/PIP/OR51B4/OR10J5/OR52W1/OR11H6/OR3A1/OR52B4/OR1J1/OR1F1/OR51G1/OR5C1/OR4C46,387
GO:0050911,detection of chemical stimulus involved in sensory perception of smell,357/5886,431/18870,1.6349382485107552e-111,5.0298875215433384e-108,4.0348554985615425e-108,OR4K2/OR1C1/OR2F1/OR51L1/OR51A7/OR6Y1/OR2AG1/OR6F1/OR2B11/OR4K13/OR52E4/OR12D3/OR8D1/OR4K17/OR52K1/OR10K1/OR6J1/OR9G1/OR4C3/OR9Q2/OR6K3/OR10A2/OR10AG1/OR4N5/OR52I2/OR56A1/OR2A14/OR6B1/OR2V2/OR2T12/OR8B12/OR4D9/OR56A3/OR14J1/OR8B8/OR2T1/OR5A1/OR2H1/OR4M1/OR8A1/OR4N2/OR52A1/OR6P1/OR8J3/OR7C1/OR2I1P/OR9I1/OR11G2/OR2T6/OR5AN1/OR10Z1/OR56A4/OR2G6/OR51S1/OR4D1/OR13G1/OR10A3/OR5B2/OR51E2/OR2J3/OR4L1/OR8B3/OR51M1/OR2AG2/OR9G4/OR6N1/OR2AJ1/OR4Q3/OR8D2/OR5H14/OR4K1/OR52E5/OR1S2/OR2C3/OR4S2/OR2A12/OR7A10/OR1N2/OR5M1/OR6C75/OR8H2/OR2T27/OR2AT4/OR2D3/OR2A25/OR5A2/OR2T33/OR2L2/OR51I2/OR4K14/OR1A1/OR10D3/OR6A2/OR4E1/OR8J1/OR13A1/CNGB1/OR6C70/OR8G1/OR12D2/OR10H1/OR52E8/OR2Z1/OR51F1/OR4C11/OR2A42/OR2Y1/OR4E2/OR8B4/OR10R2/OR1D2/OR10A6/OR5V1/OR2L3/OR2M3/OR1L8/OR5AU1/OR2A5/OR14A16/OR2L13/OR2J2/OR10J1/OR2A7/OR6C4/OR5H1/OR9K2/OR10G7/OR5H2/OR51Q1/OR5AS1/OR4C15/OR7A17/OR10K2/OR51D1/OR4D2/OR6C3/OR4C16/OR2A1/OR5K3/OR2T4/OR7D4/OR56B4/OR4K5/OR51G2/OR2T2/OR52N1/OR5M3/OR51T1/OR4F15/OR10H5/OR6C6/OR2T11/OR2T10/OR5AP2/OR10G8/OR5F1/OR52E2/OR5K1/OR9A4/OR5P3/OR6C2/OR6N2/OR6K6/OR51B5/OR2M4/OR2F2/OR8K3/OR11H4/OR3A3/OR8H1/OR1I1/OR4D10/OR8I2/OR8K1/OR2M2/OR5T2/OR10H4/OR7G3/OR10S1/OR2V1/OR56A5/OR10H3/OR8D4/OR4P4/OR52I1/OR11A1/OR2J1/OR2H2/OR4X2/OR52A5/OR1D5/OR2B2/OR5T1/OR52B6/OR4C6/OR52K2/OR52N2/OR13C8/OR52L1/OR7G2/OR1G1/OR4A47/OR2A4/OR13F1/OR51A4/OR2T3/OR5T3/OR6C1/OR5AC2/OR6V1/OR52N5/OR5L1/OR6S1/OR5AR1/OR2AP1/OR2T29/OR5B3/OR4X1/OR52J3/OR10G4/OR5B12/OR2G3/OR6C68/OR5M10/OR7E24/OR10H2/OR51F2/OR10C1/OR6C65/OR8U1/OR4B1/OR4F6/OR10A4/OR6T1/OR2T8/OR14K1/OR13H1/OR4C5/OR8G5/OR4D5/OR10G3/OR4F17/OR4S1/OR10T2/OR5J2/OR52H1/OR13J1/OR2T35/OR2G2/OR6X1/OR2M5/OR7G1/OR1S1/OR9Q1/OR2B6/OR5AK2/OR6Q1/OR52E6/OR1M1/OR4D6/OR5H6/OR5M8/OR2M7/OR2C1/OR10G6/OR5K4/OR1L1/OR4A15/OR5L2/OR1A2/OR2A2/OR52D1/OR1N1/OR2L8/OR52M1/OR5W2/OR13D1/OR6K2/OR51B6/OR10AD1/OR8H3/OR10G2/OR11H1/OR13C3/OR13C4/OR5B17/OR4F5/OR4A16/OR6M1/OR1J4/OR10V1/OR51B2/OR2AK2/OR56B1/OR4K15/OR10X1/OR5I1/OR56B2P/OR10A7/OR11H12/OR5H15/OR14A2/OR8S1/OR7C2/OR4C12/OR2D2/OR14C36/OR51I1/OR51V1/OR1Q1/OR1L4/OR5D18/OR4F4/OR8B2/OR6C74/OR1J2/OR7A5/OR2W1/OR11H2/OR5K2/OR52R1/OR4D11/OR10G9/OR13C2/OR5D14/OR10W1/OR5P2/OR5D16/OR4C13/OR13C9/OR2S2/OR2B3/OR1L6/OR1K1/OR11L1/OR2L5/OR1L3/OR5D13/OR10A5/OR4A5/OR8K5/OR52B2/OR6C76/OR2T34/OR10P1/OR6B3/OR51B4/OR10J5/OR52W1/OR11H6/OR3A1/OR52B4/OR1J1/OR1F1/OR51G1/OR5C1/OR4C46,357
GO:0007608,sensory perception of smell,368/5886,456/18870,3.7489047362270864e-108,7.689003614001754e-105,6.167934844971511e-105,OR4K2/OR1C1/OR2F1/OR51L1/OR51A7/OR6Y1/OR2AG1/OR6F1/OR2B11/OR4K13/OR52E4/OR12D3/OR8D1/SYT10/OR4K17/OR52K1/OR10K1/OR6J1/OR9G1/OR4C3/OR9Q2/OR6K3/OR10A2/OR10AG1/OR4N5/OR52I2/OR56A1/OR2A14/OR6B1/OR2V2/OR2T12/OR8B12/OR4D9/OR56A3/OR14J1/OR8B8/OR2T1/OR5A1/OR2H1/OR4M1/OR8A1/OR4N2/OR52A1/OR6P1/OR8J3/OR7C1/OR2I1P/OR9I1/OR11G2/OR2T6/OR5AN1/OR10Z1/OR56A4/OR2G6/OR51S1/OR4D1/OR13G1/OR10A3/OR5B2/OR51E2/OR2J3/OR4L1/NXNL2/OR8B3/OR51M1/OR2AG2/OR9G4/OR6N1/OR2AJ1/CNGA2/OR4Q3/OR8D2/OR5H14/OR4K1/OR52E5/OR1S2/OR2C3/OR4S2/OR2A12/OR7A10/OR1N2/OR5M1/OR6C75/OR8H2/OR2T27/OR2AT4/OR2D3/OR2A25/OR5A2/OR2T33/OR2L2/OR51I2/OR4K14/OR1A1/OR10D3/OR6A2/OR4E1/OR8J1/OR13A1/CNGB1/OR6C70/OR8G1/OR12D2/OR10H1/OR52E8/OR2Z1/OR51F1/OR4C11/OR2A42/OR2Y1/OR4E2/OR8B4/BEST2/OR10R2/OR1D2/OR10A6/OR5V1/OR2L3/OR2M3/OR1L8/OR5AU1/OR2A5/OR14A16/OR2L13/OR2J2/OR10J1/OR2A7/OR6C4/OR5H1/OR9K2/CNGA4/OR10G7/OR5H2/OR51Q1/OR5AS1/OR4C15/OR7A17/OR10K2/OR51D1/OR4D2/OR6C3/OR4C16/OR2A1/OR5K3/OR2T4/OR7D4/OR56B4/OR4K5/OR51G2/OR2T2/OR52N1/OR5M3/OR51T1/OR4F15/OR10H5/OR6C6/OR2T11/OR2T10/OR5AP2/OR10G8/OR5F1/OR52E2/OR5K1/OR9A4/OR5P3/OR6C2/OR6N2/OR6K6/UGT2A1/OR51B5/OR2M4/OR2F2/OR8K3/OR11H4/OR3A3/OR8H1/OR1I1/OR4D10/OR8I2/OR8K1/OR2M2/OR5T2/OR10H4/OR7G3/OR10S1/OR2V1/OR56A5/GFY/OR10H3/OR8D4/OR4P4/OR52I1/OR11A1/OR2J1/OR2H2/OR4X2/OR52A5/OR1D5/GJB4/OR2B2/OR5T1/OR52B6/OR4C6/OR52K2/OR52N2/OR13C8/OR52L1/OR7G2/OR1G1/OR4A47/OR2A4/OR13F1/OR51A4/OR2T3/OR5T3/OR6C1/OR5AC2/OR6V1/OR52N5/OR5L1/OR6S1/OR5AR1/OR2AP1/OR2T29/OR5B3/OR4X1/OR52J3/OR10G4/OR5B12/OR2G3/OR6C68/OR5M10/OR7E24/OR10H2/OR51F2/OR10C1/OR6C65/OR8U1/OR4B1/OR4F6/OR10A4/OR6T1/SLC6A3/OR2T8/OR14K1/OR13H1/OR4C5/OR8G5/OR4D5/OR10G3/OR4F17/OR4S1/OR10T2/OR5J2/OR52H1/OR13J1/OR2T35/OR2G2/OR6X1/OR2M5/OR7G1/OR1S1/OR9Q1/OR2B6/OR5AK2/OR6Q1/OR52E6/OR1M1/OR4D6/OR5H6/OR5M8/OR2M7/OR2C1/OR10G6/OR5K4/OR1L1/OR4A15/OR5L2/OR1A2/OR2A2/OR52D1/OR1N1/OR2L8/OR52M1/OR5W2/OR13D1/OR6K2/OR51B6/OR10AD1/OR8H3/OR10G2/OR11H1/OR13C3/OR13C4/OR5B17/OR4F5/OR4A16/OR6M1/OR1J4/OR10V1/OR51B2/OR2AK2/OR56B1/OR4K15/OR10X1/OR5I1/OR56B2P/OR10A7/OR11H12/OR5H15/OR14A2/OR8S1/OR7C2/OR4C12/OR2D2/OR14C36/OR51I1/OR51V1/OR1Q1/OR1L4/OR5D18/OR4F4/OR8B2/OR6C74/OR1J2/OR7A5/OR2W1/OR11H2/OR5K2/OR52R1/OR4D11/OR10G9/OR13C2/OR5D14/OR10W1/OR5P2/OR5D16/OBP2A/OR4C13/OR13C9/OR2S2/OR2B3/OR1L6/OR1K1/OR11L1/OR2L5/OR1L3/OR5D13/OR10A5/OR4A5/OR8K5/OR52B2/OR6C76/OR2T34/OBP2B/OR10P1/OR6B3/OR51B4/OR10J5/OR52W1/OR11H6/OR3A1/OR52B4/OR1J1/OR1F1/OR51G1/OR5C1/OR4C46,368
GO:0006959,humoral immune response,175/5886,258/18870,5.1187992515770336e-34,7.873992948738372e-31,6.316328865959134e-31,IL7/GAPDH/BLNK/TRAF3IP2/TF/C4BPB/C7/POU2AF1/C6/SPRR2A/CD28/EXO1/DMBT1/SH2D1A/CR2/C4BPA/C9/GATA6/FCGR2B/CR1L/CFH/SEMG2/POU2F2/PGC/CXCL5/CCR2/CFHR2/MS4A1/C8B/CR1/BPIFA1/MUC7/IFNA21/COLEC10/IFNG/WFDC2/AZU1/BST1/CFB/NOD2/IL1B/CD5L/IFNA10/CCL2/SPINK5/CXCL8/CCR7/NCR3LG1/MBL2/SEMG1/GPR183/ZP4/WFDC5/H2BC7/CXCL11/IL6/FCER2/IFNA2/C8A/WFDC13/REG3A/IFNA7/CFHR3/HRG/CXCL1/IL36RN/FGA/DEFB126/TNF/CLU/FGB/CFHR1/LYZ/KLK3/MASP2/WFDC10A/CXCL3/PRSS2/REG1A/IL17F/IFNK/CFHR4/IFNE/KRT1/KLK7/CXCL6/CFHR5/CXCL13/EVPL/IL17A/SUSD4/PTPN6/IFNW1/C4A/RNASE6/IFNA16/RARRES2/SLPI/LTF/KRT6A/CFI/JCHAIN/AIRE/CTSG/H2BC10/PDCD1/ACOD1/IFNA17/IFNA13/PTPRC/S100A7/CST9/PGLYRP3/CCR6/VSIG4/PI3/PGLYRP4/KLK5/SPAG11A/C2/WFDC9/PLA2G1B/EBI3/WFDC12/C1QB/GALP/C1R/HPX/PRSS3/F2/REG3G/COLEC11/CAMP/TREM2/REG1B/IFNA5/CCL13/IFNB1/IFNA6/WFDC11/LTA/C1QA/IFNA1/ALOX5/IFNA14/DEFB118/SPAG11B/FOXJ1/CXCL10/H2BC8/DEFA3/DEFA5/FCN1/IFNA8/SLC11A1/DEFB1/PRTN3/S100A9/TREM1/CD83/RNASE3/WFDC3/CST9L/FCN2/WFDC10B/S100A12/RNASE7/IFNA4/DEFA6/PGLYRP1/DEFB127/ZP3/DEFB4A/DEFA4/CXCL2,175
GO:0042742,defense response to bacterium,191/5886,330/18870,5.544513996943843e-24,6.823078924639093e-21,5.473310764562038e-21,IL18/STAB2/TF/SPRR2A/STATH/GBP7/CD160/DMBT1/CLEC4D/CHGA/CASP1/UMOD/BPI/F2RL1/SCNN1B/P2RX7/GBP6/SEMG2/TNFSF8/HAVCR2/PGC/SYK/NLRP10/HP/MIAT/LPO/EPPIN/SLAMF8/GBP5/BPIFA1/NR1H4/IRF8/CRP/PRKCD/TLR2/IL23R/IL12B/FCGR1A/WFDC2/AZU1/HTN1/NOD2/IL1B/DEFB113/SPINK5/COLEC12/AICDA/IL10/NCR3LG1/MBL2/SEMG1/IRGM/SELP/DEFB112/CASP4/ADGRB1/WFDC5/H2BC7/FPR2/FCER1G/IL6/EMILIN2/WFDC13/GSDMA/NLRC4/CARD9/RNASE11/RAG2/LCN2/ZG16/FGA/DEFB129/DEFB126/TNF/FGB/LYZ/RNASE9/KLK3/IL12A/WFDC10A/TLR6/IL17F/HAMP/CD4/IFNE/KLK7/CXCL6/CXCL13/EVPL/EPX/IL17A/IL22RA1/EMILIN1/LYZL6/DEFB123/RNASE6/PYCARD/RARRES2/SLPI/IL7R/LTF/KRT6A/JCHAIN/LYG2/PRG2/CTSG/VGF/ACP5/H2BC10/PLAC8/DEFB133/DEFB110/RNASE10/SPN/DEFB132/PGLYRP3/PI3/PGLYRP4/DEFB125/CCL20/KLK5/DEFB128/SPAG11A/WFDC9/SERPINE1/PLA2G1B/NLRP6/WFDC12/IL23A/GALP/LYPD8/CLEC4E/KLRK1/F2/BPIFA2/PGLYRP2/REG3G/DEFB116/CAMP/TREM2/C5AR1/LBP/DEFB119/DEFB114/WFDC11/PRB3/SSC5D/NOS2/MPO/LALBA/LTA/DEFB108B/DEFB118/DEFB121/SPAG11B/PLA2G2A/H2BC8/DEFA3/DEFA5/RNASE8/DEFB104A/SLC11A1/SFTPD/DEFB1/S100A9/DCD/TREM1/HTN3/RNASE3/WFDC3/FCN2/S100A14/CST11/WFDC10B/S100A12/RNASE13/RNASE7/DEFB115/DEFB134/LACRT/DEFA6/GSDMC/S100A8/PGLYRP1/DEFB127/DEFB136/NFKBIZ/DEFB4A/DEFA4/DEFB135/DEFB105A,191
GO:0031424,keratinization,70/5886,83/18870,1.3486680245103963e-23,1.3830590591354114e-20,1.1094569064788155e-20,CERS3/KRT80/LIPN/ABCA12/CYP26B1/LIPM/KRT3/SPRR2D/KRT76/KRT79/KRT2/KRT77/CDSN/KRT73/SPRR2E/KRT7/CASP14/CDH3/HRNR/KRT72/KRT5/IL1A/KRT1/EVPL/KRT74/KRT6B/SPRR2G/KRT85/LCE5A/LIPK/TCHH/KRT6A/KRT83/KRT16/KRT6C/LCE2B/SPRR2F/KRT4/SPRR3/KRTAP6-1/KRT82/KLK5/KRT86/KRT17/LCE1B/KRT84/SPRR4/KRT78/KRT75/IVL/KRTAP6-3/KRT81/LCE2A/LCE1E/KRT71/LCE6A/LORICRIN/LCE2D/SFN/LCE1C/SPRR2B/SPRR1B/LCE3D/KRTAP6-2/LCE3E/LCE2C/SPRR1A/LCE4A/CNFN/LCE1A,70
GO:0045109,intermediate filament organization,63/5886,73/18870,1.7396901960812283e-22,1.4855375599802545e-19,1.1916627094609242e-19,KRT80/DSP/NEFL/PKP2/KRT3/KRT76/KRT40/KRT79/KRT2/BFSP1/SHH/KRT77/KRT28/KRT73/KRT39/KRT7/BFSP2/KRT23/KRT13/KRT72/KRT5/KRT38/KRT25/GFAP/VIM/KRT15/KRT26/INA/NEFH/KRT1/KRT74/KRT6B/KRT20/KRT85/KRT9/KRT27/KRT34/TCHH/KRT6A/KRT83/KRT12/KRT16/KRT6C/KRT4/KRT33B/KRT32/KRT14/KRT82/KRT86/KRT17/KRT84/KRT36/KRT24/KRT78/KRT75/KRT81/NEFM/KRT71/EPPK1/KRT37/KRT35/KRT33A/KRT19,63
GO:0007218,neuropeptide signaling pathway,84/5886,110/18870,1.9314644043299263e-22,1.4855375599802545e-19,1.1916627094609242e-19,CYSLTR1/SORCS3/CYSLTR2/OPRK1/NTS/BRS3/TAC1/SCG5/PENK/GPR143/NMU/SSTR2/GLRA2/OPRM1/NXPH2/NPFFR2/QRFPR/SORCS2/PDYN/UTS2R/NPY5R/GALR1/MCHR2/GLRA1/NPBWR1/HCRTR2/GPR139/NPFFR1/PRLHR/TYRO3/GRP/NTSR1/PMCH/NTSR2/GRPR/PNOC/NMUR2/NPY2R/TAC3/AGRP/NPVF/PROKR1/GPR149/ADCYAP1/NMB/CALCA/PROKR2/GAL/NPSR1/NPS/SSTR3/GPR151/OPRL1/GALP/GPR84/SORCS1/MC2R/NPY/GALR2/ECEL1/SORL1/NXPH4/HCRT/NPPA/MCHR1/NMUR1/GPR171/RXFP4/KISS1R/SSTR4/NPBWR2/PTH2/NMS/NMBR/NPY4R2/SSTR5/QRFP/PCSK1N/OPRD1/PROK2/PPY/RXFP3/PYY/CARTPT,84
GO:0008544,epidermis development,204/5886,385/18870,2.752593715781592e-19,1.8818565703560148e-16,1.5095803430760098e-16,EXPH5/CERS3/EREG/KRT80/DSP/TMC1/IL18/FGF7/GRHL1/LAMA3/USH2A/CLDN4/FGFR2/HPSE/GSDME/PAX6/MYCL/WHRN/LIPN/ST14/PITX2/FGF2/ABCA12/IRF6/ZBED2/CYP26B1/SCEL/CSTA/EDA2R/GATA6/LIPM/SLITRK6/PDZD7/KRT3/BCL11B/SLC44A4/SPRR2D/COL17A1/KRT76/TMPRSS11F/FLG/KRT79/ESRP1/FST/WNT16/KRT2/CLRN1/TMEM132E/DSG4/BNC1/GRHL2/SHH/KRT77/WNT10A/CDSN/KRT28/ALOXE3/FLG2/KRT73/ERRFI1/TGM5/SPRR2E/SPINK5/CCN2/KRT7/FGF20/CASP14/SPINT1/GRHL3/CYP27B1/POU3F2/CDH3/LHFPL5/WNT10B/DKK4/HRNR/KRT72/KRT5/INHBA/MAFF/REG3A/CDKN1A/CD109/IL1A/TNF/KRT25/EDAR/DCT/FERMT1/KRT15/CLRN2/MANSC4/ANXA1/LHX2/GRXCR1/FOXI3/POU4F3/SLC39A2/KRT1/KLK7/EVPL/IL17A/KRT74/KRT6B/VDR/SPRR2G/DKK1/SOSTDC1/ALOX12B/HOXC13/KRT85/KLK14/IL20/KRT9/KRT27/LCE5A/KRT34/LIPK/TCHH/KRT6A/KRT83/SNAI1/STRC/GAL/USH1C/KRT16/KRT6C/LCE2B/SPRR2F/OVOL2/GRXCR2/PLS1/KRT4/POU2F3/ZNF750/ALOX15B/S100A7/KRT32/KRT14/DLX3/SPRR3/LAMC2/KRTAP6-1/KRT82/KLK5/KRT86/EMP1/SOX21/HOXB13/WAS/SULT2B1/KRT17/LCE1B/GJB5/KRT84/REG3G/KRT36/SPRR4/KRT78/KRT75/PTHLH/GDF3/IVL/ACER1/CST6/CRABP2/KRTAP6-3/RBP2/FOXN1/KRT81/KRTDAP/NGFR/LCE2A/LCE1E/KRT71/LCE6A/FA2H/ATOH1/LORICRIN/PLA2G10/LCE2D/SFN/LCE1C/SPRR2B/OVOL1/KDF1/ALOX12/SFRP4/SPRR1B/LCE3D/KRTAP6-2/FOXQ1/FOXE1/LCE3E/ZFP36/LCE2C/NFKBIZ/SPRR1A/LCE4A/CNFN/ETV4/LCE1A/OVOL3/CALML5,204
GO:0009913,epidermal cell differentiation,142/5886,245/18870,3.014169439882855e-18,1.8546184563599205e-15,1.4877305793274427e-15,EXPH5/CERS3/EREG/KRT80/DSP/TMC1/GRHL1/USH2A/GSDME/PAX6/MYCL/WHRN/LIPN/ST14/PITX2/FGF2/ABCA12/IRF6/ZBED2/CYP26B1/SCEL/CSTA/GATA6/LIPM/SLITRK6/PDZD7/KRT3/BCL11B/SLC44A4/SPRR2D/KRT76/FLG/KRT79/ESRP1/WNT16/KRT2/CLRN1/TMEM132E/DSG4/GRHL2/KRT77/CDSN/KRT73/ERRFI1/SPRR2E/SPINK5/KRT7/FGF20/CASP14/CYP27B1/CDH3/LHFPL5/HRNR/KRT72/KRT5/MAFF/REG3A/CDKN1A/CD109/IL1A/CLRN2/ANXA1/GRXCR1/FOXI3/POU4F3/SLC39A2/KRT1/EVPL/IL17A/KRT74/KRT6B/VDR/SPRR2G/KRT85/IL20/LCE5A/LIPK/TCHH/KRT6A/KRT83/STRC/USH1C/KRT16/KRT6C/LCE2B/SPRR2F/OVOL2/GRXCR2/PLS1/KRT4/POU2F3/ALOX15B/S100A7/KRT14/DLX3/SPRR3/KRTAP6-1/KRT82/KLK5/KRT86/SULT2B1/KRT17/LCE1B/KRT84/REG3G/KRT36/SPRR4/KRT78/KRT75/GDF3/IVL/ACER1/KRTAP6-3/FOXN1/KRT81/LCE2A/LCE1E/KRT71/LCE6A/FA2H/ATOH1/LORICRIN/LCE2D/SFN/LCE1C/SPRR2B/OVOL1/KDF1/SFRP4/SPRR1B/LCE3D/KRTAP6-2/LCE3E/ZFP36/LCE2C/NFKBIZ/SPRR1A/LCE4A/CNFN/ETV4/LCE1A/OVOL3,142
