ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0005882,intermediate filament,170/6459,214/19886,1.1717102427737391e-45,7.920761241150476e-43,6.5245759834453475e-43,BFSP1/KRTAP21-1/GFAP/DLGAP2/KRTAP19-1/CASP14/KRT82/LMNB1/SHANK2/KRT28/KRT3/KRTAP4-5/KRT23/KRT73/NEFH/KRT40/KRT83/KRT39/KRTAP21-2/KRT27/KRT5/NEFL/MNS1/KRT79/KRTAP8-1/UPP2/KRTAP4-11/KRT16/KRT15/KRT74/INA/KRT77/BFSP2/KRTAP17-1/SCYGR4/KRT8/KRT222/KRT14/KRT7/KRTAP4-1/KRTAP9-7/LMNTD1/KRT25/KRTAP20-3/KRT76/KRTAP11-1/KRTAP7-1/KRT6B/KRTAP24-1/KRTAP19-4/KRTAP13-3/EVPL/KRT24/KRT4/KRT1/KRT72/KRT20/KRT33B/KRT34/KRT12/KRT36/KRTAP1-1/KRTAP19-3/KRTAP25-1/KRT6C/KRT2/KRT6A/KRT75/KRTAP2-3/KRT38/KRT9/KRT26/KRT86/KRTAP6-3/KRTAP4-2/KRT85/DSP/KRTAP26-1/KRT13/KRTAP20-1/KRTAP3-1/KRTAP19-7/KRTAP19-6/KRT32/KRT78/KRTAP19-2/KRTAP22-1/KRT33A/KRTAP5-10/KRTAP4-3/KRTAP10-2/KRTAP19-5/KRTAP20-2/KRT71/KRTAP5-3/KRTAP9-9/KRTAP1-5/KRT37/PRPH/KRTAP1-3/KRT18/KRT17/KRT81/KRTAP5-4/KRTAP29-1/KRTAP13-2/KRT84/KRTAP5-1/KRTAP19-8/KRT35/KRTAP5-2/SCYGR5/KRTAP13-1/KRTAP5-7/KRTAP4-6/KRTAP5-5/SCYGR7/LMNTD2/KRTAP16-1/KRTAP5-11/KRTAP10-5/KRTAP2-4/SCYGR1/KRTAP6-2/KRTAP22-2/KRTAP10-9/KRTAP3-2/KRTAP9-8/KRTAP3-3/KRTAP13-4/KRTAP10-6/KRTAP2-1/SCYGR8/KRTAP4-8/KRTAP9-3/KRTAP9-4/NEFM/KRTAP10-12/KRTAP9-2/KRTAP27-1/KRTAP12-3/KRTAP9-1/KRTAP4-9/KRTAP12-2/ADORA2A/SCYGR6/KRTAP10-3/KRTAP6-1/KRTAP21-3/EPPK1/KRTAP5-8/KRTAP10-4/KRTAP5-6/KRTAP10-11/SCYGR3/KRTAP4-12/KRTAP4-16/KRTAP10-1/KRTAP15-1/FAM83H/KRTAP9-6/KRTAP1-4/KRTAP4-4/KRTAP10-8/KRTAP20-4/KRTAP12-1/SCYGR2/KRT19/KRTAP23-1/KRTAP10-7,170
GO:0045111,intermediate filament cytoskeleton,178/6459,250/19886,2.168398554491824e-36,7.329187114182365e-34,6.037278080664079e-34,RAD51/BFSP1/KRTAP21-1/GFAP/DLGAP2/KRTAP19-1/CASP14/KRT82/LMNB1/SHANK2/KRT28/KRT3/KRTAP4-5/KRT23/KRT73/NEFH/KRT40/KRT83/KRT39/KRTAP21-2/KRT27/SLC1A6/KRT5/NEFL/MNS1/KRT79/KRTAP8-1/UPP2/KRTAP4-11/KRT16/KRT15/PADI6/KRT74/INA/KRT77/BFSP2/KRTAP17-1/SCYGR4/KRT8/KRT222/KRT14/KRT7/KRTAP4-1/KRTAP9-7/LMNTD1/KRT25/KRTAP20-3/SYCE1L/KRT76/KRTAP11-1/KRTAP7-1/KRT6B/KRTAP24-1/KRTAP19-4/KRTAP13-3/EVPL/KRT24/KRT4/KRT1/KRT72/KRT20/KRT33B/KRT34/KRT12/CARMIL2/KRT36/KRTAP1-1/KRTAP19-3/KRTAP25-1/KRT6C/KRT2/KRT6A/KRT75/KRTAP2-3/HOXA13/KRT38/KRT9/KRT26/KRT86/KRTAP6-3/KRTAP4-2/KRT85/DSP/KRTAP26-1/KRT13/KRTAP20-1/KRTAP3-1/KRTAP19-7/KRTAP19-6/KRT32/KRT78/KRTAP19-2/KRTAP22-1/KRT33A/KRTAP5-10/KRTAP4-3/KRTAP10-2/KRTAP19-5/KRTAP20-2/KRT71/KRTAP5-3/NR1I2/S100A8/KRTAP9-9/KRTAP1-5/KRT37/PRPH/KRTAP1-3/KRT18/KRT17/KRT81/KRTAP5-4/KRTAP29-1/KRTAP13-2/KRT84/KRTAP5-1/KRTAP19-8/KRT35/KRTAP5-2/SCYGR5/KRTAP13-1/KRTAP5-7/KRTAP4-6/KRTAP5-5/SCYGR7/LMNTD2/KRTAP16-1/KRTAP5-11/KRTAP10-5/KRTAP2-4/SCYGR1/KRTAP6-2/KRTAP22-2/KRTAP10-9/KRTAP3-2/KRTAP9-8/KRTAP3-3/KRTAP13-4/KRTAP10-6/KRTAP2-1/SCYGR8/KRTAP4-8/KRTAP9-3/KRTAP9-4/NEFM/KRTAP10-12/KRTAP9-2/KRTAP27-1/KRTAP12-3/KRTAP9-1/KRTAP4-9/KRTAP12-2/ADORA2A/SCYGR6/KRTAP10-3/KRTAP6-1/KRTAP21-3/EPPK1/KRTAP5-8/KRTAP10-4/KRTAP5-6/KRTAP10-11/SCYGR3/KRTAP4-12/KRTAP4-16/KRTAP10-1/KRTAP15-1/FAM83H/KRTAP9-6/KRTAP1-4/KRTAP4-4/KRTAP10-8/KRTAP20-4/KRTAP12-1/SCYGR2/KRT19/KRTAP23-1/KRTAP10-7,178
GO:0045095,keratin filament,89/6459,97/19886,1.528988224668538e-34,3.445320132919772e-32,2.8380167398233574e-32,CASP14/KRT82/KRT3/KRTAP4-5/KRT73/KRT83/KRT5/KRT79/KRTAP4-11/KRT16/KRT74/KRT77/KRT8/KRT14/KRT7/KRTAP4-1/KRTAP9-7/KRT25/KRT76/KRTAP11-1/KRT6B/KRTAP24-1/KRT4/KRT1/KRT72/KRT36/KRTAP1-1/KRTAP25-1/KRT6C/KRT2/KRT6A/KRT75/KRTAP2-3/KRT9/KRT86/KRTAP4-2/KRT85/KRTAP26-1/KRT13/KRTAP3-1/KRT78/KRTAP4-3/KRTAP10-2/KRT71/KRTAP9-9/KRTAP1-5/KRTAP1-3/KRT18/KRT17/KRT81/KRTAP5-4/KRTAP29-1/KRT84/KRTAP5-2/KRTAP4-6/KRTAP16-1/KRTAP5-11/KRTAP10-5/KRTAP2-4/KRTAP10-9/KRTAP3-2/KRTAP9-8/KRTAP3-3/KRTAP10-6/KRTAP2-1/KRTAP4-8/KRTAP9-3/KRTAP9-4/KRTAP10-12/KRTAP9-2/KRTAP27-1/KRTAP12-3/KRTAP9-1/KRTAP4-9/KRTAP12-2/KRTAP10-3/EPPK1/KRTAP10-4/KRTAP10-11/KRTAP4-12/KRTAP4-16/KRTAP10-1/FAM83H/KRTAP9-6/KRTAP1-4/KRTAP4-4/KRTAP10-8/KRTAP12-1/KRTAP10-7,89
GO:0062023,collagen-containing extracellular matrix,234/6459,429/19886,1.508068321915796e-21,2.548635464037695e-19,2.0993898481406742e-19,PZP/USH2A/HAPLN1/PTPRZ1/FGFR2/TGM4/ANXA8/LAMB4/COL9A1/EYS/FGL1/LAMC2/ICAM1/TINAG/NCAN/ANXA9/ZG16/IMPG2/CDH2/APLP1/COL23A1/AMTN/HPX/GPC2/ADAMTS20/ADAMTS4/MUC17/GPC5/F2/AMBP/LAMA1/COL9A2/COL9A3/ITIH2/HAPLN3/IL7/BCAN/FGA/NPPA/PRG2/F12/COL17A1/SERPINF1/HRNR/SERPINB1/ITIH1/FLG/CLC/TNN/SHH/ORM1/FCN2/COL6A5/RTBDN/SPP2/HRG/IGFBPL1/COL20A1/FGB/COL2A1/IMPG1/RELL2/S100A7/ZP2/ZP1/KNG1/SERPINB8/MUC2/PLG/LAMC3/FBN2/AMELX/WNT8A/MATN3/MMP8/APOH/HMCN2/ADAM11/COL26A1/LAMB2/KRT1/OTOL1/IFNA2/ZP4/PRG3/APOC3/RBP3/VWC2/APOA4/FREM3/MARCOL/PRSS1/SERPINA3/ADAMTS9/EGFL7/MATN1/P3H2/ADAMDEC1/AHSG/WNT2/FGG/TNXB/SERPINE1/FIBCD1/BMP7/LTBP4/NDP/TNR/ANGPTL3/FBLN2/ADAMTS3/ANGPTL5/LMAN1L/SOST/S100A8/SERPINB12/COL15A1/S100A9/FCN1/CXCL12/SERPINA1/APCS/SERPINB9/COL3A1/F7/COL11A2/LGALS3BP/SERPINC1/EFEMP2/WNT2B/COL1A1/HSPG2/APOA1/F9/PRTN3/CFP/ADAMTS1/COL1A2/ORM2/AMELY/HAPLN2/SPARC/DCN/FGFBP3/ANGPTL6/ZP3/VTN/DPT/TGM2/LUM/CLEC3B/FBN1/SSC5D/ANGPT4/COL22A1/FCN3/CCDC80/COL4A6/ECM1/LAMB3/CBLN1/MATN4/MARCO/ANGPTL2/EGFL6/HAPLN4/MFAP4/TNC/MFAP5/CILP/COCH/WNT5B/VWA2/CCN1/COL6A1/SERPINF2/COL6A2/ITIH4/HTRA1/COL5A1/THBS3/COL6A3/MMP2/AGT/TIMP2/SMOC2/PCOLCE/MXRA5/ASPN/ECM2/SNORC/TPSAB1/PKM/ACAN/THBS1/GDF15/EFEMP1/ABI3BP/FBLN1/SEMA7A/ADAMTS8/SFRP2/S100A4/MGP/CLU/COL14A1/PODN/HMCN1/FN1/TPSB2/COL11A1/GH1/PF4/SFRP1/BGN/SBSPON/COL5A2/KAZALD1/C1QC/ELANE/CTSG/SERPINA5/OGN/ADAMTS2/COL25A1/SLPI/INHBE/COL24A1/ELN/GDF10/AZGP1/THBS4/LAD1/FMOD,234
GO:0009897,external side of plasma membrane,213/6459,387/19886,2.3736816900067022e-20,3.209217644889061e-18,2.6435318189758857e-18,SLAMF1/IL5RA/ENPP3/ADGRE1/CHRNA7/PKHD1/FOLR3/TFR2/ASTN1/ABCB1/CHRNB2/EPHA5/LCT/BTNL3/IL12RB1/TMC1/VTCN1/CD1D/CLEC4D/BTNL8/CLEC4C/THBD/ASGR2/CD200R1L/SCNN1A/FASLG/GRIA2/ICAM1/CD244/KLRC1/ITGAD/CD1A/ULBP3/MUC16/SLC22A11/GFRAL/PCSK9/CLEC17A/BTN1A1/STAB2/CD80/LRP2/MUC17/IL23R/MPL/F2/COLEC10/CLEC12B/SLAMF9/TRPM8/PLET1/UMODL1/CCR9/MOG/FGA/HLA-G/SCNN1G/ADAM29/DNAI2/TNF/RAET1L/CD1E/GLRA1/CEACAM21/ULBP1/ULBP2/FCN2/IL13/RTBDN/GP2/HHLA2/FGB/ADAM21/SELL/LY9/FCGR1A/MBL2/CXCR5/RAET1E/CHRNA4/PLG/CXCR1/MS4A1/CCR6/CLEC4E/CXCR6/CTLA4/IL12B/CD1C/TNFRSF9/CD19/LDLR/FGF8/CLEC6A/CXCR2/CD79A/CCR8/CD1B/CD27/FCRL6/CD226/RAET1G/NRCAM/ITGA2B/SPA17/TNFRSF11A/CCR2/RS1/CLEC4M/KLRD1/ABCG2/BTNL2/CD22/CD3G/IL13RA2/CD163L1/FOLR1/CSF3R/FGG/GP1BA/COLEC11/KCNJ3/CD3D/GFRA4/ADAM30/LILRB1/ASGR1/IL1RL1/IGSF21/IZUMO1R/IL17A/PLAUR/CCR7/PRLR/LY6G6C/BTN2A2/CCRL2/CUBN/TAS2R16/FCN1/SCNN1B/CXCL12/SELE/KLRK1/IL31RA/CD28/TLR8/CD86/IL2RA/OSMR/P2RX1/CCR5/KLRC2/CCR4/SLAMF7/IL4R/CXCL10/ITGAL/SCUBE1/CD248/CD3E/EBI3/MS4A2/PLAU/ST14/FCN3/LAG3/LY75/CD40LG/ITGB6/CD5/ITGAX/CSF2RB/CD33/TNFRSF13C/ITGA11/GFRA3/ITGA4/SLAMF6/VCAM1/CD83/PTPRC/CD8A/ALCAM/CNTFR/KLRC3/XCR1/SELP/CD79B/THBS1/FCER2/CD69/SEMA7A/IL7R/ACKR4/CD207/ACKR2/CLEC4A/TNFRSF18/TNFRSF4/FCGR3A/ITGA10/ITGA2/IL21R/SDC1/CTSK/SERPINA5/THY1/LY6G6D/KLRC4-KLRK1/AZGP1/PDCD1/KLRC4,213
GO:0034702,monoatomic ion channel complex,174/6459,300/19886,5.2408726202822515e-20,5.904716485518004e-18,4.863897572156686e-18,SCN8A/CACNA1A/CNGA3/CHRNA7/GRIK4/SCN11A/GABRA2/KCNG3/CHRNB2/CACNA1D/PKD1L3/CATSPERB/GABRB3/KCNQ3/TRPC3/CNIH3/TRPC4/KCNG1/KCNN1/CHRNB4/SCN2A/SHISA9/CHRNB3/SCNN1A/KCNG4/GRIA2/GABRB2/SCN3A/PKD2L1/RYR2/GRIN2A/KCNMB2/DPP6/HTR3B/GRID2/HTR3E/BEST1/SLC17A8/GRIN2B/CNTNAP2/DPP10/KCNIP1/CATSPER1/CATSPERG/GABRG3/UNC80/CNGA4/CACNA1F/KCNH1/GRIN3A/KCNH4/CHRNA6/GABRP/KCNJ6/HCN4/GABRR3/GLRA3/GRIA4/KCNS1/KCNIP4/CLCNKA/CNGB3/KCNE1/GABRG2/TRPC7/HTR3A/KCNV1/GABRA5/CATSPER4/GLRA2/SCNN1G/CACNG2/KCNQ2/OLFM3/VWC2L/CHRNA9/TTYH1/KCNK1/SCN1A/GABRR1/GLRA1/KCNC1/CHRNA2/HTR3C/KCNA4/CATSPERD/TRPC5/GABRQ/CLCNKB/CFTR/GABRA1/SHISA7/C2CD6/TRPV6/CLDN17/GRIK3/CHRNA4/BEST2/GABRA4/GRIA1/GRIK1/GABRG1/CACNA2D4/GABRB1/CACNG5/CACNA1E/GABRA6/KCNS2/CACNB4/CACNG8/SCN10A/CNGB1/KCNMB1/CNGA2/GRIK5/CACNA1G/SLC17A6/CHRNA3/KCNV2/HTR3D/CACNG7/GABRD/VWC2/CACNG3/KCNAB3/BEST4/TMEM262/CACNA1I/GRIN1/KCNB2/GABRA3/TRPC6/CLCN2/KCNJ3/CPT1C/KCNN4/CATSPERE/KCNAB1/KCNA10/CACNA1B/SCNN1B/KCNC2/KCNJ16/FKBP1B/CNIH2/GRIN2C/EFCAB9/KCNJ4/CLDN4/LRRC55/KCNJ14/CACNG4/GRIA3/KCNG2/GRIK2/GRIN3B/SCN4B/KCNE2/LRRC8E/LRRC38/KCNK4/HCN2/KCNF1/KCNK2/PDE4B/KCNA3/GRIN2D/KCNH2/CATSPERZ/SHISA8/CHRNE/TMEM249/LRRC26/KCNA1,174
GO:0031514,motile cilium,158/6459,271/19886,1.3628163219759243e-18,1.3160911909367496e-16,1.0841050140229533e-16,FBXL13/CCDC38/ADCY10/DNAH5/DNAH6/TTLL9/MAK/CFAP91/DNAH7/AK7/CFAP52/DNAH10/DNAH14/ROPN1L/SPEF2/NME8/CFAP43/CATSPERB/AK8/RSPH4A/DNAH2/SPAG17/CFAP65/TEKT3/SPAG6/DNAH9/HAVCR1/SPATA6L/DNAH8/SLC9B1/DNAJB13/RSPH1/SCNN1A/SAXO1/IQCD/DNAH17/CFAP45/CFAP221/ROPN1B/SLC26A8/CABYR/MROH2B/DNAI1/IQCA1/SLC26A3/TCP11/CFAP73/CATSPER1/CATSPERG/SPACA3/DCDC2C/TSGA10/DRC1/DRC7/DNAI4/SPAG4/ADGB/MNS1/PGK2/USP26/RSPH6A/CFAP161/LYZL4/CABCOCO1/ENO4/KIF9/CFAP251/CATSPER4/RSPH14/SLC9B2/PMFBP1/ENKUR/TTC29/CCDC34/DNAI2/ROPN1/SEPTIN12/DAW1/SUN5/CFAP74/TSSK4/CCDC172/CATSPERD/CFAP300/SPEF1/SPATA19/PPP3R2/C2CD6/TEKT1/IQUB/TEKT2/CCR6/FSCB/RHO/CFAP99/SLC25A31/KLC3/CFAP100/SLC22A14/LDHC/TTLL8/CFAP47/MORN5/TBC1D21/CCDC181/CFAP206/DYDC1/DRD2/ATP1A4/LYZL6/SPA17/TMEM262/GK2/CCDC65/AKAP4/ODF1/CABS1/TEKT5/RSPH9/IL4I1/RPGR/CFAP58/CATSPERE/FSIP2/AK1/NME5/IQCG/AKAP3/CST11/ACTL7A/TEKT4/ARL13B/EFCAB9/SSX1/CT55/CAMSAP3/SPATA33/TCTE1/OXCT2/DNAH3/TACR3/ATP1B3/PGAM4/CCDC103/DRC3/TACR2/ATP1A1/WBP2NL/SLC9C1/TSSK1B/SAXO2/DNAH11/CATSPERZ/CFAP61/DEFB1/TACR1/SPACA5/TMEM249,158
GO:0097729,9+2 motile cilium,114/6459,182/19886,5.490728962659525e-17,4.639665973447298e-15,3.8218363437459065e-15,CCDC38/DNAH5/DNAH6/DNAH7/CFAP52/DNAH10/DNAH14/SPEF2/NME8/CFAP43/CATSPERB/AK8/RSPH4A/DNAH2/CFAP65/TEKT3/SPAG6/DNAH9/SPATA6L/DNAH8/SLC9B1/DNAJB13/RSPH1/SCNN1A/SAXO1/DNAH17/CFAP45/CFAP221/SLC26A8/CABYR/MROH2B/DNAI1/SLC26A3/TCP11/CATSPER1/CATSPERG/SPACA3/DCDC2C/MNS1/PGK2/USP26/RSPH6A/LYZL4/CABCOCO1/ENO4/KIF9/CFAP251/CATSPER4/SLC9B2/PMFBP1/ENKUR/TTC29/CCDC34/DNAI2/SEPTIN12/SUN5/CFAP74/TSSK4/CCDC172/CATSPERD/SPEF1/SPATA19/PPP3R2/C2CD6/CCR6/FSCB/RHO/SLC22A14/TTLL8/CFAP47/MORN5/TBC1D21/CCDC181/DRD2/ATP1A4/LYZL6/SPA17/GK2/AKAP4/ODF1/CABS1/TEKT5/RSPH9/IL4I1/RPGR/CFAP58/CATSPERE/FSIP2/AK1/NME5/IQCG/AKAP3/CST11/TEKT4/EFCAB9/SSX1/CT55/SPATA33/TCTE1/DNAH3/TACR3/ATP1B3/PGAM4/DRC3/TACR2/ATP1A1/WBP2NL/SAXO2/DNAH11/CATSPERZ/DEFB1/TACR1/SPACA5/TMEM249,114
GO:0036126,sperm flagellum,100/6459,164/19886,5.4389572026021325e-14,4.085261187732269e-12,3.365155976814653e-12,CCDC38/SPEF2/NME8/CATSPERB/AK8/DNAH2/CFAP65/TEKT3/SPAG6/SPATA6L/DNAH8/SLC9B1/DNAJB13/RSPH1/SCNN1A/SAXO1/DNAH17/CFAP221/SLC26A8/CABYR/MROH2B/SLC26A3/TCP11/CATSPER1/CATSPERG/SPACA3/DCDC2C/MNS1/PGK2/USP26/RSPH6A/LYZL4/CABCOCO1/ENO4/KIF9/CFAP251/CATSPER4/SLC9B2/PMFBP1/ENKUR/TTC29/CCDC34/DNAI2/SEPTIN12/SUN5/CFAP74/TSSK4/CCDC172/CATSPERD/SPATA19/PPP3R2/C2CD6/CCR6/FSCB/RHO/SLC22A14/TTLL8/CFAP47/MORN5/TBC1D21/CCDC181/DRD2/ATP1A4/LYZL6/SPA17/GK2/AKAP4/ODF1/CABS1/TEKT5/RSPH9/IL4I1/RPGR/CFAP58/CATSPERE/FSIP2/AK1/NME5/IQCG/AKAP3/CST11/TEKT4/EFCAB9/SSX1/CT55/SPATA33/TCTE1/TACR3/ATP1B3/PGAM4/DRC3/TACR2/ATP1A1/WBP2NL/SAXO2/CATSPERZ/DEFB1/TACR1/SPACA5/TMEM249,100
GO:0097060,synaptic membrane,198/6459,393/19886,9.221533917585061e-14,6.233756928287501e-12,5.134938360423682e-12,SCN8A/SLC6A4/SLC4A8/CHRNA7/GRIK4/PTPRO/LRRC4C/CDH8/GABRA2/GRM1/NRXN1/RPH3A/GPR158/NSG1/CHRNB2/CNTN6/GPM6A/GABRB3/GABBR2/CNIH3/RIMS2/CNTNAP4/CHRNB4/SCN2A/SHISA9/CHRNB3/SHANK2/CNTN5/CHRM5/GRM7/GAD2/DNAJC6/PPFIA2/GSG1L/GRIP1/GRM5/GRIA2/GABRB2/GRIN2A/CHRM3/NLGN1/SORCS3/SYP/HTR5A/SLC5A7/HTR3B/GRID2/CNTN2/SYT1/GRIN2B/PTPRT/SNAP25/CNTNAP2/GRID2IP/SLC6A11/SHC4/GABRG3/ERC2/LRRTM1/SLC6A7/KCNH1/GRIN3A/CHRNA6/GABRP/SLC1A6/CDH9/GABRR3/SLITRK1/STX11/GLRA3/ARC/DCC/GRIA4/LRRTM3/KCTD16/UNC13A/GABRG2/HTR3A/GABRA5/CDH10/GLRA2/CACNG2/SLC6A5/CHRNA9/NETO1/KCNK1/GABRR1/GLRA1/KCNC1/CHRNA2/GPR179/NTNG1/ACP4/GHSR/GABRQ/GRM3/SLC6A3/DGKI/GABRA1/SHISA7/SNAP91/GRIK3/CHRNA4/GABRA4/GRIA1/GRIK1/CHRM1/HTR1B/STX19/GABRG1/TENM2/GABRB1/CACNG5/LHFPL4/ADAM11/GABRA6/SLC6A2/CHRM2/CACNG8/CSPG5/SCN10A/GRIK5/OTOF/CHRNA3/DRD1/SHANK1/CACNG7/GABRD/NRXN3/CACNG3/RIMS3/NRCAM/DRD2/NTNG2/DNM3/GRIN1/KCNJ9/FOSL1/SLITRK3/LRRTM2/GABRA3/KCNJ3/LRFN2/OPRK1/LRFN1/IGSF21/PCDH8/GRM2/ADCY8/PRKCG/KCNC2/SLC1A2/CNTN1/HTR2A/CNIH2/GRIN2C/IL31RA/IL1RAPL1/FBXO2/KCNJ4/ANK1/CNKSR2/TIAM1/RIMS1/P2RX1/ABHD17C/IQSEC3/SYNDIG1/CACNG4/GRIA3/ADORA3/LRFN5/LRRC4/GRID1/GRIK2/LRRC4B/CBLN1/GRIN3B/ATP2B3/ADORA2A/DGKB/ADORA1/SNCAIP/LPAR2/KCNA3/GRIN2D/LRRC7/NLGN4X/EPHB2/CHRM4/NLGN3/ADGRB3/EFNB3/CHRNG/SHISA8/CHRNE/SLC16A7/KCNA1,198
