category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Sensory system,hsa04740,Olfactory transduction,375/2970,454/9521,1.4377101490198744e-119,4.9601000141185666e-117,3.965053253086391e-117,SLC8A1/PRKG2/PDE1B/OR4K2/OR1C1/OR2F1/OR51L1/OR51A7/OR6Y1/OR2AG1/OR6F1/OR2B11/OR4K13/OR52E4/OR12D3/OR8D1/OR4K17/OR52K1/OR10K1/OR6J1/CNGA3/OR9G1/OR4C3/OR9Q2/OR6K3/OR10A2/OR10AG1/OR4N5/OR52I2/OR56A1/OR2A14/OR6B1/OR2V2/OR2T12/OR8B12/PDE1C/OR4D9/OR56A3/OR14J1/OR8B8/OR2T1/OR5A1/OR2H1/OR4M1/OR8A1/OR4N2/OR52A1/OR6P1/OR8J3/OR7C1/OR9I1/OR11G2/OR2T6/OR5AN1/OR10Z1/OR56A4/OR2G6/OR51S1/OR4D1/OR13G1/OR10A3/OR5B2/OR51E2/OR5D3P/OR2J3/OR4L1/OR8B3/OR51M1/OR2AG2/OR9G4/OR6N1/OR2AJ1/CNGA2/OR4Q3/OR8D2/OR5H14/OR4K1/OR52E5/OR1S2/OR2C3/OR4S2/OR2A12/OR7A10/OR1N2/GRK3/OR5M1/OR6C75/OR8H2/OR2T27/OR2AT4/OR2D3/OR2A25/OR5A2/OR2T33/OR2L2/OR51I2/OR4K14/OR1A1/OR10D3/OR6A2/OR4E1/OR8J1/OR13A1/CNGB1/OR6C70/OR8G1/OR12D2/OR10H1/OR52E8/OR2Z1/OR51F1/OR4C11/OR2A42/OR2Y1/OR4E2/OR8B4/OR10R2/OR1D2/OR10A6/OR5V1/OR2L3/OR2M3/OR1L8/OR5AU1/OR2A5/OR14A16/OR2L13/OR2J2/OR10J1/OR2A7/OR6C4/OR5H1/OR9K2/CNGA4/OR10G7/OR5H2/OR51Q1/OR5AS1/OR4C15/OR7A17/OR10K2/OR51D1/OR4D2/OR6C3/OR4C16/OR2A1/GUCY2D/OR5K3/OR2T4/OR7D4/OR56B4/OR4K5/OR51G2/OR2T2/OR52N1/OR5M3/OR51T1/CALML3/OR4F15/OR10H5/OR6C6/OR2T11/OR2T10/OR5AP2/OR10G8/OR5F1/OR52E2/OR5K1/OR9A4/OR5P3/OR6C2/OR6N2/OR6K6/SLC8A2/OR51B5/OR2M4/OR2F2/OR8K3/OR11H4/OR5BS1P/OR3A3/OR8H1/OR1I1/OR4D10/OR8I2/OR8K1/OR2M2/OR5T2/OR10H4/OR7G3/OR10S1/OR2V1/OR56A5/OR10H3/OR8D4/OR4P4/OR52I1/OR11A1/OR2J1/OR2H2/OR4X2/OR52A5/OR1D5/OR2B2/OR5T1/OR52B6/OR4C6/OR52K2/OR52N2/OR13C8/OR52L1/OR7G2/OR1G1/OR4A47/OR2A4/OR13F1/OR51A4/PRKACG/OR2T3/OR5T3/OR6C1/OR5AC2/OR6V1/OR52N5/OR5L1/OR6S1/OR5AR1/OR2AP1/OR2T29/OR5B3/OR4X1/OR52J3/OR10G4/OR5B12/OR2G3/OR6C68/OR5M10/OR7E24/OR10H2/OR51F2/OR10C1/OR6C65/OR8U1/OR4B1/OR4F6/OR10A4/OR6T1/OR2T8/OR14K1/OR13H1/OR4C5/OR8G5/OR4D5/OR10G3/OR4F17/OR4S1/OR10T2/OR5J2/OR52H1/OR13J1/OR2T35/OR2G2/OR6X1/OR2M5/OR7G1/OR1S1/RGS2/OR9Q1/OR2B6/OR5AK2/OR6Q1/OR52E6/OR1M1/OR4D6/OR5H6/OR5M8/OR2M7/OR2C1/OR10G6/OR5K4/OR1L1/OR4A15/OR5L2/OR1A2/OR2A2/OR52D1/OR1N1/OR2L8/OR52M1/OR5W2/OR13D1/OR6K2/OR51B6/OR10AD1/OR8H3/OR10G2/OR11H1/OR13C3/OR13C4/OR5B17/OR4F5/OR4A16/OR6M1/OR1J4/OR10V1/OR51B2/OR2AK2/OR56B1/OR4K15/OR10X1/OR5I1/OR56B2P/OR10A7/OR11H12/OR5H15/OR51C1P/OR14A2/OR8S1/GNG13/OR7C2/OR4C12/OR2D2/OR14C36/OR51I1/OR51V1/OR1Q1/OR1L4/OR5D18/OR8B2/OR6C74/OR1J2/OR7A5/OR2W1/OR11H2/OR5K2/OR52R1/OR4D11/OR10G9/OR13C2/OR5D14/OR10W1/OR5P2/OR5D16/OR4C13/OR13C9/OR2S2/OR2B3/OR1L6/OR1K1/OR11L1/OR2L5/CALML6/OR1L3/OR5D13/OR10A5/OR4A5/OR8K5/OR52B2/OR6C76/OR2T34/OR10P1/OR6B3/OR51B4/OR10J5/OR52W1/OR11H6/OR3A1/OR52B4/OR1J1/OR1F1/CALML5/OR1R1P/OR51G1/OR5C1/OR4C46,375
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,271/2970,370/9521,1.601700736528373e-64,2.7629337705114433e-62,2.208661015633862e-62,PRLR/CYSLTR1/TACR1/GABRB2/GRIN2B/LYPD6/ADRB1/PTH2R/GRIN3A/CHRM3/GRID2/GABRA2/BDKRB2/HTR2B/LPAR4/CYSLTR2/RXFP1/MAS1/GRM1/GRIA4/GRM5/GRIN2A/PTGIR/GRIA1/PTGER3/CHRM2/OPRK1/CHRM5/GLRA3/GABRG3/NTS/GLP2R/CALCB/BRS3/GABRQ/TAC1/PENK/GABRA3/ADRA2A/TSHR/GRIA3/GHSR/NMU/SSTR2/VIPR1/LHCGR/AGTR2/GABRG2/ADORA2B/GRIK1/GLRA2/GRID1/HTR2A/F2RL1/OPRM1/HTR5A/HTR2C/GIPR/GABRA4/DRD3/GABRR1/P2RX7/NPFFR2/P2RY10/LYPD6B/LPAR3/GABRB1/QRFPR/GH2/GRM8/GCG/HTR1F/GRIN2D/CNR2/IAPP/PDYN/UTS2R/FSHB/NPY5R/TRHR/OXTR/GABBR2/GPR156/GALR1/GABRG1/CHRNA3/SCTR/CCK/HRH2/MCHR2/F2RL2/GRIK4/KNG1/GRM7/CHRNA9/HRH1/GRM3/GABRA1/PATE2/APELA/ADM2/CHRNB4/GLRA1/NPBWR1/FSHR/CHRNB2/APLN/CGA/GABRR3/PLG/CCKAR/HCRTR2/HTR4/PTGER2/CHRNA1/NPFFR1/HRH4/CHRNA2/C3AR1/HTR1B/GABRP/GRM6/PRLHR/FPR2/GABRA6/S1PR2/UTS2/GRP/NTSR1/PATE3/GABRA5/MC4R/PMCH/CHRNB3/AVPR1B/CHRNA6/TAAR9/NTSR2/GABRD/UTS2B/MTNR1B/BDKRB1/GRPR/PNOC/PRSS2/S1PR3/CCKBR/NMUR2/UCN3/GPR50/SPX/NPY2R/TAC3/HTR1A/HTR6/DRD5/ADORA3/LPAR1/CSHL1/NPVF/FPR3/ADCYAP1/GIP/GRIK3/NMB/PATE1/TAAR1/CALCA/CSH1/GAL/GNRHR/PATE4/PRL/VIP/NPSR1/CRHR1/TAC4/GRM4/TAAR2/GABRB3/LEPR/CHRM1/CTSG/VGF/PRLH/GABRE/SST/P2RX2/DRD1/NPS/FPR1/SSTR3/VIPR2/ADRA1A/MTNR1A/GLP1R/CHRNA4/GHRHR/S1PR5/OPRL1/GALP/EDN2/PTGFR/TSHB/MC5R/PRSS3/MLN/F2/PRSS1/MC2R/NPY/F2R/GALR2/C5AR1/TAAR8/GZMA/HTR1E/INSL5/GRIN1/RLN3/RXFP2/CHRND/TAAR6/HCRT/MCHR1/PTH/GRIN3B/ADRB3/NMUR1/NPY4R/RXFP4/KISS1R/GPHB5/SSTR4/P2RX1/NPBWR2/CRH/RLN1/PTH2/GRIA2/TRH/GRIN2C/AVPR1A/UCN2/NMS/HRH3/NMBR/RLN2/CSH2/CHRNG/GPHA2/NPY4R2/INSL3/SSTR5/QRFP/GCGR/PTGER1/GHRH/OPRD1/MLNR/TAAR5/TACR2/KISS1/PPY/RXFP3/PYY/P2RX3/MC3R/LEP/SLURP1/AVP,271
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,200/2970,298/9521,2.577423029167584e-38,2.9640364835427218e-36,2.3694204689189722e-36,IL7/PRLR/TNFSF15/IL1RAP/GDF11/IL18/TNFRSF11A/IL21R/GDF7/ACKR4/CD40LG/IL1RL2/IL31RA/NGF/TNFSF11/IL2RA/IL1RN/CCL28/IL5RA/CCR5/TNFRSF9/CXCR6/IL5/EDA2R/TNFSF8/IL1R2/TNFRSF11B/GH2/GDF6/CXCL5/CCR2/TNFRSF12A/CCL3/IL4R/CXCL17/CD70/CCR1/IFNA21/BMP10/IL23R/IL12B/TNFSF18/IFNG/MPL/BMP15/CCL18/CCR8/IL1B/IFNA10/CCL2/CXCL8/IL10/CCR7/IL13RA2/IL4/IL21/CLCF1/IL19/FASLG/CXCL11/IL6/IL18R1/XCL1/IFNA2/INHBA/INHBE/IL18RAP/CXCR5/IFNA7/IL17RE/CSF1R/CXCL1/IL10RA/IL36G/IL36RN/CCL3L3/OSMR/IL1A/TNF/EDAR/IL12A/IL25/CCL23/CXCL3/IL17F/IFNK/CCL19/CD4/ACVR1C/IFNE/CCL26/IL12RB1/CXCL6/CXCL13/IL17A/IL27/IL22RA1/TNFSF14/IFNW1/IL1F10/CCL22/IL36B/CSHL1/TGFB3/LIF/CXCL16/IFNA16/IL20/XCL2/IL7R/CSH1/PRL/TGFB1/CD27/RELL2/CCL8/IL26/LEPR/IL13/GDF5/IFNA17/IFNA13/IL36A/CCL16/CCR9/TNFRSF8/CCR6/IL22/INHBC/CCL20/CCL11/EBI3/IL23A/TNFRSF17/CCL4/CSF2RB/IL11/CCL1/NODAL/GDF2/BMP8A/IL2/IFNA5/GDF3/CCL13/IFNB1/IL1RL1/CCL25/CCL4L2/TNFRSF13B/XCR1/CCL7/OSM/IFNA6/IL24/IL34/LTA/IL37/IFNA1/NGFR/IFNA14/IL31/CXCR1/BMP3/GDF15/TNFRSF4/CXCL10/IL9/CXCR2/CXCR3/IFNA8/BMP7/GDF10/CCL21/IL3/TNFRSF10D/CSH2/LTB/CSF2/CCL14/IFNA4/IFNL2/EPO/INHA/CCR4/CSF3/IL32/IFNL3/CSF3R/CCL17/CCL15/TNFRSF10C/IL17B/TNFSF9/TNFRSF18/LEP/IFNL1/IL17C/CXCL2/CCL24,200
NA,NA,hsa04382,Cornified envelope formation,140/2970,217/9521,1.85457955018695e-24,1.5995748620362445e-22,1.2786837951288975e-22,CERS3/KRT80/DSP/PPP2R2B/CLDN2/LAMA3/SPTLC3/CLDN4/SPRR2A/CLDN16/ST14/ABCA12/COL4A6/PKP2/DSG1/KRT8/KRT3/SPRR2D/COL17A1/CLDN20/KRT76/KRT40/FLG/CLDN14/KRT79/ELOVL4/KRT2/DSC1/DSG4/KRT77/S100A2/DSG3/PADI3/CDSN/KRT28/ALOXE3/CLDN18/FLG2/KRT73/TGM5/S100A11/SPRR2E/KRT39/KRT7/PNPLA1/S100A7A/CASP14/KRT23/S100A1/PADI6/HRNR/KRT13/KRT72/KRT5/KRT38/CLDN6/KRT25/CLDN34/KRT15/KRT26/KRT1/EVPL/KRT74/KRT6B/KRT20/CLDN10/PADI1/CLDN7/SPRR2G/ALOX12B/CLDN17/KRT85/KRT18/KRT9/KRT27/LCE5A/KRT34/TCHH/KRT6A/KRT83/KRT12/KRT16/KRT6C/LCE2B/TCHHL1/SPRR2F/CLDN11/CLDN8/S100A5/CYP4F22/KRT4/S100A3/KRT33B/S100A7/HAL/KRT32/KRT14/SPRR3/LAMC2/KRT82/CLDN22/KRT86/KRT17/LCE1B/KRT84/KRT36/SPRR4/KRT24/KRT78/KRT75/IVL/EPHX3/KRT81/LCE2A/LCE1E/KRT71/CLDN3/LORICRIN/LCE2D/KRT37/S100A9/PRSS8/LCE1C/SPRR2B/CLDN24/S100A14/SPRR1B/LCE3D/S100A12/KRT35/LCE3E/KRT33A/S100A8/LCE2C/SPRR5/SPRR1A/LCE4A/LCE1A/KRT19/CLDN19,140
NA,NA,hsa04082,Neuroactive ligand signaling,130/2970,199/9521,1.5675217041927664e-23,1.0815899758930088e-21,8.646119715757996e-22,TACR1/GABRB2/GRIN2B/SLC1A3/ADRB1/GRIN3A/GNAI1/CHRM3/GABRA2/HTR2B/GNB5/GRM1/GRIA4/GRM5/GRIN2A/GRIA1/SLC6A11/CHRM2/OPRK1/CHRM5/GLRA3/GABRG3/SLC6A5/SLC17A8/GABRQ/HTR3B/TAC1/PENK/SLC1A2/SLC5A7/ADCY8/GABRA3/ADRA2A/GRIA3/GABRG2/ADORA2B/GRIK1/HTR2A/OPRM1/HTR5A/HTR2C/GABRA4/DRD3/GABRR1/GABRB1/GRM8/HTR1F/GRIN2D/CHAT/PDYN/SLC6A4/PRKCB/GABBR2/SLC1A6/GABRG1/CHRNA3/SLC18A1/HRH2/GRIK4/GRM7/HRH1/GRM3/GABRA1/GNG4/CHRNB4/GLRA1/CHRNB2/PLCB2/GABRR3/P2RY12/HTR4/HTR1B/GABRP/GRM6/SLC32A1/SLC18A2/HTR3D/GNB3/HTR3E/GABRA6/HTR3C/GABRA5/MC4R/CHRNA6/GABRD/PRKCG/SLC6A2/PNOC/TAC3/HTR1A/HTR6/DRD5/GNGT1/ADORA3/AGRP/GRIK3/SLC17A6/SLC6A9/HTR3A/TAC4/GRM4/GABRB3/CHRM1/GABRE/P2RX2/DRD1/PRKACG/ADRA1A/CHRNA4/OPRL1/SLC17A9/SLC6A3/SLC6A12/GNGT2/HTR1E/GRIN1/GRIN3B/GNG8/SLC18A3/P2RX1/GRIA2/GRIN2C/GNG13/HRH3/SLC1A7/OPRD1/TACR2/GNG3/P2RX3/MC3R,130
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,37/2970,41/9521,3.950772632069775e-15,2.2716942634401206e-13,1.8159691747408442e-13,GABRB2/GRIN2B/GRIN3A/GABRA2/GRIA4/GRIN2A/GRIA1/GABRG3/CACNA1A/SLC17A8/GABRQ/CACNA1B/GABRA3/GRIA3/GABRG2/GABRA4/GABRR1/GABRB1/GRIN2D/GABRG1/GABRA1/CHRNB2/GABRR3/GABRP/SLC32A1/GABRA6/GABRA5/CHRNA6/GABRD/SLC17A6/GABRB3/GABRE/CHRNA4/GRIN1/GRIN3B/GRIA2/GRIN2C,37
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,69/2970,100/9521,6.656722455313321e-15,3.280813210118708e-13,2.622648546303895e-13,IL18/ACKR4/IL2RA/CCL28/CCR5/CXCL5/CCR2/CCL3/CCR1/CCL18/CCR8/CCL2/CXCL8/IL10/CCR7/IL19/CXCL11/IL6/IL18R1/XCL1/IL18RAP/CXCR5/CSF1R/CXCL1/IL10RA/CCL3L3/TNF/CCL23/CXCL3/CCL19/CCL26/CXCL6/CXCL13/IL22RA1/TNFSF14/CCL22/IL20/XCL2/CCL8/CCL16/CCR9/CCR6/CCL20/CCL11/CCL4/CCL1/IL2/CCL13/CCL25/CCL4L2/XCR1/CCL7/IL24/IL34/LTA/IL37/CXCR1/CXCL10/CXCR2/CXCR3/CCL21/TNFRSF10D/CCL14/CCR4/CCL17/CCL15/TNFRSF10C/CXCL2/CCL24,69
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,68/2970,102/9521,1.4574233601075974e-13,6.285138240464014e-12,5.02427526773935e-12,DSG1/FCGR2B/CFH/KRT40/ICAM1/KRT28/FCGR1A/HLA-DMB/FGG/CFB/PLG/KRT39/IL10/FCGR2A/MBL2/SELP/C3AR1/KRT23/FPR2/KRT13/ITGAM/KRT38/KRT25/MASP2/KRT15/KRT26/KRT20/C4A/FPR3/KRT18/KRT9/KRT27/KRT34/CFI/KRT12/KRT16/ITGB2/FCAR/KRT33B/FPR1/KRT32/KRT14/C2/FCGR3A/DEFB4B/C1QB/C1R/KRT17/HLA-DQA2/KRT36/KRT24/CAMP/C5AR1/ITGAL/C1QA/DEFA3/DEFA5/KRT37/DEFB1/HLA-DQB2/KRT35/KRT33A/DEFA6/DEFB4A/DEFA4/FCGR3B/HLA-DRB5/KRT19,68
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,59/2970,88/9521,4.182978223313491e-12,1.6034749856035048e-10,1.281801514044602e-10,BDKRB2/F5/C4BPB/C7/C6/F9/CR2/SERPINB2/C4BPA/C9/CR1L/CFH/CPB2/PLAUR/CFHR2/C8B/F13B/CR1/F2RL2/KNG1/FGG/CFB/PLG/MBL2/C3AR1/C8A/PROC/CFHR3/ITGAM/FGA/CLU/FGB/CFHR1/MASP2/BDKRB1/PLAU/CFHR4/F11/CFHR5/C4A/CFI/SERPIND1/F3/F13A1/ITGB2/VSIG4/C2/SERPINE1/C1QB/C1R/F2/ITGAX/F2R/C5AR1/F7/SERPINF2/F12/C1QA/SERPINA1,59
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,65/2970,105/9521,7.115680850432137e-11,2.4549098933990873e-9,1.9624298766454944e-9,COL21A1/COL11A1/SLC8A1/COL24A1/COL25A1/COL19A1/SLC7A7/MEP1B/COL14A1/COL8A2/COL16A1/SLC15A1/ELN/CPB1/COL4A6/COL9A1/MEP1A/DPP4/COL8A1/COL9A2/COL17A1/COL22A1/CPB2/KCNK5/COL1A1/COL2A1/KCNN4/XPNPEP2/CPA2/COL12A1/ACE2/SLC36A3/COL6A5/COL6A6/SLC3A1/SLC1A5/PRSS2/CELA2A/PGA3/PGA5/COL10A1/CELA2B/COL5A2/SLC8A2/COL3A1/SLC6A19/COL23A1/ATP1B3/COL9A3/COL6A3/ATP1A3/COL1A2/PRSS3/COL5A1/KCNJ13/PRSS1/CPA1/CTRB1/COL20A1/SLC7A9/CELA3A/CELA3B/COL26A1/SLC9A3/CTRB2,65
