"cluster","pair_name","rho","p_value","n","p_adj"
"0","PIEZO1_vs_YAP1",0.388177339901478,0.0382926480589753,29,0.124917831033589
"0","PIEZO1_vs_TEAD1",-0.0684729064039409,0.723377195958219,29,0.779671601252767
"0","TEAD1_vs_GSDMD",-0.368472906403941,0.0499671324134354,29,0.124917831033589
"0","YAP1_vs_GSDMD",0.331034482758621,0.0798815771466854,29,0.133135961911142
"0","PIEZO1_vs_GSDMD",-0.0541871921182266,0.779671601252767,29,0.779671601252767
"1","PIEZO1_vs_YAP1",0.223529411764706,0.40394112485407,16,0.899717684397965
"1","PIEZO1_vs_TEAD1",-0.0352941176470588,0.899717684397965,16,0.899717684397965
"1","TEAD1_vs_GSDMD",-0.202941176470588,0.449648985791222,16,0.899717684397965
"1","YAP1_vs_GSDMD",0.0676470588235294,0.805141567250571,16,0.899717684397965
"1","PIEZO1_vs_GSDMD",-0.0676470588235294,0.805141567250571,16,0.899717684397965
"2","PIEZO1_vs_YAP1",-0.230769230769231,0.447771588455077,13,0.447771588455077
"2","PIEZO1_vs_TEAD1",-0.587912087912088,0.0381069702238849,13,0.0952674255597122
"2","TEAD1_vs_GSDMD",-0.291208791208791,0.33407089024092,13,0.417588612801151
"2","YAP1_vs_GSDMD",-0.307692307692308,0.306287043691455,13,0.417588612801151
"2","PIEZO1_vs_GSDMD",0.681318681318681,0.012929313408159,13,0.0646465670407949
"3","PIEZO1_vs_YAP1",-0.137777777777778,0.500443844960618,26,0.636333529931546
"3","PIEZO1_vs_TEAD1",-0.327863247863248,0.102351809622695,26,0.255879524056739
"3","TEAD1_vs_GSDMD",-0.0933333333333333,0.649083241866584,26,0.649083241866584
"3","YAP1_vs_GSDMD",0.135042735042735,0.509066823945237,26,0.636333529931546
"3","PIEZO1_vs_GSDMD",0.56991452991453,0.00279844783331725,26,0.0139922391665862
