Sample_ID,PC1,PC2,Cluster
Unnamed: 1,-285.70618524070176,28.309642217786166,0
NS.1402.003.NEBNext_dual_i7_177---NEBNext_dual_i5_177.2066_R1.bam,3.482555734131897,17.336293928522668,1
NS.1402.003.NEBNext_dual_i7_178---NEBNext_dual_i5_178.3005_R1.bam,-1.9446406858274063,-9.426749290810875,0
NS.1402.003.NEBNext_dual_i7_179---NEBNext_dual_i5_179.3007_R1.bam,-2.665449395513212,-13.117977033307488,3
NS.1402.003.NEBNext_dual_i7_180---NEBNext_dual_i5_180.3016_R1.bam,11.025613772875968,15.052677804973795,1
NS.1402.003.NEBNext_dual_i7_181---NEBNext_dual_i5_181.3019_R1.bam,4.0243447869662825,5.565250683217914,3
NS.1402.003.NEBNext_dual_i7_182---NEBNext_dual_i5_182.3021_R1.bam,1.5658668930331663,-9.792102828435194,0
NS.1402.003.NEBNext_dual_i7_183---NEBNext_dual_i5_183.3027_R1.bam,15.23801122177855,-0.6509456160628346,3
NS.1402.003.NEBNext_dual_i7_184---NEBNext_dual_i5_184.3031_R1.bam,-5.126536055091021,-6.465341847334884,0
NS.1402.003.NEBNext_dual_i7_185---NEBNext_dual_i5_185.3034_R1.bam,28.71920028438227,62.51677582494167,2
NS.1402.003.NEBNext_dual_i7_186---NEBNext_dual_i5_186.3037-1_R1.bam,-2.689234813968542,-8.226789220431428,0
NS.1402.003.NEBNext_dual_i7_187---NEBNext_dual_i5_187.3053_R1.bam,7.882881070616064,-0.6358435868788557,3
NS.1402.003.NEBNext_dual_i7_188---NEBNext_dual_i5_188.3055_R1.bam,7.120290453804778,1.997285438385567,2
NS.1402.003.NEBNext_dual_i7_189---NEBNext_dual_i5_189.3061_R1.bam,5.1645829993179655,-14.771736608311688,0
NS.1402.003.NEBNext_dual_i7_190---NEBNext_dual_i5_190.3070-2_R1.bam,-0.6365729625937571,43.35945773411299,1
NS.1402.003.NEBNext_dual_i7_191---NEBNext_dual_i5_191.4026_R1.bam,-1.5773311214153773,-3.0252681388535825,0
NS.1402.003.NEBNext_dual_i7_192---NEBNext_dual_i5_192.4070-2_R1.bam,7.6748425569165795,24.110414342676794,1
NS.1402.003.NEBNext_dual_i7_197---NEBNext_dual_i5_245.5100_R1.bam,4.995808496813291,7.371370816011549,3
NS.1402.003.NEBNext_dual_i7_198---NEBNext_dual_i5_246.5101_R1.bam,3.9980931865309652,-8.702555889574143,3
NS.1402.003.NEBNext_dual_i7_199---NEBNext_dual_i5_247.5128_R1.bam,4.868459628157858,7.393216026792888,3
NS.1402.003.NEBNext_dual_i7_200---NEBNext_dual_i5_248.5134_R1.bam,7.384371277533341,-3.7722252106492995,3
NS.1402.003.NEBNext_dual_i7_201---NEBNext_dual_i5_249.5135_R1.bam,-2.5188971487536316,-10.303947134252528,3
NS.1402.003.NEBNext_dual_i7_202---NEBNext_dual_i5_250.5137_R1.bam,6.257946816949042,-3.8196673631844336,3
NS.1402.003.NEBNext_dual_i7_203---NEBNext_dual_i5_251.5159_R1.bam,1.1706262751222902,-9.113061149164897,3
NS.1402.003.NEBNext_dual_i7_204---NEBNext_dual_i5_252.5162_R1.bam,-5.143303605635856,-18.63109216623386,0
NS.1402.003.NEBNext_dual_i7_205---NEBNext_dual_i5_253.5210_R1.bam,3.8176470433025154,-11.292232072988764,3
NS.1402.003.NEBNext_dual_i7_206---NEBNext_dual_i5_254.5211_R1.bam,-5.292310227972434,-17.616555246471624,0
NS.1402.003.NEBNext_dual_i7_207---NEBNext_dual_i5_255.5223_R1.bam,1.4644068069266094,-10.153573116753265,0
NS.1402.003.NEBNext_dual_i7_208---NEBNext_dual_i5_256.6003_R1.bam,5.862221758424729,-9.259543671061868,3
NS.1402.003.NEBNext_dual_i7_209---NEBNext_dual_i5_257.6142_R1.bam,4.432546265664131,-1.6574831454799066,3
NS.1402.003.NEBNext_dual_i7_210---NEBNext_dual_i5_258.6143_R1.bam,-6.841491099077046,-12.182421054077473,0
NS.1402.003.NEBNext_dual_i7_211---NEBNext_dual_i5_259.6144_R1.bam,-1.2456581327101466,-16.907055239787635,0
NS.1402.003.NEBNext_dual_i7_212---NEBNext_dual_i5_260.6156_R1.bam,-4.801299300540358,-16.156029670656036,0
NS.1402.003.NEBNext_dual_i7_213---NEBNext_dual_i5_261.6159_R1.bam,11.421439393171998,12.749583660210698,2
NS.1402.003.NEBNext_dual_i7_214---NEBNext_dual_i5_262.6164_R1.bam,3.2662249983453977,-7.684990907856642,3
NS.1402.003.NEBNext_dual_i7_215---NEBNext_dual_i5_263.6170_R1.bam,5.093555411124902,-2.7144785852569933,3
NS.1402.003.NEBNext_dual_i7_216---NEBNext_dual_i5_264.6175_R1.bam,7.855955825604324,12.81796133417786,2
NS.1402.003.NEBNext_dual_i7_217---NEBNext_dual_i5_265.6181_R1.bam,-4.3326699611788975,-2.402530807685429,1
NS.1402.003.NEBNext_dual_i7_218---NEBNext_dual_i5_266.6185_R1.bam,1.3321612433112975,-8.645632592074259,3
NS.1402.003.NEBNext_dual_i7_219---NEBNext_dual_i5_267.6189_R1.bam,11.742480086025196,9.663215291961315,2
NS.1402.003.NEBNext_dual_i7_285---NEBNext_dual_i5_237.4093_R1.bam,5.583086787329632,17.39547304292196,1
NS.1402.003.NEBNext_dual_i7_286---NEBNext_dual_i5_238.4095_R1.bam,-0.7673459587252343,-10.45071212155145,0
NS.1402.003.NEBNext_dual_i7_287---NEBNext_dual_i5_239.4219_R1.bam,10.431280192528337,-8.871720700222353,3
NS.1402.003.NEBNext_dual_i7_288---NEBNext_dual_i5_240.4260_R1.bam,9.360480761812761,17.168068153988482,2
NS.1402.003.NEBNext_dual_i7_289---NEBNext_dual_i5_241.4264_R1.bam,8.49730388670908,11.46366085760565,1
NS.1402.003.NEBNext_dual_i7_290---NEBNext_dual_i5_242.5010_R1.bam,10.390348416830962,26.25289184974622,1
NS.1402.003.NEBNext_dual_i7_291---NEBNext_dual_i5_243.5055-1_R1.bam,-3.866875729486625,-16.166264474004063,0
NS.1402.003.NEBNext_dual_i7_292---NEBNext_dual_i5_244.5069_R1.bam,-10.936030022813382,-15.998749700570981,0
NS.1402.004.NEBNext_dual_i7_220---NEBNext_dual_i5_268.6196_R1.bam,16.91964428938656,24.042922017262526,2
NS.1402.004.NEBNext_dual_i7_221---NEBNext_dual_i5_269.6199_R1.bam,8.625166778950412,-0.408065140190002,2
NS.1402.004.NEBNext_dual_i7_222---NEBNext_dual_i5_270.6213_R1.bam,2.505778488886097,0.026054017757981208,2
NS.1402.004.NEBNext_dual_i7_223---NEBNext_dual_i5_271.6215_R1.bam,2.1745273778731846,11.00590535681221,1
NS.1402.004.NEBNext_dual_i7_224---NEBNext_dual_i5_272.7037_R1.bam,5.060602452496527,20.947481285919572,1
NS.1402.004.NEBNext_dual_i7_225---NEBNext_dual_i5_273.7050_R1.bam,-0.8698122728816837,-20.390647656593806,0
NS.1402.004.NEBNext_dual_i7_226---NEBNext_dual_i5_274.7056_R1.bam,0.5997566888612805,-5.599153349187049,0
NS.1402.004.NEBNext_dual_i7_227---NEBNext_dual_i5_275.7077_R1.bam,0.41196119545165916,-13.671491211456173,0
NS.1402.004.NEBNext_dual_i7_228---NEBNext_dual_i5_276.7100_R1.bam,0.20706253811278102,-10.479831730294677,3
NS.1402.004.NEBNext_dual_i7_229---NEBNext_dual_i5_277.7131_R1.bam,19.850518592033165,24.555191797374487,2
