gene,spearman_rho,pvalue,padj
ADAMTS2,0.7999999999999999,0.20000000000000007,0.29498148909913624
ADAMTSL4,0.19999999999999998,0.8,0.8188409934341992
ALKBH7,-1.0,0.0,0.0
ANTXR1,0.39999999999999997,0.6,0.6497629043462503
ASPN,0.7999999999999999,0.20000000000000007,0.29498148909913624
ASS1,0.39999999999999997,0.6,0.6497629043462503
ATP5F1D,-1.0,0.0,0.0
BTBD6,-0.7999999999999999,0.20000000000000007,0.29498148909913624
C3orf18,-0.39999999999999997,0.6,0.6497629043462503
C12orf75,-0.7999999999999999,0.20000000000000007,0.29498148909913624
CCDC69,-0.7999999999999999,0.20000000000000007,0.29498148909913624
CD36,0.0,1.0,1.0
COL1A1,0.39999999999999997,0.6,0.6497629043462503
COL1A2,0.39999999999999997,0.6,0.6497629043462503
COL5A1,0.39999999999999997,0.6,0.6497629043462503
COL5A2,0.7999999999999999,0.20000000000000007,0.29498148909913624
COL6A3,0.39999999999999997,0.6,0.6497629043462503
COL14A1,0.7999999999999999,0.20000000000000007,0.29498148909913624
CTSK,0.39999999999999997,0.6,0.6497629043462503
DCDC2,0.7999999999999999,0.20000000000000007,0.29498148909913624
DCLK1,0.7999999999999999,0.20000000000000007,0.29498148909913624
EIF1AX,-0.39999999999999997,0.6,0.6497629043462503
ELN,0.7999999999999999,0.20000000000000007,0.29498148909913624
ENO3,-1.0,0.0,0.0
FRRS1L,0.7999999999999999,0.20000000000000007,0.29498148909913624
GAPDH,-1.0,0.0,0.0
GGH,0.7999999999999999,0.20000000000000007,0.29498148909913624
GGT7,-0.39999999999999997,0.6,0.6497629043462503
GXYLT2,0.7999999999999999,0.20000000000000007,0.29498148909913624
HADHB,-0.7999999999999999,0.20000000000000007,0.29498148909913624
HGD,0.7999999999999999,0.20000000000000007,0.29498148909913624
HMGCS2,0.19999999999999998,0.8,0.8188409934341992
KCND3,-0.39999999999999997,0.6,0.6497629043462503
KDM6A,0.19999999999999998,0.8,0.8188409934341992
LIF,0.7999999999999999,0.20000000000000007,0.29498148909913624
LOX,1.0,0.0,0.0
LRP1B,0.19999999999999998,0.8,0.8188409934341992
MINAR1,0.19999999999999998,0.8,0.8188409934341992
MMP2,0.39999999999999997,0.6,0.6497629043462503
MMP14,1.0,0.0,0.0
MPV17L,-0.7999999999999999,0.20000000000000007,0.29498148909913624
MXRA8,0.39999999999999997,0.6,0.6497629043462503
MYLK3,-0.7999999999999999,0.20000000000000007,0.29498148909913624
MYLPF,-0.39999999999999997,0.6,0.6497629043462503
NDRG4,-0.39999999999999997,0.6,0.6497629043462503
NMNAT1,-0.7999999999999999,0.20000000000000007,0.29498148909913624
NPNT,0.19999999999999998,0.8,0.8188409934341992
OVCH1,0.7999999999999999,0.20000000000000007,0.29498148909913624
PCDHGA4,-0.39999999999999997,0.6,0.6497629043462503
PHKA1,-1.0,0.0,0.0
PLCXD2,0.7999999999999999,0.20000000000000007,0.29498148909913624
PLPP7,-1.0,0.0,0.0
PROX1,-0.39999999999999997,0.6,0.6497629043462503
RAD51,0.7999999999999999,0.20000000000000007,0.29498148909913624
RASSF9,0.19999999999999998,0.8,0.8188409934341992
RC3H1,-1.0,0.0,0.0
SCN4A,-1.0,0.0,0.0
SCN8A,0.7999999999999999,0.20000000000000007,0.29498148909913624
SFRP2,0.7999999999999999,0.20000000000000007,0.29498148909913624
SIMC1,-1.0,0.0,0.0
SLC16A7,0.39999999999999997,0.6,0.6497629043462503
SLC26A4,0.7999999999999999,0.20000000000000007,0.29498148909913624
ST3GAL6,-0.39999999999999997,0.6,0.6497629043462503
TMEM119,0.7999999999999999,0.20000000000000007,0.29498148909913624
TMEM143,-1.0,0.0,0.0
TPI1,-1.0,0.0,0.0
TPM2,-1.0,0.0,0.0
UTS2R,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC006059.5,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC015660.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC073349.4,-0.39999999999999997,0.6,0.6497629043462503
AC090921.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AC109925.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AL139385.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
AL355304.1,0.7999999999999999,0.20000000000000007,0.29498148909913624
HHATL-AS1,0.0,1.0,1.0
JPX,0.0,1.0,1.0
LINC00877,0.7999999999999999,0.20000000000000007,0.29498148909913624
LMCD1-AS1,0.7999999999999999,0.20000000000000007,0.29498148909913624
SOX2-OT,0.39999999999999997,0.6,0.6497629043462503
