cluster,TF,overlap,odds_ratio,pvalue,padj
3,AATF,0.0,0.0,1.0,
3,ABL1,0.0,0.0,1.0,
3,AHR,9.0,2.294002718314645,0.05173559487749316,
3,APC,6.0,3.058310688405797,0.0510640270087272,
3,APEX1,2.0,1.2228157537347215,0.5462911248759457,
3,AR,3.0,1.0189775514053951,0.5984180872111794,
3,ARID3A,3.0,3.0576117713638937,0.16390758760986637,
3,ARNT,1.0,0.5094300479046433,0.8621113400995102,
3,ARNTL,2.0,0.6112947034857401,0.8350391234897327,
3,ASCL1,3.0,1.5286361063950198,0.38949107910560576,
3,ATF1,8.0,1.5289354473386183,0.22125729589501772,
3,ATF2,2.0,0.4701744611205906,0.9153860135291304,
3,ATF3,1.0,0.43663816097900066,0.896106541399458,
3,ATF4,1.0,0.33958231174481035,0.9410212426960918,
3,ATF5,2.0,1.0189754036517278,0.6241449309998756,
3,ATF6,3.0,0.8336471677728045,0.70869428664258,
3,ATM,4.0,0.6791688677584081,0.8284579756061996,
3,BCL11B,2.0,0.8733751535924464,0.6911888886839528,
3,BCL3,3.0,0.7641482739105829,0.7543574945019114,
3,BCL6,4.0,0.9405618153637171,0.6345204841054637,
3,BMI1,6.0,3.058310688405797,0.0510640270087272,
3,BRCA1,3.0,1.8344312393887945,0.3127297065041558,
3,BTF3,1.0,0.43663816097900066,0.896106541399458,
3,CDX1,3.0,1.8344312393887945,0.3127297065041558,
3,CDX2,5.0,2.548303709573946,0.10903966466339285,
3,CEBPA,6.0,1.0189839975845412,0.5621870831724802,
3,CEBPB,15.0,1.9121188938002947,0.03904263162823747,
3,CEBPD,7.0,2.140742837730721,0.10058844340175423,
3,CEBPE,1.0,0.5094300479046433,0.8621113400995102,
3,CEBPZ,2.0,1.5285762788592123,0.4577303822875518,
3,CIITA,7.0,0.9726325650343315,0.5963787016349579,
3,CITED2,2.0,0.6792414868467381,0.7956022841099738,
3,CLOCK,3.0,0.7641482739105829,0.7543574945019114,
3,CREB1,6.0,0.764068161231884,0.7850094696220492,
3,CREB5,2.0,0.6112947034857401,0.8350391234897327,
3,CREBBP,13.0,1.5904634560906517,0.12078593956435049,
3,CREM,8.0,1.4389447738325227,0.2596455337652067,
3,CRX,5.0,2.548303709573946,0.10903966466339285,
3,CTCF,4.0,4.077277186627424,0.0673463366675982,
3,CTNNB1,20.0,1.5689353362295073,0.07037628854012716,
3,CUX1,4.0,2.0384121953060146,0.21596532153116788,
3,DACH1,2.0,1.5285762788592123,0.4577303822875518,
3,DDIT3,8.0,2.4468403171007926,0.052791150733580594,
3,DLX2,2.0,2.038177154066697,0.35978945072832336,
3,DLX3,2.0,2.038177154066697,0.35978945072832336,
3,DLX5,4.0,2.4461851935702965,0.15920696130125567,
3,DMTF1,3.0,2.293123938879457,0.23632852581656752,
3,DNMT1,7.0,0.8915137960970823,0.6723662153317858,
3,DNMT3A,4.0,4.077277186627424,0.0673463366675982,
3,E2F1,7.0,0.5345912127731853,0.9639057807224198,
3,E2F3,1.0,0.5094300479046433,0.8621113400995102,
3,E2F4,0.0,0.0,1.0,
3,E2F6,4.0,4.077277186627424,0.0673463366675982,
3,EBF1,1.0,0.5094300479046433,0.8621113400995102,
3,EGR1,19.0,1.161975280644064,0.3313245170626177,
3,EGR2,1.0,0.2546584436648938,0.9747752424086789,
3,EHMT2,2.0,1.5285762788592123,0.4577303822875518,
3,ELF1,2.0,0.7641749660479855,0.7480212956241353,
3,ELF3,4.0,2.4461851935702965,0.15920696130125567,
3,ELK1,2.0,1.2228157537347215,0.5462911248759457,
3,EOMES,0.0,0.0,1.0,
3,EP300,16.0,1.193291715279429,0.320499999217314,
3,EPAS1,8.0,4.894586636466591,0.005137733035508062,
3,ERCC2,0.0,0.0,1.0,
3,ERG,2.0,1.0189754036517278,0.6241449309998756,
3,ESR1,4.0,0.5556012925268076,0.9138645746943768,
3,ESR2,3.0,0.6549357264128062,0.8282439965306554,
3,ESRRA,3.0,2.293123938879457,0.23632852581656752,
3,ETS1,18.0,1.5295351473922902,0.0954517898938768,
3,ETS2,4.0,0.6112067013810278,0.8774857746494354,
3,ETV2,3.0,3.0576117713638937,0.16390758760986637,
3,ETV4,9.0,4.589024804621135,0.003774530513967981,
3,ETV5,1.0,0.6113386896005432,0.8169941664961439,
3,EWSR1,2.0,0.8733751535924464,0.6911888886839528,
3,EZH2,3.0,0.9170458404074703,0.6567497970724436,
3,FLI1,2.0,0.6112947034857401,0.8350391234897327,
3,FOS,16.0,1.398166920361434,0.1696166807939616,
3,FOSL1,1.0,0.5094300479046433,0.8621113400995102,
3,FOSL2,4.0,1.1116553810690102,0.526041455205255,
3,FOXA1,5.0,3.0580776633080493,0.0740694209563874,
3,FOXA2,12.0,1.3591157438880077,0.23666161891690912,
3,FOXC1,3.0,1.8344312393887945,0.3127297065041558,
3,FOXC2,2.0,1.2228157537347215,0.5462911248759457,
3,FOXD3,2.0,1.0189754036517278,0.6241449309998756,
3,FOXF2,2.0,1.0189754036517278,0.6241449309998756,
3,FOXG1,3.0,1.8344312393887945,0.3127297065041558,
3,FOXM1,11.0,2.8044163740040027,0.013321023791316278,
3,FOXO1,12.0,1.0790178749950015,0.46644067384814897,
3,FOXO3,3.0,1.5286361063950198,0.38949107910560576,
3,FOXO4,2.0,1.2228157537347215,0.5462911248759457,
3,FOXP1,1.0,0.6113386896005432,0.8169941664961439,
3,FOXP2,2.0,1.5285762788592123,0.4577303822875518,
3,FOXP3,4.0,1.5286959474756623,0.34037312811791054,
3,FOXQ1,4.0,6.116142177948834,0.03576572468585024,
3,GABPA,1.0,0.5094300479046433,0.8621113400995102,
3,GATA1,3.0,0.8336471677728045,0.70869428664258,
3,GATA2,2.0,0.8733751535924464,0.6911888886839528,
3,GATA3,5.0,1.2738688252386883,0.4126861146428661,
3,GATA4,5.0,0.9552601041548737,0.6185332071049972,
3,GATA6,3.0,0.7641482739105829,0.7543574945019114,
3,GFI1,1.0,0.33958231174481035,0.9410212426960918,
3,GFI1B,3.0,1.5286361063950198,0.38949107910560576,
3,GLI1,5.0,5.097173478244462,0.025699448664609357,
3,GLI2,2.0,0.5557018807358327,0.8674553646565126,
3,GLI3,3.0,1.5286361063950198,0.38949107910560576,
3,GTF2I,2.0,0.4701744611205906,0.9153860135291304,
3,GTF2IRD1,1.0,0.6113386896005432,0.8169941664961439,
3,HAND2,4.0,6.116142177948834,0.03576572468585024,
3,HDAC1,6.0,0.9170176630434783,0.6477500571508308,
3,HDAC2,1.0,0.43663816097900066,0.896106541399458,
3,HDAC3,0.0,0.0,1.0,
3,HDAC4,8.0,1.5289354473386183,0.22125729589501772,
3,HDAC5,1.0,0.43663816097900066,0.896106541399458,
3,HDAC7,1.0,0.2546584436648938,0.9747752424086789,
3,HDAC9,5.0,1.1758353725975146,0.4673678719907256,
3,HDGF,1.0,0.6113386896005432,0.8169941664961439,
3,HES1,2.0,1.5285762788592123,0.4577303822875518,
3,HESX1,1.0,0.6113386896005432,0.8169941664961439,
3,HEY1,3.0,3.0576117713638937,0.16390758760986637,
3,HIC1,3.0,1.5286361063950198,0.38949107910560576,
3,HIF1A,6.0,1.4111622073578596,0.3190336299638332,
3,HIPK2,0.0,0.0,1.0,
3,HIVEP2,1.0,0.6113386896005432,0.8169941664961439,
3,HMGA1,8.0,2.718812130363659,0.03716194750654162,
3,HMGA2,3.0,1.8344312393887945,0.3127297065041558,
3,HNF1A,8.0,1.7474842258534218,0.1518626936314962,
