"gene","module"
"XIST","Early"
"KDM5D","Early"
"UTY","Early"
"USP9Y","Early"
"IGFN1","Early"
"TTTY14","Early"
"RPS4Y1","Early"
"MYH1","Early"
"ZFY","Early"
"ACTN3","Early"
"GSTM1","Early"
"SCD","Early"
"MT-ND6","Early"
"DDN","Early"
"EIF1AY","Early"
"ACTC1","Early"
"ADIPOQ","Early"
"HMGCS2","Early"
"MYLK4","Early"
"HBA2","Early"
"HBB","Early"
"METTL21C","Early"
"AJ009632.2","Early"
"PLIN1","Early"
"SBK2","Early"
"ANKRD2","Early"
"CALML6","Early"
"GDNF","Early"
"PFKFB3","Early"
"NMRK2","Early"
"ATRNL1","Early"
"AC010889.1","Early"
"GGT7","Early"
"RYR3","Early"
"CCDC144A","Early"
"G0S2","Early"
"SLC16A7","Early"
"AC011297.1","Early"
"SIM1","Early"
"LRRC3B","Early"
"IL32","Early"
"LBP","Early"
"ANKRD33B","Early"
"MYOZ2","Early"
"MYL6B","Early"
"AC113167.1","Early"
"ARL17B","Early"
"AC099754.1","Early"
"IRX3","Early"
"MYHAS","Early"
"SLPI","Early"
"MFAP3L","Early"
"PPDPFL","Early"
"SLC19A3","Early"
"LRP1B","Early"
"AC099066.2","Early"
"PAX8-AS1","Early"
"LINC01405","Early"
"TMEM70","Early"
"AQP4","Early"
"FMOD","Early"
"BX640514.1","Early"
"CFAP61","Early"
"ARRDC2","Early"
"MYL3","Early"
"LGR5","Early"
"ARG2","Early"
"SLC38A1","Early"
"CYP26B1","Early"
"FABP4","Early"
"AC011379.1","Early"
"AC126544.2","Early"
"CACNB2","Early"
"C1orf158","Early"
"H19","Early"
"OSBPL3","Early"
"MYH6","Early"
"LIPE","Early"
"MYBPC2","Early"
"NREP","Early"
"LINC00632","Early"
"MYLK2","Early"
"PLA2G2A","Early"
"AC079467.1","Early"
"SLC22A3","Early"
"ARFGEF3","Early"
"TECRL","Early"
"TRARG1","Early"
"FAM106A","Early"
"AC090403.1","Early"
"SMTNL1","Early"
"MAOA","Early"
"SLC16A3","Early"
"TBL1Y","Early"
"ACOT11","Early"
"DAAM2","Early"
"LPL","Early"
"SNAI3","Early"
"PLIN5","Early"
"AC024610.2","Early"
"CKB","Early"
"DIRC3-AS1","Early"
"GADD45G","Early"
"MYH7B","Early"
"MYLK3","Early"
"PDE3B","Early"
"C12orf75","Early"
"DDIT4L","Early"
"LINC01634","Early"
"LDHA","Early"
"DKK2","Early"
"XPO4","Early"
"MYL2","Early"
"LINC01854","Early"
"DDIT4","Early"
"MYH7","Early"
"STRIT1","Early"
"UCHL1","Early"
"B3GALT1","Early"
"WDR62","Early"
"PRODH","Early"
"ABLIM1","Early"
"PSTPIP2","Early"
"FNDC5","Early"
"SHISA2","Early"
"SLC38A4","Early"
"P2RY1","Early"
"RBP4","Early"
"GDA","Early"
"SH2D1B","Early"
"XIRP2","Early"
"KLHL34","Early"
"LINC02119","Early"
"LINC01091","Early"
"ASB14","Early"
"PFKFB2","Early"
"AC015878.1","Early"
"FAM166B","Early"
"FLRT3","Early"
"KCNB1","Early"
"FEZ2","Early"
"PRKAR2B","Early"
"LOXL4","Early"
"NCAM1","Early"
"ATP2A1","Early"
"TPPP3","Early"
"ADH1B","Early"
"FABP3","Early"
"TRPV3","Early"
"LINC00278","Early"
"SPOCK1","Early"
"ENO3","Early"
"GATD3A","Early"
"BDNF","Early"
"PRKAG3","Early"
"VGLL2","Early"
"ADAMTSL4","Early"
"RHOXF1-AS1","Early"
"RPS28","Early"
"FOXO1","Early"
"CLDN1","Early"
"MYOC","Early"
"SMCO1","Early"
"PTPN3","Early"
"B4GALNT3","Early"
"PAIP2B","Early"
"MLF1","Early"
"NANOS1","Early"
"IL17D","Early"
"PGAM2","Early"
"CA14","Early"
"TNNT1","Early"
"UCP3","Early"
"MSS51","Early"
"MINAR1","Early"
"PCK1","Early"
"LGI1","Early"
"ATP2B2","Early"
"MYL12A","Early"
"NES","Early"
"AC005165.1","Early"
"U2AF1L5","Early"
"TNNC1","Early"
"KLHL38","Early"
"FHL3","Early"
"PTGER3","Early"
"IDI2","Early"
"RASL10B","Early"
"MIR646HG","Early"
"TPM3","Early"
"LINC00702","Early"
"BICD1","Early"
"GPD1","Early"
"TBC1D1","Early"
"MLXIPL","Early"
"TNNI1","Early"
"ATP2A2","Early"
"AC138932.4","Early"
"KERA","Early"
"CKMT2","Early"
"DNAH2","Early"
"CMBL","Early"
"AP000350.6","Early"
"FBP2","Early"
"HES1","Early"
"PKM","Early"
"AL157396.1","Early"
"AC113133.1","Early"
"NOS1","Early"
"AKR1C2","Early"
"COLQ","Early"
"IFRD1","Early"
"CRYM","Early"
"E2F8","Early"
"KCNIP2","Early"
"TYRP1","Early"
"SLC25A25","Early"
"DDX11","Early"
"CHAC1","Early"
"ESRRG","Early"
"MYH2","Early"
"PEBP4","Early"
"HBA1","Early"
"APOB","Early"
"SLC2A1","Early"
"MYL1","Early"
"SLC38A3","Early"
"LEP","Early"
"LRRC38","Early"
"NUPR1","Early"
"ACTA1","Early"
"UGT3A1","Early"
"RNF122","Early"
"LMOD1","Early"
"C6","Early"
"BCL6","Early"
"ASB15","Early"
"DEPP1","Early"
"AQP7","Early"
"MEG8","Early"
"MIR133A1HG","Early"
"DDAH1","Early"
"AGBL1","Early"
"PPP1R3C","Early"
"SLC25A34","Early"
"THNSL2","Early"
"AL137246.2","Early"
"CYP1A1","Early"
"CIDEA","Early"
"AC123912.4","Early"
"PLN","Early"
"GAPDH","Early"
"SERPINA5","Early"
"SHISA4","Early"
"MYLPF","Early"
"SLC25A30","Early"
"DHRS7C","Early"
"ZNF556","Early"
"HHIP","Early"
"MEST","Early"
"APOD","Early"
"PHKA1","Early"
"ADARB2","Early"
"CASQ2","Early"
"AC104574.2","Early"
"ERAP2","Early"
"C4orf50","Early"
"PPP1R1B","Early"
"S100A1","Early"
"HSPA2","Early"
"TBX1","Early"
"LINC02421","Early"
"USP6","Early"
"MAP3K7CL","Early"
"OPRD1","Early"
"PLCH1","Early"
"LIMK1","Early"
"PYGM","Early"
"AC011498.4","Early"
"C4orf54","Early"
"ENC1","Early"
"RSPO3","Early"
"AL133444.1","Early"
"AC010280.1","Early"
"PERM1","Early"
"NDRG4","Early"
"SH3RF2","Early"
"CYP4B1","Early"
"AC073349.1","Early"
"LAD1","Early"
"EIF4EBP1","Early"
"CCDC141","Early"
"COL4A3","Early"
"SOX9","Early"
"FAM181A-AS1","Early"
"KY","Early"
"MB","Early"
"DUSP10","Early"
"LRRC14B","Early"
"PKDCC","Early"
"FAM106C","Early"
"NPNT","Early"
"SREBF1","Early"
"CPM","Early"
"AOC3","Early"
"ZNF273","Early"
"RHOD","Early"
"FYB2","Early"
"SCN3B","Early"
"ART3","Early"
"XRRA1","Early"
"MYORG","Early"
"AGMAT","Early"
"MAFB","Early"
"GPT2","Early"
"PCOLCE2","Early"
"FRK","Early"
"CASQ1","Early"
"KCNQ4","Early"
"RCAN2","Early"
"PGM1","Early"
"TMEM52","Early"
"LYVE1","Early"
"DUSP8","Early"
"ALX4","Early"
"ADSS1","Early"
"RGS9BP","Early"
"HYAL4","Early"
"ALPK3","Early"
"DLK1","Early"
"METTL7A","Early"
"AC007563.3","Early"
"CDH20","Early"
"GPX3","Early"
"CKM","Early"
"RELT","Early"
"ITGB6","Early"
"COL21A1","Early"
"TSC22D3","Early"
"SFRP5","Early"
"SLC26A9","Early"
"ALAS2","Early"
"TP53INP2","Early"
"BDH1","Early"
"PPARGC1A","Early"
"LINC01921","Early"
"CD36","Early"
"ASB18","Early"
"PPP1R1C","Early"
"CCDC69","Early"
"MUC2","Early"
"OXCT1","Early"
"LMO3","Early"
"IRX6","Early"
"TNNT3","Early"
"ASB9","Early"
"CCR3","Early"
"TPM1","Early"
"PLXNA4","Early"
"GALNT15","Early"
"SMTNL2","Early"
"RETREG1","Early"
"TSPAN5","Early"
"AC018618.1","Early"
"AL022322.2","Early"
"MKI67","Early"
"PPP1R3B","Early"
"AC087854.1","Early"
"COL28A1","Early"
"ASB2","Early"
"PDLIM3","Early"
"PDLIM7","Early"
"CCL21","Early"
"MAP2K6","Early"
"SESN1","Early"
"MIR1-1HG","Early"
"CHST15","Early"
"NTRK2","Early"
"CITED2","Early"
"RXRG","Early"
"C1orf115","Early"
"UNC13A","Early"
"PPP1R3A","Early"
"CHRDL2","Early"
"GOT1","Early"
"DNAH17","Early"
"ADGRG7","Early"
"AL161772.1","Early"
"CHMP1B","Early"
"MEG3","Early"
"TOGARAM2","Early"
"DUSP4","Early"
"NEK10","Early"
"FHL2","Early"
"TRIM7","Early"
"FBXO32","Early"
"TRIM58","Early"
"RHOBTB1","Early"
"ACVR1C","Early"
"TBC1D3L","Early"
"CD38","Early"
"AC020687.1","Early"
"PARP15","Early"
"WIPF3","Early"
"TNNC2","Early"
"APLNR","Early"
"LEPR","Early"
"SLC30A2","Early"
"PHTF2","Early"
"SOD2","Early"
"ASB11","Early"
"PDE4C","Early"
