sample_id,ES_positive,ES_control,CPS,CPS_zscore,subgroup,CPS_class
AB_1,-0.48791080075397963,-0.6009709754346119,0.11306017468063223,0.2501510603292684,Colorectal,CPS-LowOrMid
AB_2,0.2941831891588776,0.03044219084281082,0.2637409983160668,0.5835396112506254,Colorectal,CPS-High
AB_3,0.22873089201656308,0.5137381053839379,-0.2850072133673749,-0.6305921322581513,Pancreas,CPS-LowOrMid
AB_4,-0.10853583644734938,0.20592108701050038,-0.31445692345784976,-0.6957510286275537,Pancreas,CPS-LowOrMid
AB_5,-0.5179653089834527,-0.47330880677040277,-0.04465650221304995,-0.09880465345773443,Pancreas,CPS-LowOrMid
AB_6,0.9982085822510377,0.4198434666455187,0.578365115605519,1.2796605642514074,Pancreas,CPS-High
AB_7,0.08895031487728122,0.8231412486312628,-0.7341909337539816,-1.6244326623542351,Pancreas,CPS-LowOrMid
AB_8,0.6324758663090972,0.4243683344995725,0.20810753180952474,0.46044789769440747,Colorectal,CPS-LowOrMid
AB_9,0.21761591009420156,1.2288571974941593,-1.0112412873999577,-2.237419860763472,Pancreas,CPS-LowOrMid
AB_10,-0.42491362298813906,-0.6916012845603176,0.2666876615721785,0.5900592450653775,Colorectal,CPS-High
AB_11,4.921622777869647,5.124207355897984,-0.20258457802833707,-0.4482280975002523,Colorectal,CPS-LowOrMid
AB_12,-0.6359322060938402,-0.9122686498443039,0.27633644375046373,0.6114076385169372,Colorectal,CPS-High
AB_13,-0.32061365368930184,-0.7195724457705251,0.3989587920812233,0.8827154667743355,Pancreas,CPS-High
AB_14,0.4545667522641525,0.8669696331175979,-0.4124028808534454,-0.9124611581376473,Colorectal,CPS-LowOrMid
AB_15,0.44097588457639797,0.7337638422310165,-0.29278795765461857,-0.6478074022601914,Colorectal,CPS-LowOrMid
AB_16,0.16791921032654838,-0.8398608894709811,1.0077800997975295,2.229761817149161,Pancreas,CPS-High
AB_17,0.8096638951662745,0.5516301498899617,0.25803374527631273,0.5709120401054829,Pancreas,CPS-High
AB_18,1.7880053678332348,0.5957200133826233,1.1922853544506116,2.637988544360265,Colorectal,CPS-High
AB_19,0.3799034535502404,-0.31454586494175935,0.6944493184919998,1.5365024320581584,Pancreas,CPS-High
AB_20,-0.6461186302701898,-0.37411660198160757,-0.2720020282885822,-0.6018175363721282,Pancreas,CPS-LowOrMid
AB_21,-0.487059102654391,-0.49122659713337863,0.004167494478987621,0.009220781462437433,Pancreas,CPS-LowOrMid
AB_22,0.7605294674759143,0.6672333988258282,0.0932960686500861,0.2064220275910222,Colorectal,CPS-LowOrMid
AB_23,0.8734592002149186,0.09488723411157152,0.7785719661033471,1.7226278255234206,Pancreas,CPS-High
AB_24,0.4082882105245949,0.00877493352650834,0.3995132769980866,0.8839422912532623,Pancreas,CPS-High
AB_25,-0.0858318979491718,0.14232906579071272,-0.22816096373988454,-0.5048170778658554,Colorectal,CPS-LowOrMid
AB_26,-0.5459731838587193,-0.5127238137187612,-0.0332493701399581,-0.0735658265103995,Pancreas,CPS-LowOrMid
AB_27,0.12818402765933268,-0.08929097808209972,0.21747500574143241,0.48117388315562487,Colorectal,CPS-LowOrMid
