sample_id,ES_positive,ES_control,CPS,CPS_zscore,Unnamed: 0,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,characteristics_ch1.1,treatment_protocol_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,extract_protocol_ch1.1,taxid_ch1,data_processing,data_processing.1,data_processing.2,data_processing.3,platform_id,contact_name,contact_email,contact_phone,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,data_row_count,instrument_model,library_selection,library_source,library_strategy,relation,relation.1,supplementary_file_1,tissue:ch1,subgroup,CPS_class
AB_3,1.0547708188807359,1.198781595126036,-0.14401077624530023,-0.433132645357547,GSM8059489,"AB_3, Pancreas",GSM8059489,Public on Jul 15 2025,Feb 01 2024,Jul 15 2025,SRA,1,Skeletal muscle tissue,Homo sapiens,tissue: Rectus abdominis muscle,tissue: Skeletal muscle tissue,Not Applicable,Not Applicable,total RNA,"RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.",NEB Next RNA First-strand synthesis and NEBNext Ultra Directional RNA Second strand synthesis were used. Remaining steps were performed using NEBNext Ultra II DNA library Prep kit  for Illumina.,9606,"The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq S4 lane using Xp protocol per manufacturer's recommendations.",Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using STAR v.2.7.3a.,Assembly: hg38,Supplementary files format and content: tab-delimited text file includes raw count data for each sample,GPL24676,"Sambasivarao,,Damaraju",sdamaraj@ualberta.ca,7807821469,Laboratory Medicine and Pathology,University of Alberta,11560 University Avenue,Edmonton,Alberta,T6G1Z2,Canada,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39735623,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23503982,NONE,Rectus abdominis muscle;Skeletal muscle tissue,Pancreas,CPS-LowOrMid
AB_4,0.7648194501325968,0.8385361928243755,-0.07371674269177875,-0.11359338320377448,GSM8059490,"AB_4, Pancreas",GSM8059490,Public on Jul 15 2025,Feb 01 2024,Jul 15 2025,SRA,1,Skeletal muscle tissue,Homo sapiens,tissue: Rectus abdominis muscle,tissue: Skeletal muscle tissue,Not Applicable,Not Applicable,total RNA,"RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.",NEB Next RNA First-strand synthesis and NEBNext Ultra Directional RNA Second strand synthesis were used. Remaining steps were performed using NEBNext Ultra II DNA library Prep kit  for Illumina.,9606,"The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq S4 lane using Xp protocol per manufacturer's recommendations.",Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using STAR v.2.7.3a.,Assembly: hg38,Supplementary files format and content: tab-delimited text file includes raw count data for each sample,GPL24676,"Sambasivarao,,Damaraju",sdamaraj@ualberta.ca,7807821469,Laboratory Medicine and Pathology,University of Alberta,11560 University Avenue,Edmonton,Alberta,T6G1Z2,Canada,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39735622,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23503983,NONE,Rectus abdominis muscle;Skeletal muscle tissue,Pancreas,CPS-LowOrMid
AB_5,0.6290157220983641,0.8609297866664747,-0.2319140645681106,-0.8327192172416982,GSM8059491,"AB_5, Pancreas",GSM8059491,Public on Jul 15 2025,Feb 01 2024,Jul 15 2025,SRA,1,Skeletal muscle tissue,Homo sapiens,tissue: Rectus abdominis muscle,tissue: Skeletal muscle tissue,Not Applicable,Not Applicable,total RNA,"RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.",NEB Next RNA First-strand synthesis and NEBNext Ultra Directional RNA Second strand synthesis were used. Remaining steps were performed using NEBNext Ultra II DNA library Prep kit  for Illumina.,9606,"The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq S4 lane using Xp protocol per manufacturer's recommendations.",Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using STAR v.2.7.3a.,Assembly: hg38,Supplementary files format and content: tab-delimited text file includes raw count data for each sample,GPL24676,"Sambasivarao,,Damaraju",sdamaraj@ualberta.ca,7807821469,Laboratory Medicine and Pathology,University of Alberta,11560 University Avenue,Edmonton,Alberta,T6G1Z2,Canada,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39735621,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23503984,NONE,Rectus abdominis muscle;Skeletal muscle tissue,Pancreas,CPS-LowOrMid
AB_6,1.2729674263201414,1.0580842153480614,0.21488321097207996,1.1983105094807631,GSM8059492,"AB_6, Pancreas",GSM8059492,Public on Jul 15 2025,Feb 01 2024,Jul 15 2025,SRA,1,Skeletal muscle tissue,Homo sapiens,tissue: Rectus abdominis muscle,tissue: Skeletal muscle tissue,Not Applicable,Not Applicable,total RNA,"RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.",NEB Next RNA First-strand synthesis and NEBNext Ultra Directional RNA Second strand synthesis were used. Remaining steps were performed using NEBNext Ultra II DNA library Prep kit  for Illumina.,9606,"The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq S4 lane using Xp protocol per manufacturer's recommendations.",Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using STAR v.2.7.3a.,Assembly: hg38,Supplementary files format and content: tab-delimited text file includes raw count data for each sample,GPL24676,"Sambasivarao,,Damaraju",sdamaraj@ualberta.ca,7807821469,Laboratory Medicine and Pathology,University of Alberta,11560 University Avenue,Edmonton,Alberta,T6G1Z2,Canada,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39735620,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23503985,NONE,Rectus abdominis muscle;Skeletal muscle tissue,Pancreas,CPS-High
AB_7,0.9508548263592074,0.9201363676682465,0.030718458690960904,0.36114316989660594,GSM8059493,"AB_7, Pancreas",GSM8059493,Public on Jul 15 2025,Feb 01 2024,Jul 15 2025,SRA,1,Skeletal muscle tissue,Homo sapiens,tissue: Rectus abdominis muscle,tissue: Skeletal muscle tissue,Not Applicable,Not Applicable,total RNA,"RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.",NEB Next RNA First-strand synthesis and NEBNext Ultra Directional RNA Second strand synthesis were used. Remaining steps were performed using NEBNext Ultra II DNA library Prep kit  for Illumina.,9606,"The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq S4 lane using Xp protocol per manufacturer's recommendations.",Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using STAR v.2.7.3a.,Assembly: hg38,Supplementary files format and content: tab-delimited text file includes raw count data for each sample,GPL24676,"Sambasivarao,,Damaraju",sdamaraj@ualberta.ca,7807821469,Laboratory Medicine and Pathology,University of Alberta,11560 University Avenue,Edmonton,Alberta,T6G1Z2,Canada,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39735619,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23503986,NONE,Rectus abdominis muscle;Skeletal muscle tissue,Pancreas,CPS-LowOrMid
AB_8,0.9057814728287972,0.8667168159701847,0.03906465685861249,0.3990829191108826,GSM8059494,"AB_8, Colorectal",GSM8059494,Public on Jul 15 2025,Feb 01 2024,Jul 15 2025,SRA,1,Skeletal muscle tissue,Homo sapiens,tissue: Rectus abdominis muscle,tissue: Skeletal muscle tissue,Not Applicable,Not Applicable,total RNA,"RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.",NEB Next RNA First-strand synthesis and NEBNext Ultra Directional RNA Second strand synthesis were used. Remaining steps were performed using NEBNext Ultra II DNA library Prep kit  for Illumina.,9606,"The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq S4 lane using Xp protocol per manufacturer's recommendations.",Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using STAR v.2.7.3a.,Assembly: hg38,Supplementary files format and content: tab-delimited text file includes raw count data for each sample,GPL24676,"Sambasivarao,,Damaraju",sdamaraj@ualberta.ca,7807821469,Laboratory Medicine and Pathology,University of Alberta,11560 University Avenue,Edmonton,Alberta,T6G1Z2,Canada,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39735618,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23503987,NONE,Rectus abdominis muscle;Skeletal muscle tissue,Colorectal,CPS-LowOrMid
AB_9,0.6439134625867925,0.9497965034777938,-0.30588304089100127,-1.1689638588084685,GSM8059495,"AB_9, Pancreas",GSM8059495,Public on Jul 15 2025,Feb 01 2024,Jul 15 2025,SRA,1,Skeletal muscle tissue,Homo sapiens,tissue: Rectus abdominis muscle,tissue: Skeletal muscle tissue,Not Applicable,Not Applicable,total RNA,"RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.",NEB Next RNA First-strand synthesis and NEBNext Ultra Directional RNA Second strand synthesis were used. Remaining steps were performed using NEBNext Ultra II DNA library Prep kit  for Illumina.,9606,"The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq S4 lane using Xp protocol per manufacturer's recommendations.",Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using STAR v.2.7.3a.,Assembly: hg38,Supplementary files format and content: tab-delimited text file includes raw count data for each sample,GPL24676,"Sambasivarao,,Damaraju",sdamaraj@ualberta.ca,7807821469,Laboratory Medicine and Pathology,University of Alberta,11560 University Avenue,Edmonton,Alberta,T6G1Z2,Canada,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39735617,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23503988,NONE,Rectus abdominis muscle;Skeletal muscle tissue,Pancreas,CPS-LowOrMid
AB_10,0.7689392586160787,0.5922144633444013,0.1767247952716774,1.0248518049296893,GSM8059496,"AB_10, Colorectal",GSM8059496,Public on Jul 15 2025,Feb 01 2024,Jul 15 2025,SRA,1,Skeletal muscle tissue,Homo sapiens,tissue: Rectus abdominis muscle,tissue: Skeletal muscle tissue,Not Applicable,Not Applicable,total RNA,"RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.",NEB Next RNA First-strand synthesis and NEBNext Ultra Directional RNA Second strand synthesis were used. Remaining steps were performed using NEBNext Ultra II DNA library Prep kit  for Illumina.,9606,"The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq S4 lane using Xp protocol per manufacturer's recommendations.",Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using STAR v.2.7.3a.,Assembly: hg38,Supplementary files format and content: tab-delimited text file includes raw count data for each sample,GPL24676,"Sambasivarao,,Damaraju",sdamaraj@ualberta.ca,7807821469,Laboratory Medicine and Pathology,University of Alberta,11560 University Avenue,Edmonton,Alberta,T6G1Z2,Canada,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39735616,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23503989,NONE,Rectus abdominis muscle;Skeletal muscle tissue,Colorectal,CPS-High
AB_11,1.3577635274026307,1.3086932090551844,0.04907031834744635,0.44456617747402744,GSM8059497,"AB_11, Colorectal",GSM8059497,Public on Jul 15 2025,Feb 01 2024,Jul 15 2025,SRA,1,Skeletal muscle tissue,Homo sapiens,tissue: Rectus abdominis muscle,tissue: Skeletal muscle tissue,Not Applicable,Not Applicable,total RNA,"RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.",NEB Next RNA First-strand synthesis and NEBNext Ultra Directional RNA Second strand synthesis were used. Remaining steps were performed using NEBNext Ultra II DNA library Prep kit  for Illumina.,9606,"The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq S4 lane using Xp protocol per manufacturer's recommendations.",Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using STAR v.2.7.3a.,Assembly: hg38,Supplementary files format and content: tab-delimited text file includes raw count data for each sample,GPL24676,"Sambasivarao,,Damaraju",sdamaraj@ualberta.ca,7807821469,Laboratory Medicine and Pathology,University of Alberta,11560 University Avenue,Edmonton,Alberta,T6G1Z2,Canada,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39735615,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23503990,NONE,Rectus abdominis muscle;Skeletal muscle tissue,Colorectal,CPS-LowOrMid
AB_12,0.6585054491375368,0.5690727607993733,0.08943268833816354,0.6280435122294923,GSM8059498,"AB_12, Colorectal",GSM8059498,Public on Jul 15 2025,Feb 01 2024,Jul 15 2025,SRA,1,Skeletal muscle tissue,Homo sapiens,tissue: Rectus abdominis muscle,tissue: Skeletal muscle tissue,Not Applicable,Not Applicable,total RNA,"RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.",NEB Next RNA First-strand synthesis and NEBNext Ultra Directional RNA Second strand synthesis were used. Remaining steps were performed using NEBNext Ultra II DNA library Prep kit  for Illumina.,9606,"The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq S4 lane using Xp protocol per manufacturer's recommendations.",Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using STAR v.2.7.3a.,Assembly: hg38,Supplementary files format and content: tab-delimited text file includes raw count data for each sample,GPL24676,"Sambasivarao,,Damaraju",sdamaraj@ualberta.ca,7807821469,Laboratory Medicine and Pathology,University of Alberta,11560 University Avenue,Edmonton,Alberta,T6G1Z2,Canada,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39735614,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23503991,NONE,Rectus abdominis muscle;Skeletal muscle tissue,Colorectal,CPS-High
