PCD_program,beta_PA_vs_PQ,SE,P_value,FDR,CI_low,CI_high
Pyroptosis,0.5901481249103991,0.21483054357065212,0.007427181862708134,0.07418433273413359,0.16908025951192102,1.0112159903088773
Disulfidptosis,0.5781935208560581,0.2209208256792444,0.010597761819161942,0.07418433273413359,0.14518870252473914,1.0111983391873771
Anoikis,0.49121761623557303,0.22375158263233644,0.0310348500397804,0.11390124441169389,0.05266451427619362,0.9297707181949524
Entosis,0.4660968998449294,0.21903340487062842,0.036417882848852445,0.11390124441169389,0.03679142629849774,0.8954023733913611
NETosis,0.4275249077784213,0.22133260185673276,0.05695062220584694,0.11390124441169389,-0.006286991860774915,0.8613368074176175
Lysosome_dependent_cell_death,0.22031321485373268,0.22865916288963378,0.3381998497890035,0.4734797897046049,-0.22785874440994952,0.6684851741174149
Necroptosis,0.19672580377062215,0.23252385866394953,0.40005083417989085,0.5091556071380429,-0.25902095921071894,0.6524725667519633
Apoptosis,0.13994026811236962,0.2188547582907075,0.5243760599308326,0.564712679925512,-0.289015058137417,0.5688955943621563
Oxeiptosis,0.03566433193804768,0.22286235330149665,0.8732619830053506,0.8732619830053506,-0.40114588053288575,0.4724745444089811
Autophagy,-0.1504459854250558,0.21594517191171655,0.48801874565127124,0.564712679925512,-0.5736985223720202,0.2728065515219087
Alkaliptosis,-0.23373443720341472,0.22473956674472353,0.3014620243258034,0.4689409267290275,-0.6742239880230728,0.2067551136162434
Ferroptosis,-0.35944918886955557,0.21922781391631943,0.1050120238462597,0.18377104173095446,-0.7891357041455416,0.07023732640643049
Cuproptosis,-0.45063216560759944,0.22958607864341285,0.05314503206404037,0.11390124441169389,-0.9006208797486885,-6.43451466510292e-4
Parthanatos,-0.4577235274885327,0.22610392633688403,0.04626664376173579,0.11390124441169389,-0.9008872231088254,-0.014559831868240003
