role,path,sha256,exists,current_sha256,hash_matches
raw_expression,data/raw/RNA_seq/GSE254877_raw_counts_expression.csv,fb4014d6eff82493c5c13f6eb44588a10253b12c0f3b7a319f21ff836d5c2e23,TRUE,fb4014d6eff82493c5c13f6eb44588a10253b12c0f3b7a319f21ff836d5c2e23,TRUE
final_K4_labels,results/intNMF_reproducible_two_block/two_block_final_K4_labels.csv,949e88172c7cda21b0191f37177b841a1545aacaf71e539cc1269cea224e8b59,TRUE,949e88172c7cda21b0191f37177b841a1545aacaf71e539cc1269cea224e8b59,TRUE
PCD_gene_set_definition,scripts/fig1/01_expression_inputs/pcd_gene_sets.csv,9cbcdd27763b220e8552a4d0ddce3c6d1fa6c40e42a9f1f920220eca8fc1638b,TRUE,9cbcdd27763b220e8552a4d0ddce3c6d1fa6c40e42a9f1f920220eca8fc1638b,TRUE
generated_output,results/fig1_inputs/generated/GSE254877_14PCD_gene_set_audit.csv,78b8e37d43f19b761bf1ae5e09f15e2131c3406c8e51bf41f80b00c9fa926607,TRUE,78b8e37d43f19b761bf1ae5e09f15e2131c3406c8e51bf41f80b00c9fa926607,TRUE
generated_output,results/fig1_inputs/generated/GSE254877_14PCD_ssGSEA_zscores.csv,ec1ac5de2ab49cf704bc2c9e1b96434d8dd7ce4bdf0e2679cc75d52019298ea1,TRUE,ec1ac5de2ab49cf704bc2c9e1b96434d8dd7ce4bdf0e2679cc75d52019298ea1,TRUE
generated_output,results/fig1_inputs/generated/GSE254877_pyroptosis_marker_gene_zmatrix.csv,7236249dd40519d8aa551ddefd9ca152d85a14349cf51dc3e2a99b132cae4954,TRUE,7236249dd40519d8aa551ddefd9ca152d85a14349cf51dc3e2a99b132cae4954,TRUE
raw_RNA,data/raw/RNA_seq/GSE254877_raw_counts_expression.csv,fb4014d6eff82493c5c13f6eb44588a10253b12c0f3b7a319f21ff836d5c2e23,TRUE,fb4014d6eff82493c5c13f6eb44588a10253b12c0f3b7a319f21ff836d5c2e23,TRUE
raw_lncRNA,data/raw/lncRNA_seq/GSE254877_lncRNA_raw_counts_expression.csv,cb2f29335d6d8ce64ff64e46d5b423fca8a5eefc1c1412c91e52969ac2d1be6b,TRUE,cb2f29335d6d8ce64ff64e46d5b423fca8a5eefc1c1412c91e52969ac2d1be6b,TRUE
raw_smallRNA,data/raw/small_RNA_seq/GSE254878_smallRNAs_raw_counts_expression.csv,aa58f4b378c2f7184fbfb213fadb992915065c8a88453cd962334c4f0121af3c,TRUE,aa58f4b378c2f7184fbfb213fadb992915065c8a88453cd962334c4f0121af3c,TRUE
GEO_phenotype,data/raw/RNA_seq/GSE254877_pheno.csv,e4bf0a6a54df00c2c5885223c3f78895437fabcdc7fecc552fa3dc5c4463f012,TRUE,e4bf0a6a54df00c2c5885223c3f78895437fabcdc7fecc552fa3dc5c4463f012,TRUE
locked_feature_spec,scripts/fig1/01_expression_inputs/locked_intnmf_feature_spec.csv,675acefd234a9ef1ec89608cece1db8be59f8968b4abf08771e78d03c560ae5b,TRUE,675acefd234a9ef1ec89608cece1db8be59f8968b4abf08771e78d03c560ae5b,TRUE
generated_metadata,results/fig1_inputs/generated/intNMF_sample_metadata.csv,821f5340375efa31dc0e265deac2a9a26cbf92e5d31de70497b715b614d123c5,TRUE,821f5340375efa31dc0e265deac2a9a26cbf92e5d31de70497b715b614d123c5,TRUE
generated_intNMF_input,results/fig1_inputs/generated/two_block_intNMF_inputs.rds,9f85cbf5037107fbe845c600bab27d664e80fbcb635f456a9c81820a2d2b41ea,TRUE,9f85cbf5037107fbe845c600bab27d664e80fbcb635f456a9c81820a2d2b41ea,TRUE
generated_QC,results/fig1_inputs/generated/two_block_sample_QC.csv,5b1104b37525e777a45540a1f04e2c9deca86e310e82a40a2cf18e3e179e3a3c,TRUE,5b1104b37525e777a45540a1f04e2c9deca86e310e82a40a2cf18e3e179e3a3c,TRUE
model_input,results/fig1_inputs/generated/two_block_intNMF_inputs.rds,9f85cbf5037107fbe845c600bab27d664e80fbcb635f456a9c81820a2d2b41ea,TRUE,9f85cbf5037107fbe845c600bab27d664e80fbcb635f456a9c81820a2d2b41ea,TRUE
sample_metadata,results/fig1_inputs/generated/intNMF_sample_metadata.csv,821f5340375efa31dc0e265deac2a9a26cbf92e5d31de70497b715b614d123c5,TRUE,821f5340375efa31dc0e265deac2a9a26cbf92e5d31de70497b715b614d123c5,TRUE
locked_feature_spec,scripts/fig1/01_expression_inputs/locked_intnmf_feature_spec.csv,675acefd234a9ef1ec89608cece1db8be59f8968b4abf08771e78d03c560ae5b,TRUE,675acefd234a9ef1ec89608cece1db8be59f8968b4abf08771e78d03c560ae5b,TRUE
CPI_runs,results/intNMF_reproducible_two_block/CPI_all_runs.csv,aa9cefb7a4de8e56e209e7d7f0a69265cb6d67d694a69564e0d5807b279eabe7,TRUE,aa9cefb7a4de8e56e209e7d7f0a69265cb6d67d694a69564e0d5807b279eabe7,TRUE
CPI_summary,results/intNMF_reproducible_two_block/CPI_summary.csv,8665e9b07ac716894919db61cbc9874ca2fc003143365134cc60e65e0c1991fb,TRUE,8665e9b07ac716894919db61cbc9874ca2fc003143365134cc60e65e0c1991fb,TRUE
final_fit,results/intNMF_reproducible_two_block/final_fit.rds,356ce2ea006769669ea744f4fe53b820694eee96e1239f9d0fbd0f944fe10fa2,TRUE,356ce2ea006769669ea744f4fe53b820694eee96e1239f9d0fbd0f944fe10fa2,TRUE
raw_cluster_labels,results/intNMF_reproducible_two_block/final_labels.csv,da2970aa506779503279ca10cc6ee0ffdb8b4652284c8185e0372f450f6bcde8,TRUE,da2970aa506779503279ca10cc6ee0ffdb8b4652284c8185e0372f450f6bcde8,TRUE
final_consensus,results/intNMF_reproducible_two_block/final_consensus_matrix.csv,697909822ce91615a83fd74b8229df95d597ec44e9bfda6a80bf6212afe05f5a,TRUE,697909822ce91615a83fd74b8229df95d597ec44e9bfda6a80bf6212afe05f5a,TRUE
stability_summary,results/intNMF_reproducible_two_block/reproducibility_summary.csv,d622c185ab4665e32eb0267ea64eb3869159cfc66523e789d742ec0874a96d23,TRUE,d622c185ab4665e32eb0267ea64eb3869159cfc66523e789d742ec0874a96d23,TRUE
raw_K4_labels,results/intNMF_reproducible_two_block/final_labels.csv,da2970aa506779503279ca10cc6ee0ffdb8b4652284c8185e0372f450f6bcde8,TRUE,da2970aa506779503279ca10cc6ee0ffdb8b4652284c8185e0372f450f6bcde8,TRUE
pyroptosis_module_scores,results/fig1_final/all84_pyro_module_Euclidean_K2_main/all84_pyro_module_scores_by_sample.csv,ecf127ca927dad32c633cfecf6697d266cfb6e5b8c5b6275d07603bb96a30ef0,TRUE,ecf127ca927dad32c633cfecf6697d266cfb6e5b8c5b6275d07603bb96a30ef0,TRUE
heldout_validation_scores,results/fig1_final/all84_pyro_module_Euclidean_K2_main/all84_K2_validation_scores_by_sample.csv,96a45dac044b4e47fd95caf372de40054d9f79efdf4d0d22e26b0a1543eb12ae,TRUE,96a45dac044b4e47fd95caf372de40054d9f79efdf4d0d22e26b0a1543eb12ae,TRUE
annotation_audit,results/intNMF_reproducible_two_block/K4_PA_PQ_annotation_audit.csv,a9ef7541b1fa099f73643bec4c9dd1e530460d5b1df2473cc31949cf46d54907,TRUE,a9ef7541b1fa099f73643bec4c9dd1e530460d5b1df2473cc31949cf46d54907,TRUE
annotated_K4_labels,results/intNMF_reproducible_two_block/two_block_final_K4_labels.csv,949e88172c7cda21b0191f37177b841a1545aacaf71e539cc1269cea224e8b59,TRUE,949e88172c7cda21b0191f37177b841a1545aacaf71e539cc1269cea224e8b59,TRUE
