program,n_defined,n_present,genes_defined,genes_present,source_reference
Alkaliptosis,5,5,NFATC2;CA9;SLC9A1;ATP6V1A;ATP6V0D1,NFATC2;CA9;SLC9A1;ATP6V1A;ATP6V0D1,Song_2018_Nat_Commun_10.1038/s41467-018-06599-2
Anoikis,8,7,BMF;BIM;BCL2L11;ITGB1;PTK2;CAV1;PIK3CA;AKT1,BMF;BCL2L11;ITGB1;PTK2;CAV1;PIK3CA;AKT1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Apoptosis,9,9,BAX;BAK1;CASP3;CASP7;CASP8;CASP9;APAF1;FAS;FADD,BAX;BAK1;CASP3;CASP7;CASP8;CASP9;APAF1;FAS;FADD,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Autophagy,8,8,BECN1;ATG5;ATG7;ATG12;ATG16L1;MAP1LC3B;SQSTM1;ULK1,BECN1;ATG5;ATG7;ATG12;ATG16L1;MAP1LC3B;SQSTM1;ULK1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Cuproptosis,7,7,FDX1;LIAS;LIPT1;DLD;DLAT;PDHA1;PDHB,FDX1;LIAS;LIPT1;DLD;DLAT;PDHA1;PDHB,Tsvetkov_2022_Science_10.1126/science.abf0529
Disulfidptosis,7,6,SLC7A11;SLC3A2;RAC1;WAVE2;NCKAP1;CYFIP1;ACTB,SLC7A11;SLC3A2;RAC1;NCKAP1;CYFIP1;ACTB,Liu_2023_Nat_Cell_Biol_10.1038/s41556-023-01091-2
Entosis,6,6,RHOA;ROCK1;ROCK2;CDH1;CTNNA1;CTNNB1,RHOA;ROCK1;ROCK2;CDH1;CTNNA1;CTNNB1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Ferroptosis,8,8,ACSL4;LPCAT3;SLC7A11;GPX4;TFRC;ALOX15;NFE2L2;FTH1,ACSL4;LPCAT3;SLC7A11;GPX4;TFRC;ALOX15;NFE2L2;FTH1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Lysosome_dependent_cell_death,7,7,CTSB;CTSD;CTSL;LAMP1;LAMP2;MCOLN1;CAPN1,CTSB;CTSD;CTSL;LAMP1;LAMP2;MCOLN1;CAPN1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Necroptosis,7,7,RIPK1;RIPK3;MLKL;TNF;FAS;FADD;ZBP1,RIPK1;RIPK3;MLKL;TNF;FAS;FADD;ZBP1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
NETosis,7,6,PADI4;ELANE;MPO;CTSG;PRTN3;CYBB;NCF1,PADI4;ELANE;MPO;CTSG;CYBB;NCF1,Papayannopoulos_2018_Nat_Rev_Immunol_10.1038/nri.2017.105
Oxeiptosis,5,5,KEAP1;PGAM5;AIFM1;NFE2L2;HMOX1,KEAP1;PGAM5;AIFM1;NFE2L2;HMOX1,Holze_2018_Nat_Immunol_10.1038/s41590-017-0013-y
Parthanatos,5,5,PARP1;AIFM1;MIF;HMGB1;XRCC1,PARP1;AIFM1;MIF;HMGB1;XRCC1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Pyroptosis,12,12,NLRP1;NLRP3;NLRC4;AIM2;PYCARD;CASP1;CASP4;CASP5;GSDMD;GSDME;IL1B;IL18,NLRP1;NLRP3;NLRC4;AIM2;PYCARD;CASP1;CASP4;CASP5;GSDMD;GSDME;IL1B;IL18,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
