sample_id,Alkaliptosis,Anoikis,Apoptosis,Autophagy,Cuproptosis,Disulfidptosis,Entosis,Ferroptosis,Lysosome_dependent_cell_death,Necroptosis,NETosis,Oxeiptosis,Parthanatos,Pyroptosis,adjusted_two_block_K4,geo_accession,title,subgroup
AB_1,-1.2881191276439503,0.5272744130265752,-0.5536578864170846,-0.37354395172887805,0.8514124189453268,-0.7177191679293525,-0.9630663084860078,0.3942441715530991,-0.27763759323402804,-0.5560133584153717,0.20772116496149307,-0.9553136397543975,1.480402036413983,-0.6554675308712457,C1,GSM8059487,"AB_1, Colorectal",Colorectal
AB_2,0.552256953531715,1.8748448741705603,0.8881112796818452,-1.4660788910717466,-1.6669197532451923,1.3066082979033768,2.0135500392742562,-0.12350438483858768,-0.22990467505212903,0.8611402406558475,-0.9289439075259212,-1.504098742154124,-1.1848547757410939,0.06836242414987168,C2,GSM8059488,"AB_2, Colorectal",Colorectal
AB_3,1.3585374395652872,-2.2612457813003,-1.1276629470017847,-0.43302949442586325,-0.35986883776944195,1.1224808319846322,0.35916103506003827,1.6004330874339963,-0.15948757242411926,1.9470925793771139,0.12017423486937112,1.67988345586297,-1.118704068220713,1.5779950893255905,C3,GSM8059489,"AB_3, Pancreas",Pancreas
AB_4,0.1793122445830998,-0.7892269328807995,0.5613379053921207,-0.5059214231618507,0.5876540352539819,-1.495397849192698,-0.28611035056273865,0.9833984977908722,0.1968175247489546,0.7185516963711694,-0.15796331159305488,-0.4793125892023408,0.5098639324226204,-0.29310378654630503,C1,GSM8059490,"AB_4, Pancreas",Pancreas
AB_5,-1.2896468066914226,0.34106243554379034,-1.2711156118490314,-0.21772471767495175,0.4062240596201982,-0.38607513363924073,-0.6994055341283918,-0.352668025034635,-0.18403308125827098,-0.9104821961588331,-0.6305364710824006,0.4647914039485034,0.23202317890360927,-0.23252776562309455,C2,GSM8059491,"AB_5, Pancreas",Pancreas
AB_6,1.622921995560759,-1.268484050080746,0.9791291434972075,-1.5610864736281092,-0.2592794406380344,1.523803847402079,1.0356950570649792,2.7515331880294926,2.3418028707982996,1.5692410152584095,0.8112481447297182,1.1174285249625169,-0.6196612163941126,2.390162095465024,C3,GSM8059492,"AB_6, Pancreas",Pancreas
AB_7,-0.6542337234980448,-0.7009617394636437,-0.5838428803462408,-1.2313364216649836,1.2098669810616438,0.5911448756534861,-0.061479077393570815,-0.2180325021443422,-0.6251865543256951,-0.1568495733253378,-0.17155867539880537,0.46166176490424,0.07936691444965024,1.0715527231795225,C2,GSM8059493,"AB_7, Pancreas",Pancreas
AB_8,0.207915418505091,-0.4558177147126288,0.5197409135610926,0.5431803887992848,-0.4174182161803548,0.28238973631695596,-0.12959760248280217,0.1300825956182824,-0.2348784533368416,2.3009750234413286,1.4747299804621488,-0.4491679066570579,0.28510565551342204,0.31085325697976446,C4,GSM8059494,"AB_8, Colorectal",Colorectal
AB_9,-0.7150368471830567,0.8510907014202415,-0.6772968864579162,0.6593757557708438,-0.2427604064001142,0.7516594456622842,0.9912404635756117,-0.16342943440844407,-0.7168504390323065,0.20259154400625462,0.12413565398017058,0.7281616141446808,-0.0814025173314266,-0.8177011872414457,C3,GSM8059495,"AB_9, Pancreas",Pancreas
AB_10,0.8157404022297271,0.22935868670721826,0.9000356771577662,0.2960107037728358,0.5621414177869155,-0.44919490005419255,-0.9469979145112469,-1.2972783872467804,-1.042519940316537,0.9918036668411669,0.259596139572516,0.4695246378671254,0.4356071603395649,0.15450905384761698,C1,GSM8059496,"AB_10, Colorectal",Colorectal
