sample_id,geo_accession,title,subgroup
AB_1,GSM8059487,"AB_1, Colorectal",Colorectal
AB_2,GSM8059488,"AB_2, Colorectal",Colorectal
AB_3,GSM8059489,"AB_3, Pancreas",Pancreas
AB_4,GSM8059490,"AB_4, Pancreas",Pancreas
AB_5,GSM8059491,"AB_5, Pancreas",Pancreas
AB_6,GSM8059492,"AB_6, Pancreas",Pancreas
AB_7,GSM8059493,"AB_7, Pancreas",Pancreas
AB_8,GSM8059494,"AB_8, Colorectal",Colorectal
AB_9,GSM8059495,"AB_9, Pancreas",Pancreas
AB_10,GSM8059496,"AB_10, Colorectal",Colorectal
AB_11,GSM8059497,"AB_11, Colorectal",Colorectal
AB_12,GSM8059498,"AB_12, Colorectal",Colorectal
AB_13,GSM8059499,"AB_13, Pancreas",Pancreas
AB_14,GSM8059500,"AB_14, Colorectal",Colorectal
AB_15,GSM8059501,"AB_15, Colorectal",Colorectal
AB_16,GSM8059502,"AB_16, Pancreas",Pancreas
AB_17,GSM8059503,"AB_17, Pancreas",Pancreas
AB_18,GSM8059504,"AB_18, Colorectal",Colorectal
AB_19,GSM8059505,"AB_19, Pancreas",Pancreas
AB_20,GSM8059506,"AB_20, Pancreas",Pancreas
AB_21,GSM8059507,"AB_21, Pancreas",Pancreas
AB_22,GSM8059508,"AB_22, Colorectal",Colorectal
AB_23,GSM8059509,"AB_23, Pancreas",Pancreas
AB_24,GSM8059510,"AB_24, Pancreas",Pancreas
AB_25,GSM8059511,"AB_25, Colorectal",Colorectal
AB_26,GSM8059512,"AB_26, Pancreas",Pancreas
AB_27,GSM8059513,"AB_27, Colorectal",Colorectal
AB_28,GSM8059514,"AB_28, Pancreas",Pancreas
AB_29,GSM8059515,"AB_29, Colorectal",Colorectal
AB_30,GSM8059516,"AB_30, Colorectal",Colorectal
AB_31,GSM8059517,"AB_31, Pancreas",Pancreas
AB_32,GSM8059518,"AB_32, Colorectal",Colorectal
AB_33,GSM8059519,"AB_33, Colorectal",Colorectal
AB_34,GSM8059520,"AB_34, Pancreas",Pancreas
AB_35,GSM8059521,"AB_35, Colorectal",Colorectal
AB_36,GSM8059522,"AB_36, Pancreas",Pancreas
AB_37,GSM8059523,"AB_37, Colorectal",Colorectal
AB_38,GSM8059524,"AB_38, Colorectal",Colorectal
AB_39,GSM8059525,"AB_39, Pancreas",Pancreas
AB_40,GSM8059526,"AB_40, Colorectal",Colorectal
AB_41,GSM8059527,"AB_41, Pancreas",Pancreas
AB_42,GSM8059528,"AB_42, Pancreas",Pancreas
AB_43,GSM8059529,"AB_43, Colorectal",Colorectal
AB_44,GSM8059530,"AB_44, Pancreas",Pancreas
AB_45,GSM8059531,"AB_45, Pancreas",Pancreas
AB_46,GSM8059532,"AB_46, Pancreas",Pancreas
AB_47,GSM8059533,"AB_47, Colorectal",Colorectal
AB_48,GSM8059534,"AB_48, Colorectal",Colorectal
AB_49,GSM8059535,"AB_49, Pancreas",Pancreas
AB_50,GSM8059536,"AB_50, Pancreas",Pancreas
AB_51,GSM8059537,"AB_51, Colorectal",Colorectal
AB_52,GSM8059538,"AB_52, Colorectal",Colorectal
AB_53,GSM8059539,"AB_53, Pancreas",Pancreas
AB_54,GSM8059540,"AB_54, Colorectal",Colorectal
AB_55,GSM8059541,"AB_55, Pancreas",Pancreas
AB_56,GSM8059542,"AB_56, Colorectal",Colorectal
AB_57,GSM8059543,"AB_57, Colorectal",Colorectal
AB_58,GSM8059544,"AB_58, Pancreas",Pancreas
AB_59,GSM8059545,"AB_59, Colorectal",Colorectal
AB_60,GSM8059546,"AB_60, Colorectal",Colorectal
AB_61,GSM8059547,"AB_61, Colorectal",Colorectal
AB_62,GSM8059548,"AB_62, Colorectal",Colorectal
AB_63,GSM8059549,"AB_63, Pancreas",Pancreas
AB_64,GSM8059550,"AB_64, Colorectal",Colorectal
AB_65,GSM8059551,"AB_65, Colorectal",Colorectal
AB_66,GSM8059552,"AB_66, Pancreas",Pancreas
AB_67,GSM8059553,"AB_67, Colorectal",Colorectal
AB_68,GSM8059554,"AB_68, Colorectal",Colorectal
AB_69,GSM8059555,"AB_69, Pancreas",Pancreas
AB_70,GSM8059556,"AB_70, Colorectal",Colorectal
AB_71,GSM8059557,"AB_71, Colorectal",Colorectal
AB_72,GSM8059558,"AB_72, Colorectal",Colorectal
AB_73,GSM8059559,"AB_73, Colorectal",Colorectal
AB_74,GSM8059560,"AB_74, Colorectal",Colorectal
AB_75,GSM8059561,"AB_75, Pancreas",Pancreas
AB_76,GSM8059562,"AB_76, Colorectal",Colorectal
AB_77,GSM8059563,"AB_77, Colorectal",Colorectal
AB_78,GSM8059564,"AB_78, Pancreas",Pancreas
AB_79,GSM8059565,"AB_79, Pancreas",Pancreas
AB_80,GSM8059566,"AB_80, Colorectal",Colorectal
AB_81,GSM8059567,"AB_81, Colorectal",Colorectal
AB_82,GSM8059568,"AB_82, Pancreas",Pancreas
AB_83,GSM8059569,"AB_83, Colorectal",Colorectal
AB_84,GSM8059570,"AB_84, Pancreas",Pancreas
