sample_id,RNA_library_size,log10_RNA_library_size,RNA_detected_features,RNA_zero_fraction,lncRNA_library_size,log10_lncRNA_library_size,lncRNA_detected_features,lncRNA_zero_fraction,smallRNA_library_size,log10_smallRNA_library_size,smallRNA_detected_features,smallRNA_zero_fraction,geo_accession,title,subgroup
AB_1,27996737,7.447107433087672,17810,0.0826207891212527,611845,5.786642125141582,3058,0.2717313646106216,1950418,6.29012791897312,1643,0.41467759173494834,GSM8059487,"AB_1, Colorectal",Colorectal
AB_2,20058541,7.302299362165612,19079,0.017255588750386318,762005,5.8819583909677275,4049,0.0357227911407478,1595736,6.202961315046846,1556,0.44567153544709653,GSM8059488,"AB_2, Colorectal",Colorectal
AB_3,22088837,7.344172870083228,18881,0.02745441434016689,547873,5.738680690972299,3962,0.05644201000238152,2624616,6.419065937485874,1834,0.34663341645885287,GSM8059489,"AB_3, Pancreas",Pancreas
AB_4,42121675,7.624505643213129,17518,0.09766148140517153,826165,5.917067318071915,2959,0.2953084067635151,1993783,6.2996781064885194,1685,0.39971499821873885,GSM8059490,"AB_4, Pancreas",Pancreas
AB_5,28370662,7.452869485033675,17098,0.11929535386834243,544370,5.735894981198012,2608,0.378899738032865,3509972,6.545303775726191,2077,0.2600641254007838,GSM8059491,"AB_5, Pancreas",Pancreas
AB_6,26203871,7.418365469334568,18178,0.06366539610590295,724758,5.860193617095084,3395,0.1914741605144082,5001350,6.69908733485439,1991,0.29070181688635555,GSM8059492,"AB_6, Pancreas",Pancreas
AB_7,32165744,7.507393614671319,18182,0.06345935922530133,715011,5.8543133305983535,3512,0.16361038342462492,2374409,6.375555712665507,1817,0.35268970431065194,GSM8059493,"AB_7, Pancreas",Pancreas
AB_8,55165423,7.741666960503472,16607,0.14458638096219223,1252710,6.097850890960757,2274,0.4584424863062634,3850912,6.585563707133059,1960,0.30174563591022446,GSM8059494,"AB_8, Colorectal",Colorectal
AB_9,45243952,7.655560542563921,18508,0.04666735345626867,1444125,6.159605087082264,3685,0.12241009764229578,2431711,6.385912137945583,1716,0.38867117919487,GSM8059495,"AB_9, Pancreas",Pancreas
AB_10,23629801,7.3734600825859165,18422,0.051097146389203665,451830,5.654976024430908,3581,0.14717789949988092,2568790,6.409728770969695,1963,0.3006768792304952,GSM8059496,"AB_10, Colorectal",Colorectal
AB_11,36322084,7.560170770410856,18807,0.031266096631297,1281557,6.107738266009881,3803,0.09430816861157418,3049431,6.484218953367097,1931,0.31207695048094053,GSM8059497,"AB_11, Colorectal",Colorectal
AB_12,19366307,7.2870468345520845,18326,0.05604203152364273,376159,5.575372611780864,3668,0.1264586806382472,1478477,6.169814866535665,1550,0.44780904880655503,GSM8059498,"AB_12, Colorectal",Colorectal
AB_13,23228104,7.3660137805444075,18275,0.05866900175131348,665219,5.8229652979122815,3572,0.1493212669683258,6095256,6.7849920219033395,2026,0.278232988956181,GSM8059499,"AB_13, Pancreas",Pancreas
AB_14,49022464,7.690395145124597,18943,0.02426084269084166,1181995,6.0726160068490715,3944,0.06072874493927125,5527712,6.742545486292339,2111,0.2479515496971856,GSM8059500,"AB_14, Colorectal",Colorectal
AB_15,54660951,7.737677191292726,16642,0.14278355825692798,1273276,6.104922894215336,2283,0.45629911883781854,5473769,6.738286545023433,2014,0.282508015675098,GSM8059501,"AB_15, Colorectal",Colorectal
AB_16,10489630,7.020760211026496,19051,0.018697846914597714,312548,5.49491811371658,4101,0.02333889021195523,5956186,6.774968324371143,2076,0.26042037762736014,GSM8059502,"AB_16, Pancreas",Pancreas
AB_17,47056984,7.672624097939675,19095,0.016431441227979807,1085003,6.0354313392672445,4087,0.026673017385091688,1808935,6.257423201830226,1626,0.4207338795867474,GSM8059503,"AB_17, Pancreas",Pancreas
AB_18,31383809,7.4967056658772355,19186,0.011744102194292779,789511,5.897358735350237,4142,0.013574660633484163,3790190,6.57866109602505,1897,0.32418952618453867,GSM8059504,"AB_18, Colorectal",Colorectal
AB_19,22442134,7.351064170525865,19015,0.020552178840012363,718669,5.856529516143252,4052,0.03500833531793284,1767339,6.247320106903224,1654,0.41075881724260777,GSM8059505,"AB_19, Pancreas",Pancreas
AB_20,23942761,7.379174248500171,17231,0.11244462758833831,594088,5.773851511165565,2799,0.3334127173136461,2763712,6.4414929413838236,1901,0.32276451727823297,GSM8059506,"AB_20, Pancreas",Pancreas
AB_21,23220214,7.365866236629141,17844,0.08086947563613887,596539,5.775639569878691,3231,0.23053107882829246,1714891,6.234236774360736,1615,0.424652654079088,GSM8059507,"AB_21, Pancreas",Pancreas
AB_22,33356755,7.523183808158637,18666,0.03852889667250438,857867,5.933420468172921,3734,0.11074065253631817,3652894,6.562637188889722,1740,0.380121125757036,GSM8059508,"AB_22, Colorectal",Colorectal
AB_23,33653631,7.527031941440788,19248,0.00855053054496755,864908,5.936970416277718,4167,0.0076208621100261964,2078119,6.317670622062887,1610,0.42643391521197005,GSM8059509,"AB_23, Pancreas",Pancreas
AB_24,20058287,7.302293862688289,19168,0.012671268157000103,587370,5.768912500493077,4129,0.016670635865682307,7721028,6.8876751836571835,2044,0.2718204488778055,GSM8059510,"AB_24, Pancreas",Pancreas
AB_25,46306848,7.6656452299580335,17100,0.11919233542804161,1036035,6.015374846461059,2606,0.3793760419147416,2253017,6.35276466143952,1671,0.4047025293908087,GSM8059511,"AB_25, Colorectal",Colorectal
AB_26,30504509,7.4843640532259545,16333,0.15869990728340372,507526,5.705459151292838,2059,0.5096451536080019,5394121,6.731920764758254,2086,0.256857855361596,GSM8059512,"AB_26, Pancreas",Pancreas
AB_27,30118854,7.478838457680266,18625,0.04064077469867106,717614,5.8558915080030705,3760,0.10454870207192189,2887522,6.460525452201777,1894,0.3252582828642679,GSM8059513,"AB_27, Colorectal",Colorectal
AB_28,19710295,7.294693146359675,17584,0.09426187287524466,514389,5.711292517095339,3112,0.25887115979995234,2424273,6.384581703762844,1648,0.41289633060206626,GSM8059514,"AB_28, Pancreas",Pancreas
AB_29,28380328,7.453017425725273,18765,0.033429483877614095,670732,5.826549674113632,3855,0.08192426768278162,4032788,6.6056054998323415,1872,0.33309583184894903,GSM8059515,"AB_29, Colorectal",Colorectal
