sample_id,seed_11,seed_23,seed_37,seed_41,seed_53,seed_67,seed_79,seed_83,seed_97,seed_101,seed_113,seed_127,seed_139,seed_149,seed_163,seed_173,seed_181,seed_193,seed_211,seed_227
AB_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AB_2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AB_3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
AB_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AB_5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AB_6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
AB_7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AB_8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
AB_9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
AB_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AB_11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AB_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AB_13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
AB_14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AB_15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
AB_16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
AB_17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
AB_18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
AB_19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
