run,seed_11,seed_23,seed_37,seed_41,seed_53,seed_67,seed_79,seed_83,seed_97,seed_101,seed_113,seed_127,seed_139,seed_149,seed_163,seed_173,seed_181,seed_193,seed_211,seed_227
seed_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_211,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seed_227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
