seed,K,mean_silhouette,cophenetic_correlation,dispersion,cluster_sizes
11,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
23,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
37,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
41,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
53,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
67,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
79,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
83,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
97,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
101,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
113,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
127,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
139,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
149,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
163,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
173,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
181,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
193,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
211,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
227,4,0.9586393883341165,0.9973021529982302,0.9394963668317298,27;20;14;23
