sample_id,adjusted_two_block_K4,geo_accession,title,subgroup,PA_PQ,reproducible_two_block_cluster
AB_1,C1,GSM8059487,"AB_1, Colorectal",Colorectal,PQ,C1
AB_2,C2,GSM8059488,"AB_2, Colorectal",Colorectal,PA,C3
AB_3,C3,GSM8059489,"AB_3, Pancreas",Pancreas,PQ,C4
AB_4,C1,GSM8059490,"AB_4, Pancreas",Pancreas,PQ,C1
AB_5,C2,GSM8059491,"AB_5, Pancreas",Pancreas,PA,C3
AB_6,C3,GSM8059492,"AB_6, Pancreas",Pancreas,PQ,C4
AB_7,C2,GSM8059493,"AB_7, Pancreas",Pancreas,PA,C3
AB_8,C4,GSM8059494,"AB_8, Colorectal",Colorectal,PA,C2
AB_9,C3,GSM8059495,"AB_9, Pancreas",Pancreas,PQ,C4
AB_10,C1,GSM8059496,"AB_10, Colorectal",Colorectal,PQ,C1
AB_11,C2,GSM8059497,"AB_11, Colorectal",Colorectal,PA,C3
AB_12,C1,GSM8059498,"AB_12, Colorectal",Colorectal,PQ,C1
AB_13,C3,GSM8059499,"AB_13, Pancreas",Pancreas,PQ,C4
AB_14,C1,GSM8059500,"AB_14, Colorectal",Colorectal,PQ,C1
AB_15,C4,GSM8059501,"AB_15, Colorectal",Colorectal,PA,C2
AB_16,C4,GSM8059502,"AB_16, Pancreas",Pancreas,PA,C2
AB_17,C4,GSM8059503,"AB_17, Pancreas",Pancreas,PA,C2
AB_18,C4,GSM8059504,"AB_18, Colorectal",Colorectal,PA,C2
AB_19,C3,GSM8059505,"AB_19, Pancreas",Pancreas,PQ,C4
AB_20,C1,GSM8059506,"AB_20, Pancreas",Pancreas,PQ,C1
AB_21,C3,GSM8059507,"AB_21, Pancreas",Pancreas,PQ,C4
AB_22,C1,GSM8059508,"AB_22, Colorectal",Colorectal,PQ,C1
AB_23,C4,GSM8059509,"AB_23, Pancreas",Pancreas,PA,C2
AB_24,C4,GSM8059510,"AB_24, Pancreas",Pancreas,PA,C2
AB_25,C4,GSM8059511,"AB_25, Colorectal",Colorectal,PA,C2
AB_26,C4,GSM8059512,"AB_26, Pancreas",Pancreas,PA,C2
AB_27,C3,GSM8059513,"AB_27, Colorectal",Colorectal,PQ,C4
AB_28,C3,GSM8059514,"AB_28, Pancreas",Pancreas,PQ,C4
AB_29,C3,GSM8059515,"AB_29, Colorectal",Colorectal,PQ,C4
AB_30,C3,GSM8059516,"AB_30, Colorectal",Colorectal,PQ,C4
AB_31,C3,GSM8059517,"AB_31, Pancreas",Pancreas,PQ,C4
AB_32,C3,GSM8059518,"AB_32, Colorectal",Colorectal,PQ,C4
AB_33,C3,GSM8059519,"AB_33, Colorectal",Colorectal,PQ,C4
AB_34,C3,GSM8059520,"AB_34, Pancreas",Pancreas,PQ,C4
AB_35,C4,GSM8059521,"AB_35, Colorectal",Colorectal,PA,C2
AB_36,C2,GSM8059522,"AB_36, Pancreas",Pancreas,PA,C3
AB_37,C1,GSM8059523,"AB_37, Colorectal",Colorectal,PQ,C1
AB_38,C1,GSM8059524,"AB_38, Colorectal",Colorectal,PQ,C1
AB_39,C2,GSM8059525,"AB_39, Pancreas",Pancreas,PA,C3
AB_40,C3,GSM8059526,"AB_40, Colorectal",Colorectal,PQ,C4
AB_41,C2,GSM8059527,"AB_41, Pancreas",Pancreas,PA,C3
AB_42,C1,GSM8059528,"AB_42, Pancreas",Pancreas,PQ,C1
AB_43,C3,GSM8059529,"AB_43, Colorectal",Colorectal,PQ,C4
AB_44,C4,GSM8059530,"AB_44, Pancreas",Pancreas,PA,C2
AB_45,C2,GSM8059531,"AB_45, Pancreas",Pancreas,PA,C3
AB_46,C2,GSM8059532,"AB_46, Pancreas",Pancreas,PA,C3
AB_47,C3,GSM8059533,"AB_47, Colorectal",Colorectal,PQ,C4
AB_48,C1,GSM8059534,"AB_48, Colorectal",Colorectal,PQ,C1
AB_49,C4,GSM8059535,"AB_49, Pancreas",Pancreas,PA,C2
AB_50,C2,GSM8059536,"AB_50, Pancreas",Pancreas,PA,C3
AB_51,C1,GSM8059537,"AB_51, Colorectal",Colorectal,PQ,C1
AB_52,C2,GSM8059538,"AB_52, Colorectal",Colorectal,PA,C3
AB_53,C1,GSM8059539,"AB_53, Pancreas",Pancreas,PQ,C1
AB_54,C1,GSM8059540,"AB_54, Colorectal",Colorectal,PQ,C1
