program,gene,source_reference
Apoptosis,BAX,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Apoptosis,BAK1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Apoptosis,CASP3,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Apoptosis,CASP7,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Apoptosis,CASP8,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Apoptosis,CASP9,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Apoptosis,APAF1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Apoptosis,FAS,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Apoptosis,FADD,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Autophagy,BECN1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Autophagy,ATG5,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Autophagy,ATG7,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Autophagy,ATG12,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Autophagy,ATG16L1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Autophagy,MAP1LC3B,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Autophagy,SQSTM1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Autophagy,ULK1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Anoikis,BMF,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Anoikis,BIM,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Anoikis,BCL2L11,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Anoikis,ITGB1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Anoikis,PTK2,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Anoikis,CAV1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Anoikis,PIK3CA,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Anoikis,AKT1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Ferroptosis,ACSL4,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Ferroptosis,LPCAT3,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Ferroptosis,SLC7A11,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Ferroptosis,GPX4,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Ferroptosis,TFRC,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Ferroptosis,ALOX15,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Ferroptosis,NFE2L2,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Ferroptosis,FTH1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Necroptosis,RIPK1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Necroptosis,RIPK3,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Necroptosis,MLKL,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Necroptosis,TNF,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Necroptosis,FAS,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Necroptosis,FADD,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Necroptosis,ZBP1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Pyroptosis,NLRP1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Pyroptosis,NLRP3,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Pyroptosis,NLRC4,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Pyroptosis,AIM2,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Pyroptosis,PYCARD,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Pyroptosis,CASP1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Pyroptosis,CASP4,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Pyroptosis,CASP5,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Pyroptosis,GSDMD,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Pyroptosis,GSDME,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Pyroptosis,IL1B,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Pyroptosis,IL18,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Cuproptosis,FDX1,Tsvetkov_2022_Science_10.1126/science.abf0529
Cuproptosis,LIAS,Tsvetkov_2022_Science_10.1126/science.abf0529
Cuproptosis,LIPT1,Tsvetkov_2022_Science_10.1126/science.abf0529
Cuproptosis,DLD,Tsvetkov_2022_Science_10.1126/science.abf0529
Cuproptosis,DLAT,Tsvetkov_2022_Science_10.1126/science.abf0529
Cuproptosis,PDHA1,Tsvetkov_2022_Science_10.1126/science.abf0529
Cuproptosis,PDHB,Tsvetkov_2022_Science_10.1126/science.abf0529
Disulfidptosis,SLC7A11,Liu_2023_Nat_Cell_Biol_10.1038/s41556-023-01091-2
Disulfidptosis,SLC3A2,Liu_2023_Nat_Cell_Biol_10.1038/s41556-023-01091-2
Disulfidptosis,RAC1,Liu_2023_Nat_Cell_Biol_10.1038/s41556-023-01091-2
Disulfidptosis,WAVE2,Liu_2023_Nat_Cell_Biol_10.1038/s41556-023-01091-2
Disulfidptosis,NCKAP1,Liu_2023_Nat_Cell_Biol_10.1038/s41556-023-01091-2
Disulfidptosis,CYFIP1,Liu_2023_Nat_Cell_Biol_10.1038/s41556-023-01091-2
Disulfidptosis,ACTB,Liu_2023_Nat_Cell_Biol_10.1038/s41556-023-01091-2
Entosis,RHOA,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Entosis,ROCK1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Entosis,ROCK2,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Entosis,CDH1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Entosis,CTNNA1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Entosis,CTNNB1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Parthanatos,PARP1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Parthanatos,AIFM1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Parthanatos,MIF,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Parthanatos,HMGB1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Parthanatos,XRCC1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
NETosis,PADI4,Papayannopoulos_2018_Nat_Rev_Immunol_10.1038/nri.2017.105
NETosis,ELANE,Papayannopoulos_2018_Nat_Rev_Immunol_10.1038/nri.2017.105
NETosis,MPO,Papayannopoulos_2018_Nat_Rev_Immunol_10.1038/nri.2017.105
NETosis,CTSG,Papayannopoulos_2018_Nat_Rev_Immunol_10.1038/nri.2017.105
NETosis,PRTN3,Papayannopoulos_2018_Nat_Rev_Immunol_10.1038/nri.2017.105
NETosis,CYBB,Papayannopoulos_2018_Nat_Rev_Immunol_10.1038/nri.2017.105
NETosis,NCF1,Papayannopoulos_2018_Nat_Rev_Immunol_10.1038/nri.2017.105
Lysosome_dependent_cell_death,CTSB,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Lysosome_dependent_cell_death,CTSD,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Lysosome_dependent_cell_death,CTSL,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Lysosome_dependent_cell_death,LAMP1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Lysosome_dependent_cell_death,LAMP2,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Lysosome_dependent_cell_death,MCOLN1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Lysosome_dependent_cell_death,CAPN1,NCCD_2018_Cell_10.1016/j.cell.2018.02.023
Alkaliptosis,NFATC2,Song_2018_Nat_Commun_10.1038/s41467-018-06599-2
Alkaliptosis,CA9,Song_2018_Nat_Commun_10.1038/s41467-018-06599-2
Alkaliptosis,SLC9A1,Song_2018_Nat_Commun_10.1038/s41467-018-06599-2
Alkaliptosis,ATP6V1A,Song_2018_Nat_Commun_10.1038/s41467-018-06599-2
Alkaliptosis,ATP6V0D1,Song_2018_Nat_Commun_10.1038/s41467-018-06599-2
Oxeiptosis,KEAP1,Holze_2018_Nat_Immunol_10.1038/s41590-017-0013-y
Oxeiptosis,PGAM5,Holze_2018_Nat_Immunol_10.1038/s41590-017-0013-y
Oxeiptosis,AIFM1,Holze_2018_Nat_Immunol_10.1038/s41590-017-0013-y
Oxeiptosis,NFE2L2,Holze_2018_Nat_Immunol_10.1038/s41590-017-0013-y
Oxeiptosis,HMOX1,Holze_2018_Nat_Immunol_10.1038/s41590-017-0013-y
